Episode,Date,Guests (Himself/Herself - Role)
1x01,2015-01-06,Alan Davies (Himself - Host);Tommy Tiernan (Himself);Jimmy Carr (Himself);Seann Walsh (Himself);Holly Walsh (Herself)
1x02,2015-01-13,Alan Davies (Himself - Host);Ben Miller (Himself);Lizzie Roper (Herself);Patrick Kielty (Himself);Felicity Ward (Herself)
1x03,2015-01-20,Alan Davies (Himself - Host);Stephen Mangan (Himself);Sarah Millican (Herself);Zoe Lyons (Herself);Hal Cruttenden (Himself)
1x04,2015-01-27,Alan Davies (Himself - Host);David Baddiel (Himself);Sharon Horgan (Herself);James Brown (Himself);Nish Kumar (Himself)
1x05,2015-02-03,Alan Davies (Himself - Host);Jo Brand (Herself);James Acaster (Himself);Sara Pascoe (Herself);Ricky Tomlinson (Himself)
1x06,2015-02-10,Alan Davies (Himself - Host);Angela Barnes (Herself);Michael Ball (Himself);Ross Noble (Himself);Janet Street-Porter (Herself)
1x07,2015-02-17,Alan Davies (Himself - Host);Grace Dent (Herself);David O'Doherty (Himself);Sean Kelly (Himself);Johnny Vegas (Himself)
1x08,2015-02-24,Alan Davies (Himself - Host);Matthew Crosby (Himself);Julian Clary (Himself);Shappi Khorsandi (Herself);Jack Dee (Himself)
1x09,2015-03-03,Alan Davies (Himself - Host);Ardal O'Hanlon (Himself);Roisin Conaty (Herself);Rob Delaney (Himself);Elis James (Himself)
1x10,2015-03-10,Alan Davies (Himself - Host);Germaine Greer (Herself);Lucy Beaumont (Herself);Jonathan Ross (Himself);Tom Wrigglesworth (Himself)
