Episode,Date,Guests (Himself/Herself - Role)
9x01,2013-02-28,Leigh Francis (Keith Lemon - Host);Kelly Brook (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Geri Halliwell (Herself);
9x02,2013-03-07,Leigh Francis (Keith Lemon - Host);Kelly Brook (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);William Roache (Himself);Chris Ramsey (Himself);Ashley Roberts (Herself);Ashleigh Jade Butler (Herself)
9x03,2013-03-14,Leigh Francis (Keith Lemon - Host);Kelly Brook (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Theo Hutchcraft (Himself);Mark Wright (Himself);Henry Winkler (Himself);Vernon Kay (Himself)
9x04,2013-03-21,Leigh Francis (Keith Lemon - Host);Kelly Brook (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Danny Dyer (Himself);Chris Ramsey (Himself)
9x05,2013-03-28,Leigh Francis (Keith Lemon - Host);Kelly Brook (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Duncan James (Himself);Abz Love (Himself);Liz McClarnon (Herself);Jessica Taylor (Herself);Scott Robinson (Himself);Lee Ryan (Himself)
9x06,2013-04-04,Leigh Francis (Keith Lemon - Host);Kelly Brook (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Gok Wan (Himself);Nick Grimshaw (Himself);Millie Mackintosh (Herself);Joe Lycett (Himself)
9x07,2013-04-11,Leigh Francis (Keith Lemon - Host);Kelly Brook (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Stephen Mulhern (Himself);Sarah Harding (Herself);Joey Essex (Himself);Sam Faiers (Herself);Seann Walsh (Himself)
9x08,2013-04-18,Leigh Francis (Keith Lemon - Host);Kelly Brook (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Peter Andre (Himself);Chris Ramsey (Himself);Tom Ellis (Himself);Helen Flanagan (Herself)
9x09,2013-04-25,Leigh Francis (Keith Lemon - Host);Kelly Brook (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Amelia Lily (Herself);Eamonn Holmes (Himself);Ruth Langsford (Herself);Rob Beckett (Himself);Ashley Banjo (Himself)
9x10,2013-05-02,Leigh Francis (Keith Lemon - Host);Antony Cotton (Himself - Team Captain);Nitin Ganatra (Himself - Team Captain);Charlie Brooks (Himself);Jack P. Shepherd (Himself);Brooke Vincent (Herself);Tony Discipline (Himself);Catherine Tyldesley (Herself);Tameka Empson (Herself);Cheryl Fergison (Herself);Shaun Williamson (Himself);Nitin Kundra (Indian Keith - Himself)
