Episode,Date,Guests (Himself/Herself - Role)
1x01,2005-06-03,Jimmy Carr (Himself - Host);Richard Madeley (Himself);Lee Mack (Himself);Mel Giedroyc (Herself);Simon Amstell (Himself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain)
1x02,2005-06-10,David Walliams (Himself);Tara Palmer-Tomkinson (Herself);Christian O'Connell (Himself);Krishnan Guru-Murthy (Himself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
1x03,2005-06-17,Claudia Winkleman (Herself);Lee Mack (Himself);Eamonn Holmes (Himself);Alan Carr (Himself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
1x04,2005-06-24,Peter Serafinowicz (Himself);June Sarpong (Herself);Sue Perkins (Herself);Paul Kaye (Himself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
1x05,2005-07-01,Debra Stephenson (Herself);Laurence Llewelyn-Bowen (Himself);Mel Giedroyc (Herself);Scott Capurro (Himself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
1x06,2005-07-08,Rob Rouse (Himself);Iain Lee (Himself);Alan Carr (Himself);Frankie Boyle (Himself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
1x07,2005-07-15,Janet Street-Porter (Herself);Paddy McGuinness (Himself);Lee Mack (Himself);Trisha Goddard (Herself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
1x08,2005-07-22,Ralf Little (Himself);Iain Lee (Himself);Sarah Beeny (Herself);Simon Amstell (Himself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
1x09,2005-07-29,Johnny Vegas (Himself);Rob Rouse (Himself);Jayne Middlemiss (Herself);Scott Capurro (Himself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
1x10,2005-08-05,Vic Reeves (Himself);Kate Garraway (Herself);Alan Carr (Himself);Frankie Boyle (Himself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
1x11,2005-08-12,Kieron Harvey (Himself);Jeremy Edwards (Himself);Derek Laud (Himself);Liza Tarbuck (Herself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
2x01,2006-02-10,Ben Miller (Himself);Sally Lindsay (Herself);Scott Capurro (Himself);Zoë Ball (Herself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
2x02,2006-02-17,Paddy McGuinness (Himself);Reginald D. Hunter (Himself);Jade Goody (Herself);Ed Byrne (Himself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
2x03,2006-02-24,Vic Reeves (Himself);Kelly Osbourne (Herself);Neil Morrissey (Himself);Richard Madeley (Himself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
2x04,2006-03-03,Meera Syal (Herself);Sally Phillips (Herself);Chris O'Dowd (Himself);Alan Carr (Himself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
2x05,2006-03-10,Chantelle Houghton (Herself);Krishnan Guru-Murthy (Himself);Les Dennis (Himself);Frankie Boyle (Himself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
2x06,2006-03-17,Johnny Vegas (Himself);Christian Slater (Himself);Rob Rouse (Himself);Lauren Laverne (Herself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
2x07,2006-03-24,Carol Thatcher (Herself);Ulrika Jonsson (Herself);Jessica Hynes (Herself);Alan Carr (Himself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
3x01,2006-05-26,Ulrika Jonsson (Herself);Alan Carr (Himself);Ruth Badger (Herself);David Baddiel (Himself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
3x02,2006-06-02,David Walliams (Himself);Debra Stephenson (Herself);Frankie Boyle (Himself);Mark 'Bez' Berry (Himself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
3x03,2006-06-09,Johnny Vegas (Himself);Peter Serafinowicz (Himself);Jayne Middlemiss (Herself);Reginald D. Hunter (Himself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
3x04,2006-06-16,Sally Lindsay (Herself);Dave Johns (Himself);Julian Clary (Himself);Edith Bowman (Herself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
3x05,2006-06-23,Louis Walsh (Himself);David Walliams (Himself);Vic Reeves (Himself);Krishnan Guru-Murthy (Himself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
3x06,2006-06-30,Jason Manford (Himself);Phill Jupitus (Himself);Germaine Greer (Herself);Fiona Allen (Herself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
3x07,2006-07-07,Alex Zane (Himself);Emo Philips (Himself);Justin Moorhead (Himself);Trisha Goddard (Herself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
3x08,2006-07-14,Holly Willoughby (Herself);Joan Rivers (Herself);Vic Reeves (Himself);Eamonn Holmes (Himself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
3x09,2006-08-18,Grace Adams-Short (Herself);Lea Walker (Herself);Jason Manford (Himself);Dom Joly (Himself);Dave Spikey (Himself - Team Captain);Sean Lock (Himself - Team Captain);Jimmy Carr (Himself - Host)
