Episode,Date,Guests (Himself/Herself - Role)
1x01,2003-09-11,Stephen Fry (Himself - Host);Alan Davies (Himself - Regular);John Sessions (Himself);Danny Baker (Himself);Hugh Laurie (Himself)
1x02,2003-09-18,Stephen Fry (Himself - Host);Alan Davies (Himself - Regular);Bill Bailey (Himself);Rich Hall (Himself);Jeremy Hardy (Himself)
1x03,2003-09-25,Stephen Fry (Himself - Host);Alan Davies (Himself - Regular);Clive Anderson (Himself);Meera Syal (Herself);Bill Bailey (Himself)
1x04,2003-10-02,Stephen Fry (Himself - Host);Alan Davies (Himself - Regular);Jo Brand (Herself);Howard Goodall (Himself);Jeremy Hardy (Himself)
1x05,2003-10-09,Stephen Fry (Himself - Host);Alan Davies (Himself - Regular);Rob Brydon (Himself);Gyles Brandreth (Himself);Rich Hall (Himself)
1x06,2003-10-16,Stephen Fry (Himself - Host);Alan Davies (Himself - Regular);Howard Goodall (Himself);Jo Brand (Herself);Danny Baker (Himself)
1x07,2003-10-23,Stephen Fry (Himself - Host);Alan Davies (Himself - Regular);Jimmy Carr (Himself);Jackie Clune (Herself);Jo Brand (Herself)
1x08,2003-10-30,Stephen Fry (Himself - Host);Alan Davies (Himself - Regular);Linda Smith (Herself);Sean Lock (Himself);Clive Anderson (Himself)
1x09,2003-11-06,Stephen Fry (Himself - Host);Alan Davies (Himself - Regular);Dave Gorman (Himself);Jeremy Hardy (Himself);Jo Brand (Herself)
1x10,2003-11-13,Stephen Fry (Himself - Host);Alan Davies (Himself - Regular);Julia Morris (Herself);Peter Serafinowicz (Himself);Rich Hall (Himself)
1x11,2003-11-20,Stephen Fry (Himself - Host);Alan Davies (Himself - Regular);Richard E. Grant (Himself);Bill Bailey (Himself);Linda Smith (Herself)
1x12,2003-12-23,Stephen Fry (Himself - Host);Alan Davies (Himself - Regular);Phill Jupitus (Himself);Sean Lock (Himself);John Sessions (Himself)
2x01,2004-10-08,Stephen Fry (Himself - Host);Alan Davies (Himself - Regular);Jo Brand (Herself);Bill Bailey (Himself);Sean Lock (Himself)
2x02,2004-10-08,Stephen Fry (Himself - Host);Alan Davies (Himself - Regular);Phil Kay (Himself);Rich Hall (Himself);Jo Brand (Herself)
2x03,2004-10-15,Stephen Fry (Himself - Host);Alan Davies (Himself - Regular);Clive Anderson (Himself);Phill Jupitus (Himself);Rich Hall (Himself)
2x04,2004-10-22,Stephen Fry (Himself - Host);Alan Davies (Himself - Regular);Jeremy Hardy (Himself);Jeremy Clarkson (Himself);Barry Cryer (Himself)
2x05,2004-10-29,Stephen Fry (Himself - Host);Alan Davies (Himself - Regular);Jimmy Carr (Himself);Jo Brand (Herself);Bill Bailey (Himself)
2x06,2004-11-05,Stephen Fry (Himself - Host);Alan Davies (Himself - Regular);Anneka Rice (Herself);Sean Lock (Himself);Bill Bailey (Himself)
2x07,2004-11-12,Stephen Fry (Himself - Host);Alan Davies (Himself - Regular);Arthur Smith (Himself);Dara O'Briain (Himself);Rich Hall (Himself)
