Episode,Date,Guests (Himself/Herself - Role)
1x01,2008-10-27,John Sergeant (Himself - Host);Marcus Brigstocke (Himself - Team Captain);Rufus Hound (Himself - Team Captain);Dara O'Briain (Himself);Mark Watson (Himself)
1x02,2008-11-03,Jimmy Carr (Himself);Ed Byrne (Himself);Rufus Hound (Himself - Team Captain);Marcus Brigstocke (Himself - Team Captain);John Sergeant (Himself - Host)
1x03,2008-11-10,Robin Ince (Himself);Johnny Vegas (Himself);Rufus Hound (Himself - Team Captain);Marcus Brigstocke (Himself - Team Captain);John Sergeant (Himself - Host)
1x04,2008-11-17,John Sergeant (Himself - Host);Marcus Brigstocke (Himself - Team Captain);Rufus Hound (Himself - Team Captain);Frankie Boyle (Himself);Phill Jupitus (Himself)
1x05,2008-11-24,Richard Herring (Himself);Hugh Dennis (Himself);Rufus Hound (Himself - Team Captain);Marcus Brigstocke (Himself - Team Captain);John Sergeant (Himself - Host)
1x06,2008-12-01,Andrew Maxwell (Himself);Sue Perkins (Herself);Rufus Hound (Himself - Team Captain);Marcus Brigstocke (Himself - Team Captain);John Sergeant (Himself - Host)
1x07,2008-12-08,John Sergeant (Himself - Host);Marcus Brigstocke (Himself - Team Captain);Rufus Hound (Himself - Team Captain);Jimmy Carr (Himself);Charlie Higson (Himself)
1x08,2008-12-15,Mark Watson (Himself);Andy Parsons (Himself);Rufus Hound (Himself - Team Captain);Marcus Brigstocke (Himself - Team Captain);John Sergeant (Himself - Host)
1x09,2009-01-05,Phill Jupitus (Himself);Frankie Boyle (Himself);Rufus Hound (Himself - Team Captain);Marcus Brigstocke (Himself - Team Captain);John Sergeant (Himself - Host)
1x10,2009-01-12,John Sergeant (Himself - Host);Marcus Brigstocke (Himself - Team Captain);Rufus Hound (Himself - Team Captain);Patrick Kielty (Himself);Lucy Porter (Herself)
1x11,2009-01-19,Jason Byrne (Himself);Sue Perkins (Herself);Rufus Hound (Himself - Team Captain);Marcus Brigstocke (Himself - Team Captain);John Sergeant (Himself - Host)
1x12,2009-01-26,Jarred Christmas (Himself);Lucy Porter (Herself);Rufus Hound (Himself - Team Captain);Marcus Brigstocke (Himself - Team Captain);John Sergeant (Himself - Host)
2x01,2009-03-23,John Sergeant (Himself - Host);Marcus Brigstocke (Himself - Team Captain);Rufus Hound (Himself - Team Captain);Chris Addison (Himself);Dara O'Briain (Himself)
2x02,2009-03-30,Mark Watson (Himself);Ardal O'Hanlon (Himself);Rufus Hound (Himself - Team Captain);Marcus Brigstocke (Himself - Team Captain);John Sergeant (Himself - Host)
2x03,2009-04-06,Jo Caulfield (Herself);Katy Brand (Herself);Rufus Hound (Himself - Team Captain);Marcus Brigstocke (Himself - Team Captain);John Sergeant (Himself - Host)
2x04,2009-04-20,John Sergeant (Himself - Host);Marcus Brigstocke (Himself - Team Captain);Rufus Hound (Himself - Team Captain);Sean Lock (Himself);Phill Jupitus (Himself)
2x05,2009-04-27,Reginald D. Hunter (Himself);Sean Hughes (Himself);Rufus Hound (Himself - Team Captain);Marcus Brigstocke (Himself - Team Captain);John Sergeant (Himself - Host)
2x06,2009-05-04,Lucy Porter (Herself);Frankie Boyle (Himself);Rufus Hound (Himself - Team Captain);Marcus Brigstocke (Himself - Team Captain);John Sergeant (Himself - Host)
2x07,2009-10-13,John Sergeant (Himself - Host);Marcus Brigstocke (Himself - Team Captain);Rufus Hound (Himself - Team Captain);Frankie Boyle (Himself);Andrew Maxwell (Himself)
2x08,2009-10-20,Phill Jupitus (Himself);Sean Lock (Himself);Rufus Hound (Himself - Team Captain);Marcus Brigstocke (Himself - Team Captain);John Sergeant (Himself - Host)
2x09,2009-10-27,Will Smith (Himself);Dara O'Briain (Himself);Rufus Hound (Himself - Team Captain);Marcus Brigstocke (Himself - Team Captain);John Sergeant (Himself - Host)
2x10,2009-11-03,John Sergeant (Himself - Host);Marcus Brigstocke (Himself - Team Captain);Rufus Hound (Himself - Team Captain);Simon Day (Himself);Charlie Higson (Himself)
2x11,2009-11-10,Rory McGrath (Himself);Sean Hughes (Himself);Rufus Hound (Himself - Team Captain);Marcus Brigstocke (Himself - Team Captain);John Sergeant (Himself - Host)
2x12,2009-11-17,John Sergeant (Himself - Host);Marcus Brigstocke (Himself - Team Captain);Rufus Hound (Himself - Team Captain);Hugh Dennis (Himself);Mark Watson (Himself)
3x01,2010-02-02,Johnny Vegas (Himself);Chris Addison (Himself);Rufus Hound (Himself - Team Captain);Marcus Brigstocke (Himself - Team Captain);John Sergeant (Himself - Host)
