Episode,Date,Guests (Himself/Herself - Role),References
1x01,2010-09-27,w4g8xnp5:Rhod Gilbert (Himself - Host);cr7ce9yy:Lloyd Langford (Himself);hajxdyo5:Greg Davies (Himself);b93y6vnu:Jo Brand (Herself);tfhck03l:Amanda Byram (Herself);2wabbiew:Kate Silverton (Herself);q50lbc4f:Will Ferrell (Himself);2j6hm1m6:Mark Wahlberg (Himself);,http://www.imdb.com/title/tt1736701/
1x02,2010-10-04,w4g8xnp5:Rhod Gilbert (Himself - Host);cr7ce9yy:Lloyd Langford (Himself);hajxdyo5:Greg Davies (Himself);e6wb7i8j:Lorraine Kelly (Herself);oxyl45br:Sarah Millican (Herself);2ufl1i4u:Dave Gorman (Himself);,http://www.imdb.com/title/tt1748560/
1x03,2010-10-11,w4g8xnp5:Rhod Gilbert (Himself - Host);cr7ce9yy:Lloyd Langford (Himself);hajxdyo5:Greg Davies (Himself);6vpb1owi:Carol Vorderman (Herself);66ftg5eh:Micky Flanagan (Himself);xdvzwi1c:Suzi Perry (Herself);,http://www.imdb.com/title/tt1748561/
1x04,2010-10-18,w4g8xnp5:Rhod Gilbert (Himself - Host);cr7ce9yy:Lloyd Langford (Himself);hajxdyo5:Greg Davies (Himself);piwswmnc:James Martin (Himself);bwy7fntv:Connie Fisher (Herself);1rtqz52s:Russell Kane (Himself);,http://www.imdb.com/title/tt1748562/
1x05,2010-10-25,w4g8xnp5:Rhod Gilbert (Himself - Host);cr7ce9yy:Lloyd Langford (Himself);hajxdyo5:Greg Davies (Himself);nf812lji:Adam Hills (Himself);fphqi7vb:Rita Simons (Herself);f0lmu0a6:David Tennant (Himself);,http://www.imdb.com/title/tt1766267/
1x06,2010-11-01,w4g8xnp5:Rhod Gilbert (Himself - Host);cr7ce9yy:Lloyd Langford (Himself);hajxdyo5:Greg Davies (Himself);dodje5z8:Arlene Phillips (Herself);djszfogi:Jack Whitehall (Himself);7d76d22d:Louise Minchin (Herself);,http://www.imdb.com/title/tt1766268/
1x07,2010-11-08,w4g8xnp5:Rhod Gilbert (Himself - Host);cr7ce9yy:Lloyd Langford (Himself);hajxdyo5:Greg Davies (Himself);6w579r1n:Goldie (Himself);ml47fsgm:Andi Osho (Herself);wj8bwvmp:Susanna Reid (Herself);,http://www.imdb.com/title/tt1801166/
1x08,2010-11-15,w4g8xnp5:Rhod Gilbert (Himself - Host);cr7ce9yy:Lloyd Langford (Himself);hajxdyo5:Greg Davies (Himself);30np5w57:Kaye Adams (Herself);ikv6fsuk:Katy Brand (Herself);p9oj1hz2:Erin Boag (Herself);,http://www.imdb.com/title/tt1801167/
2x01,2011-09-21,w4g8xnp5:Rhod Gilbert (Himself - Host);cr7ce9yy:Lloyd Langford (Himself);hajxdyo5:Greg Davies (Himself);br5uto4r:David Hasselhoff (Himself);sx5n2tkh:Phill Jupitus (Himself);i0ufm9pu:Kimberly Wyatt (Herself);,http://www.imdb.com/title/tt2078841/
2x02,2011-09-28,w4g8xnp5:Rhod Gilbert (Himself - Host);cr7ce9yy:Lloyd Langford (Himself);hajxdyo5:Greg Davies (Himself);xitxfn4s:Craig Revel Horwood (Himself);d9v5vbkt:Shappi Khorsandi (Herself);07j1v5ma:Deborah Meaden (Herself);,http://www.imdb.com/title/tt2168139/
2x03,2011-10-05,w4g8xnp5:Rhod Gilbert (Himself - Host);cr7ce9yy:Lloyd Langford (Himself);hajxdyo5:Greg Davies (Himself);xv8o8xgj:Edith Bowman (Herself);1rtqz52s:Russell Kane (Himself);zgmet3jf:John Prescott (Himself);,http://www.imdb.com/title/tt2168141/
2x04,2011-10-12,w4g8xnp5:Rhod Gilbert (Himself - Host);cr7ce9yy:Lloyd Langford (Himself);hajxdyo5:Greg Davies (Himself);ikv6fsuk:Katy Brand (Herself);zkbg1ia3:Fern Britton (Herself);nf812lji:Adam Hills (Himself);,http://www.imdb.com/title/tt2279527/
2x05,2011-10-19,w4g8xnp5:Rhod Gilbert (Himself - Host);cr7ce9yy:Lloyd Langford (Himself);hajxdyo5:Greg Davies (Himself);tfhck03l:Amanda Byram (Herself);oxyl45br:Sarah Millican (Herself);8ilhlljv:Angela Rippon (Herself);,http://www.imdb.com/title/tt2279529/
2x06,2011-10-26,w4g8xnp5:Rhod Gilbert (Himself - Host);cr7ce9yy:Lloyd Langford (Himself);hajxdyo5:Greg Davies (Himself);fychgvqk:Jenny Eclair (Herself);bpd8wguf:Nick Hewer (Himself);ry40inln:Christian O'Connell (Himself);,http://www.imdb.com/title/tt2279531/
2x07,2011-11-02,w4g8xnp5:Rhod Gilbert (Himself - Host);cr7ce9yy:Lloyd Langford (Himself);hajxdyo5:Greg Davies (Himself);bk2xi19y:Germaine Greer (Herself);jgg4fqdq:Larry Lamb (Himself);ml47fsgm:Andi Osho (Herself);,http://www.imdb.com/title/tt2279533/
2x08,2011-11-09,w4g8xnp5:Rhod Gilbert (Himself - Host);cr7ce9yy:Lloyd Langford (Himself);hajxdyo5:Greg Davies (Himself);vbi862z7:Andrew Lawrence (Himself);j4x51a23:Laurence Llewelyn-Bowen (Himself);h6wdx3nf:Janet Street-Porter (Herself);,http://www.imdb.com/title/tt2279535/
