Episode,Date,Guests (Himself/Herself - Role)
1x01,2014-06-16,Alan Davies (Himself - Host);Noel Fielding (Himself);Jon Ronson (Himself);Andrew Maxwell (Himself);Kerry Godliman (Herself)
1x02,2014-06-17,Alan Davies (Himself - Host);Jason Byrne (Himself);Richard Herring (Himself);Phill Jupitus (Himself);Jessica Hynes (Herself)
1x03,2014-06-18,Alan Davies (Himself - Host);Bob Mortimer (Himself);Marcus Brigstocke (Himself);Katherine Ryan (Herself);John Robins (Himself)
1x04,2014-06-19,Alan Davies (Himself - Host);Bill Bailey (Himself);Kevin Eldon (Himself);Isy Suttie (Herself);Craig Campbell (Himself)
1x05,2014-06-20,Alan Davies (Himself - Host);Ross Noble (Himself);Liza Tarbuck (Herself);Colin Lane (Himself);Josie Long (Herself)
2x01,2015-01-06,Alan Davies (Himself - Host);Tommy Tiernan (Himself);Jimmy Carr (Himself);Seann Walsh (Himself);Holly Walsh (Herself)
2x02,2015-01-13,Alan Davies (Himself - Host);Ben Miller (Himself);Lizzie Roper (Herself);Patrick Kielty (Himself);Felicity Ward (Herself)
2x03,2015-01-20,Alan Davies (Himself - Host);Stephen Mangan (Himself);Sarah Millican (Herself);Zoe Lyons (Herself);Hal Cruttenden (Himself)
2x04,2015-01-27,Alan Davies (Himself - Host);David Baddiel (Himself);Sharon Horgan (Herself);James Brown (Himself);Nish Kumar (Himself)
2x05,2015-02-03,Alan Davies (Himself - Host);Jo Brand (Herself);James Acaster (Himself);Sara Pascoe (Herself);Ricky Tomlinson (Himself)
2x06,2015-02-10,Alan Davies (Himself - Host);Angela Barnes (Herself);Michael Ball (Himself);Ross Noble (Himself);Janet Street-Porter (Herself)
2x07,2015-02-17,Alan Davies (Himself - Host);Grace Dent (Herself);David O'Doherty (Himself);Sean Kelly (Himself);Johnny Vegas (Himself)
2x08,2015-02-24,Alan Davies (Himself - Host);Matthew Crosby (Himself);Julian Clary (Himself);Shappi Khorsandi (Herself);Jack Dee (Himself)
2x09,2015-03-03,Alan Davies (Himself - Host);Ardal O'Hanlon (Himself);Roisin Conaty (Herself);Rob Delaney (Himself);Elis James (Himself)
2x10,2015-03-10,Alan Davies (Himself - Host);Germaine Greer (Herself);Lucy Beaumont (Herself);Jonathan Ross (Himself);Tom Wrigglesworth (Himself)
3x01,2015-11-03,Alan Davies (Himself - Host);Katherine Jakeways (Herself);Lee Mack (Himself);Nick Helm (Himself);Olivia Lee (Herself)
3x02,2015-11-10,Alan Davies (Himself - Host);Matt Lucas (Himself);John Thomson (Himself);Sarah Kendall (Herself);Stuart Goldsmith (Himself)
3x03,2015-11-17,Alan Davies (Himself - Host);Aisling Bea (Herself);Justin Moorhouse (Himself);Jo Enright (Herself);Jim Moir (Himself)
3x04,2015-11-24,Alan Davies (Himself - Host);Jon Robins (Himself);Russell Howard (Himself);Reece Shearsmith (Himself);Tiffany Stevenson (Herself)
3x05,2015-12-01,Alan Davies (Himself - Host);Bill Bailey (Himself);Diane Morgan (Herself);Steve Pemberton (Himself);Romesh Ranganathan (Himself)
3x06,2015-12-15,Alan Davies (Himself - Host);Bob Mortimer (Himself);Russell Kane (Himself);Lucy Montgomery (Herself);Miles Jupp (Himself)
3x07,2015-12-22,Alan Davies (Himself - Host);Jo Brand (Herself);Chris Martin (Himself);Tommy Tiernan (Himself);Alun Cochrane (Himself)
3x08,2015-12-29,Alan Davies (Himself - Host);Phill Jupitus (Himself);Stuart Maconie (Himself);Pippa Evans (Herself);Carl Donnelly (Himself)
3x09,2016-01-05,Alan Davies (Himself - Host);Jason Byrne (Himself);Denise Van Outen (Herself);Josh Widdicombe (Himself);Alice Levine (Herself)
3x10,2016-01-12,Alan Davies (Himself - Host);Charlie Higson (Himself);Sally Phillips (Herself);Johnny Vaughan (Himself);Ellie Taylor (Herself)
