Episode,Date,Guests (Himself/Herself - Role)
20041228,2004-12-28,Jimmy Carr (Himself - Host);Jonathan Ross (Himself);June Sarpong (Herself);Rob Brydon (Himself);David Walliams (Himself);Liza Tarbuck (Herself);Simon Pegg (Himself)
20051226,2005-12-26,Sharon Osbourne (Herself);Rob Brydon (Himself);Gordon Ramsay (Himself);David Mitchell (Himself);Denise Van Outen (Herself);Jonathan Ross (Himself);Jimmy Carr (Himself - Host)
20061227,2006-12-27,Cat Deeley (Herself);Jonathan Ross (Himself);David Walliams (Himself);Rob Brydon (Himself);Noel Fielding (Himself);Russell Brand (Himself);Jimmy Carr (Himself - Host)
20071102,2007-11-02,David Mitchell (Himself);Richard Ayoade (Himself);Frank Skinner (Himself);Carol Vorderman (Herself);Jack Dee (Himself);Alan Carr (Himself);Jimmy Carr (Himself - Host)
20071230,2007-12-30,Lily Allen (Herself);Jonathan Ross (Himself);David Mitchell (Himself);Rob Brydon (Himself);Noel Fielding (Himself);Russell Brand (Himself);Jimmy Carr (Himself - Host)
20081228,2008-12-28,Claudia Winkleman (Herself);Michael McIntyre (Himself);James Corden (Himself);Sean Lock (Himself);Jimmy Carr (Himself - Host);Dara O'Briain (Himself);Davina McCall (Herself)
20100101,2010-01-01,Jonathan Ross (Himself);Russell Brand (Himself);Rob Brydon (Himself);Charlie Brooker (Himself);Claudia Winkleman (Herself);David Mitchell (Himself);Jimmy Carr (Himself - Host)
20110103,2011-01-03,Noel Fielding (Himself);Richard Ayoade (Himself);Alan Carr (Himself);Ruth Jones (Herself);Jonathan Ross (Himself);Jimmy Carr (Himself - Host);Michael McIntyre (Himself)
20111227,2011-12-27,David Mitchell (Himself);Jamie Oliver (Himself);Jonathan Ross (Himself);Miranda Hart (Herself);David Walliams (Himself);Eddie Izzard (Himself);Jimmy Carr (Himself - Host)
20120916,2012-09-16,Jason Manford (Himself);Stephen Mangan (Himself);Jonathan Ross (Himself);Adam Buxton (Himself);Micky Flanagan (Himself);Jimmy Carr (Himself - Host);Carol Vorderman (Herself)
20120923,2012-09-23,Claudia Winkleman (Herself);Denise Van Outen (Herself);Jack Whitehall (Himself);Dara O'Briain (Himself);Alan Davies (Himself);Phill Jupitus (Himself);Jimmy Carr (Himself - Host)
20120930,2012-09-30,Jimmy Carr (Himself - Host);Noel Fielding (Himself);Richard Ayoade (Himself);David Mitchell (Himself);Sarah Millican (Herself);Alan Carr (Himself);Kevin Bridges (Himself)
20121230,2012-12-30,Gabby Logan (Herself);Jimmy Carr (Himself - Host);Jonathan Ross (Himself);Jack Whitehall (Himself);James Corden (Himself);Russell Howard (Himself);Richard Ayoade (Himself)
20130922,2013-09-22,Alan Carr (Himself);Sarah Greene (Herself);Jason Donovan (Himself);Jack Dee (Himself);Phill Jupitus (Himself);David Mitchell (Himself);Jimmy Carr (Himself - Host)
20130929,2013-09-29,Richard Ayoade (Himself);Bob Mortimer (Himself);Lee Mack (Himself);Sue Perkins (Herself);Jo Brand (Herself);Jonathan Ross (Himself);Jimmy Carr (Himself - Host)
20131226,2013-12-26,Noel Fielding (Himself);Richard Ayoade (Himself);Dara O'Briain (Himself);Jonathan Ross (Himself);Jack Whitehall (Himself);Jimmy Carr (Himself - Host);Kristen Schaal (Herself)
20141226,2014-12-26,David Mitchell (Himself);Richard Ayoade (Himself);Kevin Bridges (Himself);Sarah Millican (Herself);Melanie Brown (Herself);Micky Flanagan (Himself);Jimmy Carr (Himself - Host)
20150102,2015-01-02,Warwick Davis (Himself);Jack Whitehall (Himself);Jonathan Ross (Himself);Noel Fielding (Himself);Russell Brand (Himself);Jimmy Carr (Himself - Host);Claudia Winkleman (Herself)
20151226,2015-12-26,Jimmy Carr (Himself - Host);Claudia Winkleman (Herself);Jo Brand (Herself);David Mitchell (Himself);Rob Brydon (Himself);Richard Ayoade (Himself);Greg Davies (Himself)
