Episode,Date,Guests (Himself/Herself - Role),References
0x01,2011-05-30,iysm1k9t:Alexander Armstrong (Himself - Host);2cn9r9e4:Dave Lamb (Himself);whm3kdox:Robert Webb (Himself);ikv6fsuk:Katy Brand (Herself);6jht67f1:Griff Rhys Jones (Himself);,
1x01,2012-02-06,iysm1k9t:Alexander Armstrong (Himself - Host);2cn9r9e4:Dave Lamb (Himself);rlldarrq:Graham Norton (Himself);nch01m5e:Sandi Toksvig (Herself);funl9xzs:Marcus Brigstocke (Himself);,
1x02,2012-02-13,iysm1k9t:Alexander Armstrong (Himself - Host);2cn9r9e4:Dave Lamb (Himself);tiewbgqw:Jimmy Carr (Himself);h663jn38:Rufus Hound (Himself);ml47fsgm:Andi Osho (Herself);,
1x03,2012-02-20,iysm1k9t:Alexander Armstrong (Himself - Host);2cn9r9e4:Dave Lamb (Himself);lqu3n4lu:Ed Byrne (Himself);kb3a51qs:Mark Watson (Himself);1rtqz52s:Russell Kane (Himself);,
1x04,2012-02-27,iysm1k9t:Alexander Armstrong (Himself - Host);2cn9r9e4:Dave Lamb (Himself);i4apt8jq:Clive Anderson (Himself);yy0vihbr:Sue Perkins (Herself);ldlhjug6:Daniel Sloss (Himself);,
1x05,2012-03-05,iysm1k9t:Alexander Armstrong (Himself - Host);2cn9r9e4:Dave Lamb (Himself);tiewbgqw:Jimmy Carr (Himself);whm3kdox:Robert Webb (Himself);luynjnx4:Andrew Maxwell (Himself);,
1x06,2012-03-12,iysm1k9t:Alexander Armstrong (Himself - Host);2cn9r9e4:Dave Lamb (Himself);1rtqz52s:Russell Kane (Himself);bne00n41:Andy Parsons (Himself);xhf7q5tp:Steve Punt (Himself);,
2x01,2013-02-26,iysm1k9t:Alexander Armstrong (Himself - Host);rlldarrq:Graham Norton (Himself);b93y6vnu:Jo Brand (Herself);5yw66sca:Tim Vine (Himself);1fchiwmk:Stephen Mangan (Himself);,
2x02,2013-03-05,iysm1k9t:Alexander Armstrong (Himself - Host);djszfogi:Jack Whitehall (Himself);funl9xzs:Marcus Brigstocke (Himself);lqu3n4lu:Ed Byrne (Himself);m0pukia0:Michael Whitehall (Himself),
2x03,2013-03-12,iysm1k9t:Alexander Armstrong (Himself - Host);ee1cm8xe:Ardal O'Hanlon (Himself);1rtqz52s:Russell Kane (Himself);nlbhhrhx:Susan Calman (Herself);uk8mmmbl:Reginald D. Hunter (Himself);,
2x04,2013-03-19,iysm1k9t:Alexander Armstrong (Himself - Host);yta3thvj:Rory McGrath (Himself);z4b6o3bs:Rebecca Front (Herself);9e3q4p9k:Mark Steel (Himself);i4apt8jq:Clive Anderson (Himself);,
2x05,2013-03-26,iysm1k9t:Alexander Armstrong (Himself - Host);ejy4jt39:Reverend Richard Coles (Himself);djszfogi:Jack Whitehall (Himself);luynjnx4:Andrew Maxwell (Himself);sx5n2tkh:Phill Jupitus (Himself);,
2x06,2013-04-02,iysm1k9t:Alexander Armstrong (Himself - Host);i5uubaby:Hugh Dennis (Himself);3vblg9jo:Jason Manford (Himself);nch01m5e:Sandi Toksvig (Herself);i4apt8jq:Clive Anderson (Himself);,
