Episode,Date,Guests (Himself/Herself - Role)
1x01,2015-06-05,Des Clarke (Himself - Host);Andrew Maxwell (Himself);Keir McAllister (Himself);Chris Forbes (Himself);Katie Grant (Herself)
1x02,2015-06-12,Des Clarke (Himself - Host);Mark Nelson (Himself);Paul Sinha (Himself);Anna Burnside (Herself);Jay Lafferty (Herself)
1x03,2015-06-19,Des Clarke (Himself - Host);Sanjeev Kohli (Himself);Jarred Christmas (Himself);Keir McAllister (Himself);Kirsty Wark (Herself)
1x04,2015-06-26,Des Clarke (Himself - Host);Mark Nelson (Himself);Kai Humphries (Himself);Julia Sutherland (Herself);Iain Macwhirter (Himself)
1x05,2015-07-03,Des Clarke (Himself - Host);Phill Jupitus (Himself);Libby Brooks (Herself);Stuart Mitchell (Himself);Keir McAllister (Himself)
1x06,2015-07-10,Des Clarke (Himself - Host);Tiffany Stevenson (Herself);Mark Nelson (Himself);Chris Forbes (Himself);Brian Taylor (Himself)
1x07,2015-07-17,Des Clarke (Himself - Host);Helen Zaltzman (Herself);Christopher Brookmyre (Himself);Vladimir McTavish (Himself);Jay Lafferty (Herself)
1x08,2015-07-24,Des Clarke (Himself - Host);Susan Calman (Herself);Angela Barnes (Herself);Keir McAllister (Himself);Louise Welsh (Herself)
1x09,2015-07-31,Des Clarke (Himself - Host);Sanjeev Kholi (Himself);Janey Godley (Herself);Chris Forbes (Himself);Katie Grant (Herself)
1x10,2015-08-07,Des Clarke (Himself - Host);Julia Sutherland (Herself);Stuart Mitchell (Himself);Kate Smurthwaite (Herself);Fiona Ross (Herself)
1x11,2015-08-15,Des Clarke (Himself - Host);Andrew Maxwell (Himself);Keir McAllister (Himself);Alun Cochrane (Himself);Fiona Ross (Herself)
2x01,2015-10-16,Des Clarke (Himself - Host);Kevin Day (Himself);Martel Maxwell (Herself);Keir McAllister (Himself);Stuart Mitchell (Himself)
2x02,2015-10-23,Des Clarke (Himself - Host);Andrew Maxwell (Himself);Mark Nelson (Himself);Fern Brady (Herself);Brian Taylor (Himself)
2x03,2015-10-30,Des Clarke (Himself - Host);Hugo Rifkind (Himself);Angela Barnes (Herself);Chris Forbes (Himself);Jay Lafferty (Herself)
2x04,2015-11-06,Susan Calman (Herself - Host);Keir McAllister (Himself);Andrew Maxwell (Himself);Gareth Waugh (Himself);Louise Welsh (Herself);Stuart Mitchell (Himself)
2x05,2015-11-13,Des Clarke (Himself - Host);Martel Maxwell (Herself);Raymond Mearns (Himself);Stuart Mitchell (Himself);Alun Cochrane (Himself)
2x06,2015-11-20,Des Clarke (Himself - Host);Chitra Ramaswamy (Herself);Phill Jupitus (Himself);Susan Calman (Herself);Alistair Barrie (Himself)
2x07,2015-11-27,Des Clarke (Himself - Host);Juliet Meyers (Herself);Mark Nelson (Himself);Jay Lafferty (Herself);Kevin McKenna (Himself)
2x08,2015-12-04,Susan Calman (Herself - Host);Angela Barnes (Herself);Eleanor Morton (Herself);Keir McAllister (Himself);Libby Brooks (Herself)
2x09,2015-12-11,Des Clarke (Himself - Host);Andrew Maxwell (Himself);Mark Nelson (Himself);Stuart Mitchell (Himself);Val McDermid (Herself)
2x10,2015-12-18,Des Clarke (Himself - Host);Kirsty Wark (Herself);Phill Jupitus (Himself);Fred MacAulay (Himself);Keir McAllister (Himself)
