Episode,Date,Guests (Himself/Herself - Role),References
4x02,1969-04-24,y0rs8v1n:Kenneth Williams (Himself);tarh9p4y:Denis Norden (Himself);b4tqw6qa:Michael Trubshawe (Himself);zczgn0gy:Isobel Barnett (Herself);01qn8lsd:Wendy Craig (Herself);otjasyul:Isobel Black (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/51dbe09d5e094c6a99b7c044bb062f91
4x03,1969-05-01,y0rs8v1n:Kenneth Williams (Himself);tarh9p4y:Denis Norden (Himself);b4tqw6qa:Michael Trubshawe (Himself);i860bxae:Jacqueline MacKenzie (Herself);k50ysuy2:Barbara Murray (Herself);kb7br2of:Stephanie Beacham (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/f791adac72d04424a31d2b4865b49f11
4x04,1969-05-08,y0rs8v1n:Kenneth Williams (Himself);tarh9p4y:Denis Norden (Himself);b4tqw6qa:Michael Trubshawe (Himself);3o6bobkz:Katie Boyle (Herself);i1zcv1zz:Sylvia Syms (Herself);lsvld6d2:Penny Spencer (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/80ab0c71cb154504a5c53b0948da7ae5
4x05,1969-05-15,y0rs8v1n:Kenneth Williams (Himself);tarh9p4y:Denis Norden (Himself);b4tqw6qa:Michael Trubshawe (Himself);0ihpxgcj:Marjorie Proofs (Herself);1kqb6y25:Judy Innes (Herself);qzrnaynl:Olga Franklin (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/be04b0b89dd145d79fd626e22c365af8
4x06,1969-05-22,y0rs8v1n:Kenneth Williams (Himself);tarh9p4y:Denis Norden (Himself);b4tqw6qa:Michael Trubshawe (Himself);spu3rctm:Barbara Kelly (Herself);m2pllc47:Joan Bakewell (Herself);7xvdypbx:Caroline Dowdeswell (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/381c44dd7054402988f0f83eb51b3c3b
4x07,1969-05-29,y0rs8v1n:Kenneth Williams (Himself);tarh9p4y:Denis Norden (Himself);gnz7evwq:Michael Trubshawb (Himself);cx7fjuj3:Drusilla Beyfus (Herself);qypasjmy:Maggie Fitzgibbon (Herself);zooy0w19:Jacki Piper (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/116c4b5f3fd449c78f8688b897d789b8
4x08,1969-06-05,ixg6p1yz:Robert Morley (Himself);t1t1cfz7:Wilfrid Hyde-White (Himself);92qabysf:Don Brown (Himself);wn1yamvj:Nemone Lethbridge (Herself);ylwg9wrz:Barbara Alleyn (Herself);ehjjj88u:Alma Carroll (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/4c84c61d2cb14d609930cec357ff66f5
4x09,1969-06-12,y0rs8v1n:Kenneth Williams (Himself);tarh9p4y:Denis Norden (Himself);b4tqw6qa:Michael Trubshawe (Himself);spu3rctm:Barbara Kelly (Herself);m2pllc47:Joan Bakewell (Herself);7xvdypbx:Caroline Dowdeswell (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/be5d722eb89d4ba1b1971ea53f56ac26
4x10,1969-06-19,dy8p7sal:Robert Horley (Himself);t1t1cfz7:Wilfrid Hyde-White (Himself);92qabysf:Don Brown (Himself);ro1kzis6:Katharine Whitehorn (Herself);7mwq5l6k:Frances Bennett (Herself);5qwm6csw:Angela Price (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/1ced431eb0824aab93dc74d47fb06cb2
4x11,1969-06-26,y1ondm0z:Robin Ray (Himself - Host);yg0ozo5l:Fyfe Robertson (Himself);k2d5bkru:Richard Wattis (Himself);wwkpqdzx:Antonia Fraser (Herself);rxjt5op5:Eleanor Summerfield (Herself);c2lzeirz:Cheryl Kennedy (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/596976b25ecf421c938470a436e948c4
