Episode,Date,Guests (Himself/Herself - Role)
0x01,2012-01-02,Jimmy Carr (Himself - Host);Rachel Riley (Herself - Co-host);Susie Dent (Herself - Lexicographer);Sean Locke (Himself);Jon Richardson (Himself)
1x01,2012-08-24,Jimmy Carr (Himself - Host);Rachel Riley (Herself - Co-host);Susie Dent (Herself - Lexicographer);Sean Locke (Himself - Captain);Jon Richardson (Himself - Captain);Clarke Carlisle (Himself);Joe Wilkinson (Himself);David O'Doherty (Himself)
2x01,2013-04-12,Jimmy Carr (Himself - Host);Rachel Riley (Herself - Co-host);Susie Dent (Herself - Lexicographer);Lee Mack (Himself - Captain);Jon Richardson (Himself - Captain);Rob Beckett (Himself);Rhod Gilbert (Himself);Tim Key (Himself)
2x02,2013-04-19,Jimmy Carr (Himself - Host);Rachel Riley (Herself - Co-host);Susie Dent (Herself - Lexicographer);Lee Mack (Himself - Captain);Jon Richardson (Himself - Captain);Richard Osman (Himself);Stephen Mangan (Himself);Henning Wehn (Himself)
3x01,2013-07-26,Jimmy Carr (Himself - Host);Rachel Riley (Herself - Co-host);Susie Dent (Herself - Lexicographer);Sean Locke (Himself - Captain);Jon Richardson (Himself - Captain);Joe Wilkinson (Himself - Rachel's assistant);Jason Manford (Himself);Rhod Gilbert (Himself);Danny Dyer (Himself)
3x02,2013-08-02,Jimmy Carr (Himself - Host);Rachel Riley (Herself - Co-host);Susie Dent (Herself - Lexicographer);Sean Locke (Himself - Captain);Jon Richardson (Himself - Captain);Joe Wilkinson (Himself - Rachel's assistant);Rhod Gilbert (Himself);Miles Jupp (Himself);Nick Helm (Himself)
3x03,2013-08-09,Jimmy Carr (Himself - Host);Rachel Riley (Herself - Co-host);Susie Dent (Herself - Lexicographer);Sean Locke (Himself - Captain);Jon Richardson (Himself - Captain);Joe Wilkinson (Himself - Rachel's assistant);Humphrey Ker (Himself);Sarah Millican (Herself);Rich Hall (Himself)
3x04,2013-08-16,Jimmy Carr (Himself - Host);Rachel Riley (Herself - Co-host);Susie Dent (Herself - Lexicographer);Sean Locke (Himself - Captain);Jon Richardson (Himself - Captain);Joe Wilkinson (Himself - Rachel's assistant);Sarah Millican (Herself);Chris Ramsey (Himself);Abandoman (Himself)
3x05,2013-08-13,Jimmy Carr (Himself - Host);Rachel Riley (Herself - Co-host);Susie Dent (Herself - Lexicographer);Lee Mack (Himself - Captain);Jon Richardson (Himself - Captain);Joe Wilkinson (Himself - Rachel's assistant);Bob Mortimer (Himself);Adam Hills (Himself);Alex Horne (Himself)
3x06,2013-08-20,Jimmy Carr (Himself - Host);Rachel Riley (Herself - Co-host);Susie Dent (Herself - Lexicographer);Lee Mack (Himself - Captain);Jon Richardson (Himself - Captain);Joe Wilkinson (Himself - Rachel's assistant);David O'Doherty (Himself);Henning Wehn (Himself);Vic Reeves (Himself)
4x01,2014-01-03,Jimmy Carr (Himself - Host);Rachel Riley (Herself - Co-host);Susie Dent (Herself - Lexicographer);Sean Locke (Himself - Captain);Jon Richardson (Himself - Captain);Joe Wilkinson (Himself - Rachel's assistant);Rhod Gilbert (Himself);Kevin Bridges (Himself);Josie Long (Herself)
