Episode,Date,Guests (Himself/Herself - Role)
1x01,2008-09-24,Keith Lemon (Himself - Host);Paddy McGuinness (Himself);Laurence Llewelyn-Bowen (Himself);Rav Singh (Himself);Dermot O'Leary (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain)
1x02,2008-10-01,Peter Andre (Himself);Rufus Hound (Himself);Katy Brand (Herself);Katie Price (Herself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
1x03,2008-10-08,Chico Slimani (Himself);Russell Kane (Himself);Dave Berry (Himself);Gareth Gates (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
1x04,2008-10-15,Tim Vine (Himself);Lee Ryan (Himself);Jack Whitehall (Himself);Emma Bunton (Herself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
1x05,2008-10-22,Jason Byrne (Himself);Kerry Katona (Herself);Rob Rouse (Himself);David Gest (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
1x06,2008-10-29,Calum Best (Himself);Rufus Hound (Himself);Eamonn Holmes (Himself);Stephen K. Amos (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
1x07,2008-11-05,John Bishop (Himself);Verne Troyer (Himself);Shaun Williamson (Himself);Darren Jeffries (Himself);Matt Littler (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
1x08,2008-11-12,Andrew Maxwell (Himself);Antony Cotton (Himself);Alex Zane (Himself);Tara Palmer-Tomkinson (Herself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
2x01,2009-02-25,Coolio  (Himself);Sara Cox (Herself);Kevin Bishop (Himself);Rufus Hound (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
2x02,2009-03-04,Scott Mills (Himself);Rob Deering (Himself);Joe Swash (Himself);Rufus Hound (Himself);Peaches Geldof (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
2x03,2009-03-11,Louis Walsh (Himself);Andrew Maxwell (Himself);Jodie Marsh (Herself);Rufus Hound (Himself);Peaches Geldof (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
2x04,2009-03-18,Dave Berry (Himself);David Van Day (Himself);Chanelle Hayes (Herself);Rufus Hound (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
