Episode,Date,Guests (Himself/Herself - Role)
1x01,2011-11-13,yy0vihbr:Sue Perkins (Herself - Host);2ufl1i4u:Dave Gorman (Himself);35eciypt:Richard Herring (Himself);z4b6o3bs:Rebecca Front (Herself);7smnrcfy:Dominic Lawson (Himself);,
1x02,2011-11-20,yy0vihbr:Sue Perkins (Herself - Host);s8iaatgc:Nick Revell (Himself);34qt5d7m:Danielle Ward (Herself);wiqek7yz:Grace Dent (Herself);12ao3g9k:Ricky Wilson (Himself);,
1x03,2011-11-27,yy0vihbr:Sue Perkins (Herself - Host);d9v5vbkt:Shappi Khorsandi (Herself);6pw4l4sx:Simon Munnery (Himself);m2nsmyzo:Fi Glover (Herself);wwg6s0zu:Hugo Rifkind (Himself);,
1x04,2011-12-04,yy0vihbr:Sue Perkins (Herself - Host);nlbhhrhx:Susan Calman (Herself);vj2aqy1m:Greg Proops (Himself);ob8tp2nu:Simon Evans (Himself);uj23k1td:Louise Wener (Herself);,
1x05,2011-12-11,yy0vihbr:Sue Perkins (Herself - Host);df8k5tz6:John Finnemore (Himself);34qt5d7m:Danielle Ward (Herself);ea7kakgp:Alun Cochrane (Himself);m20sraag:Ann Leslie (Herself);,
1x06,2011-12-18,yy0vihbr:Sue Perkins (Herself - Host);jtkbv70w:Zoe Lyons (Herself);sx5n2tkh:Phill Jupitus (Himself);1slc76r8:Simon Garfield (Himself);8zjfx5c2:Humphrey Ker (Himself);,
1x07,2012-08-19,yy0vihbr:Sue Perkins (Herself - Host);funl9xzs:Marcus Brigstocke (Himself);rpplxf6m:Bridget Christie (Herself);ukmyohzl:Janet Ellis (Herself);9p9lq6kq:George Wendt (Himself);,
2x01,2013-02-20,yy0vihbr:Sue Perkins (Herself - Host);japacokt:Paul Sinha (Himself);745v7bbm:Lemn Sissay (Himself);krr31jnw:Margaret Cabourn-Smith (Herself);0i00czvq:Graeme Garden (Himself);,
2x02,2013-02-27,yy0vihbr:Sue Perkins (Herself - Host);bgfey1xd:Josie Long (Herself);np24rr55:Owen Jones (Himself);or1mwpoj:Clare Grogan (Herself);luynjnx4:Andrew Maxwell (Himself);,
2x03,2013-03-06,yy0vihbr:Sue Perkins (Herself - Host);2ufl1i4u:Dave Gorman (Himself);g69kr8ki:Anita Anand (Herself);vimmz144:Mark Evans (Himself);fychgvqk:Jenny Eclair (Herself);,
2x04,2013-03-13,yy0vihbr:Sue Perkins (Herself - Host);45nd42d5:Roisin Conaty (Herself);5bb95s7h:Samira Ahmed (Herself);m5jimv6z:David Reed (Himself);k47hcr0j:Robin Ince (Himself);,
2x05,2013-03-20,yy0vihbr:Sue Perkins (Herself - Host);otgx4neo:Jason Cook (Himself);gaohfg7y:Cerys Matthews (Herself);ci9wcc5m:David Aaronovitch (Himself);lyr97zzu:Sara Pascoe (Herself);,
2x06,2013-03-27,yy0vihbr:Sue Perkins (Herself - Host);lcx9zc14:Miles Jupp (Himself);k3rnaprj:Annie Nightingale (Herself);vg4mni0b:Sarah Kendall (Herself);jk9oef3w:Isa Guha (Herself);,
3x01,2014-02-04,yy0vihbr:Sue Perkins (Herself - Host);4omd31xd:Kerry Godliman (Herself);rvyg998l:Clarke Carlisle (Himself);ulgkac33:Julia Hartley-Brewer (Herself);xyn6y2nv:John-Luke Roberts (Himself);,
3x02,2014-02-11,yy0vihbr:Sue Perkins (Herself - Host);03mha2zh:Tony Law (Himself);4n9puxbc:Gemma Cairney (Herself);xno4vfzt:Tim Harford (Himself);bik5fnyr:Isy Suttie (Herself);,
3x03,2014-02-18,yy0vihbr:Sue Perkins (Herself - Host);p8h0unpx:Tom Wrigglesworth (Himself);lzmsd9xx:Anne McElvoy (Herself);qw17f42h:Lucy Beaumont (Herself);py6lf095:Joel Morris (Himself);,
3x04,2014-02-25,yy0vihbr:Sue Perkins (Herself - Host);zhljs1k7:Nick Doody (Himself);d4hihzb4:Cush Jumbo (Herself);7smnrcfy:Dominic Lawson (Himself);27g5s77i:Angela Barnes (Herself);,
3x05,2014-03-04,yy0vihbr:Sue Perkins (Herself - Host);1hol02h9:Al Murray (Himself);gwjglx9o:Cerrie Burnell (Herself);ltnk2jj3:Ben Goldacre (Himself);34qt5d7m:Danielle Ward (Herself);,
3x06,2014-03-11,yy0vihbr:Sue Perkins (Herself - Host);rpplxf6m:Bridget Christie (Herself);cy7xus8k:Michael Rosen (Himself);elx9blrt:Laura Dockrill (Herself);ddsoiz6p:Adil Ray (Himself);,
4x01,2015-04-06,yy0vihbr:Sue Perkins (Herself - Host);oxyl45br:Sarah Millican (Herself);4c6jjcpj:Michael Deacon (Himself);ukmyohzl:Janet Ellis (Herself);m6id19ht:John Robins (Himself);,
4x02,2015-04-13,yy0vihbr:Sue Perkins (Herself - Host);pgoexum5:Lucy Porter (Herself);9nw3ng5z:Shaun Keaveny (Himself);naf7kby8:Jack Monroe (Herself);fmg0vgaf:Andy Zaltzman (Himself);,
4x03,2015-04-20,yy0vihbr:Sue Perkins (Herself - Host);b93y6vnu:Jo Brand (Herself);covw1bmy:Mara Carlyle (Herself);1qottrm5:Matthew Parris (Himself);rh8pcjot:Michael Legge (Himself);,
4x04,2015-04-27,yy0vihbr:Sue Perkins (Herself - Host);s1i29exq:Iain Stirling (Himself);j6gadhuy:Suzanne Moore (Herself);xp8151ah:Dan Tetsell (Himself);d9v5vbkt:Shappi Khorsandi (Herself);,
4x05,2015-05-04,yy0vihbr:Sue Perkins (Herself - Host);4rm30csy:Nathan Caton (Himself);c0wiutmd:Dan Snow (Himself);dbb93fkd:Natalie Haynes (Herself);26sqvuc5:Celia Pacquola (Herself);,
4x06,2015-05-11,yy0vihbr:Sue Perkins (Herself - Host);2ufl1i4u:Dave Gorman (Himself);ucuj533y:Jessica Hynes (Herself);u1lcnihj:Ian McMillan (Himself);34qt5d7m:Danielle Ward (Herself);,
