Episode,Date,Guests (Himself/Herself - Role)
0x00,2011-04,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Dan Maier (Himself);Jimbob (Himself)
1x01,2011-09-21,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Al Murray (Himself);Shappi Khorsandi (Herself)
1x02,2011-09-28,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Rich Fulcher (Himself);Emma Kennedy (Herself)
1x03,2011-10-06,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Thom Tuck (Himself);Martin White (Himself)
1x04,2011-10-17,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Scott Capurro (Himself);David Reed (Himself)
1x05,2011-12-21,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Jon Holmes (Himself);Bridget Christie (Herself)
2x01,2012-05-27,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Tony Law (Himself);Ruth Bratt (Herself)
2x02,2012-06-10,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Andy Zaltzman (Himself);Marek Larwood (Himself)
2x03,2012-06-24,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Dan Tetsell (Himself);Chris Neill (Himself)
2x04,2012-07-09,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Jenny Eclair (Herself);John Finnemore (Himself)
2x05,2012-07-23,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Robin Ince (Himself);Josie Long (Herself)
3x01,2012-11-28,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Paul Foot (Himself);Richard Herring (Himself)
3x02,2012-12-05,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Susan Calman (Herself);Nick Doody (Himself)
3x03,2012-12-12,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Les Dennis (Himself);Mark Olver (Himself);Bridget Christie (Herself)
3x04,2012-12-19,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Katy Brand (Herself);Dan Schreiber (Himself)
3x05,2013-01-09,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Howard Read (Himself);Jeremy Limb (Himself);Paul Litchfield (Himself)
3x06,2013-01-16,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Angelos Epithemiou (Himself);John-Luke Roberts (Himself)
3x07,2013-01-30,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Anglea Barnes (Herself);Justin Edwards (Himself);Gareth Gwyn (Himself)
3x08,2013-02-13,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Simon Evans (Himself);Lloyd Langford (Himself)
4x01,2014-01-22,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Sarah Millican (Herself);Jesse Thorn (Himself)
4x02,2014-01-29,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Jason Manford (Himself);Sara Pascoe (Herself)
4x03,2014-02-05,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Ray Peacock (Himself);Ed Gamble (Himself)
4x04,2014-02-12,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Lucy Porter (Herself);Simon Munnery (Himself)
5x01,2015-07-13,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Katherine Ryan (Herself);Mike Wozniak (Himself);Mason McQueen (Himself)
5x02,2015-07-20,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Romesh Ranganathan (Himself);Dave Gorman (Himself);Idil Sukan (Herself)
5x03,2015-07-27,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Brett Goldstein (Himself);Humphrey Ker (Himself);Simon Price (Himself)
5x04,2015-08-03,Danielle Ward (Herself - Host);Matthew Crosby (Himself);Margaret Cabourn-Smith (Herself - Team Captain);Ben Clark (Himself);Isy Suttie (Herself);George Watts (Himself)
5x05,2015-08-10,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Joe Lycett (Himself);Doc Brown (Himself);Dr Erica McAlister (Herself)
