Episode,Date,Guests (Himself/Herself - Role),References
1x01,2014-02-07,3xla1274:Lee Mack (Himself - Host);varfhn88:Melanie Chisholm (Herself);x9y0q5f5:Dara O'Briain (Himself);t6m377l9:Ruth Jones (Herself);,
1x02,2014-02-14,3xla1274:Lee Mack (Himself - Host);at7xv83r:Olivia Colman (Herself);w4g8xnp5:Rhod Gilbert (Himself);hns5e85y:Paul Hollywood (Himself);,
1x03,2014-02-21,3xla1274:Lee Mack (Himself - Host);yy0vihbr:Sue Perkins (Herself);k4ynw4wa:Bob Mortimer (Himself);n6jxkaze:Aston Merrygold (Himself);,
1x04,2014-02-28,3xla1274:Lee Mack (Himself - Host);roo1tkll:Miranda Hart (Herself);n37vsozt:Stephen Graham (Himself);fwsawolj:Richard Ayoade (Himself);,
1x05,2014-03-07,3xla1274:Lee Mack (Himself - Host);l9dxrh30:Sanjeev Bhaskar (Himself);l3qwywbu:Kathy Burke (Herself);vzxi0b57:John Hannah (Himself);,
1x06,2014-03-14,3xla1274:Lee Mack (Himself - Host);u2juhzhv:Ricky Tomlinson (Himself);vvpc2276:Sara Cox (Herself);k6egqudh:Jon Richardson (Himself);,
1x07,2014-03-21,3xla1274:Lee Mack (Himself - Host);qeo0rxo6:Terry Wogan (Himself);tiewbgqw:Jimmy Carr (Himself);6vpb1owi:Carol Vorderman (Herself);,
2x01,2014-09-01,3xla1274:Lee Mack (Himself - Host);1fchiwmk:Stephen Mangan (Himself);h6a1vk7h:Davina McCall (Herself);rasf33l1:Paddy McGuinness (Himself);,
2x02,2014-09-08,3xla1274:Lee Mack (Himself - Host);x9y0q5f5:Dara O'Briain (Himself);vssxz2dy:Holly Willoughby (Herself);i5uubaby:Hugh Dennis (Himself);,
2x03,2014-09-15,3xla1274:Lee Mack (Himself - Host);9b46vz01:Johnny Vegas (Himself);eyxy68yo:Mel Giedroyc (Herself);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself);,
2x04,2014-09-22,3xla1274:Lee Mack (Himself - Host);yeh4puca:Richard Madeley (Himself);wjmqif41:Denise Van Outen (Herself);3vblg9jo:Jason Manford (Himself);,
2x05,2014-09-29,3xla1274:Lee Mack (Himself - Host);tiewbgqw:Jimmy Carr (Himself);ewm3lv1m:Chris Packham (Himself);htprs4ot:Kimberley Walsh (Herself);,
2x06,2014-10-06,3xla1274:Lee Mack (Himself - Host);pgr1jqw5:Chris Tarrant (Himself);whm3kdox:Robert Webb (Himself);i0ufm9pu:Kimberly Wyatt (Herself);,
3x01,2015-08-31,3xla1274:Lee Mack (Himself - Host);5st7imgh:Jerry Springer (Himself);hte51vd7:Emma Bunton (Herself);h3jvd5mj:Jason Byrne (Himself);,
3x02,2015-09-07,3xla1274:Lee Mack (Himself - Host);cgg5lqmj:Jonathan Ross (Himself);x9y0q5f5:Dara O'Briain (Himself);15jmzsmk:Alex Jones (Herself);,
3x03,2015-09-14,3xla1274:Lee Mack (Himself - Host);tiewbgqw:Jimmy Carr (Himself);12ao3g9k:Ricky Wilson (Himself);xnyl5tpf:Jameela Jamil (Herself);,
3x04,2015-09-21,3xla1274:Lee Mack (Himself - Host);oxyl45br:Sarah Millican (Herself);1rtqz52s:Russell Kane (Himself);1erc5ch6:Sir Ranulph Fiennes (Himself);,
