Episode,Date,Guests (Himself/Herself - Role)
2x01,1998-09-14,iaig1f4n:Seán Moncrieff (Himself - Host);pnzgpgle:Brendan O'Connor (Himself - Team Captain);x9y0q5f5:Dara O'Briain (Himself - Team Captain);7d0f5ztk:Deirdre O'Neill (Herself);28i8y481:Peter Stringfellow (Himself);,http://www.redbrick.dcu.ie/~magluby/dftg/epguide2.php
2x02,1998-09-21,iaig1f4n:Seán Moncrieff (Himself - Host);pnzgpgle:Brendan O'Connor (Himself - Team Captain);x9y0q5f5:Dara O'Briain (Himself - Team Captain);6u7ctax1:Dave Fanning (Himself);z8uzlezs:Daire O'Brien (Himself),http://www.redbrick.dcu.ie/~magluby/dftg/epguide2.php
2x03,1998-09-28,iaig1f4n:Seán Moncrieff (Himself - Host);pnzgpgle:Brendan O'Connor (Himself - Team Captain);x9y0q5f5:Dara O'Briain (Himself - Team Captain);579d6gms:Susan Collins (Herself);rtuy108f:Anne Gildea (Herself);2ozcs2oj:Ronnie Drew (Himself);,http://www.redbrick.dcu.ie/~magluby/dftg/epguide2.php
2x04,1998-10-05,iaig1f4n:Seán Moncrieff (Himself - Host);pnzgpgle:Brendan O'Connor (Himself - Team Captain);x9y0q5f5:Dara O'Briain (Himself - Team Captain);uctwd8zz:Ming the Merciless (Himself);wqdsy232:Twink (Herself);,http://www.redbrick.dcu.ie/~magluby/dftg/epguide2.php
2x05,1998-10-12,iaig1f4n:Seán Moncrieff (Himself - Host);pnzgpgle:Brendan O'Connor (Himself - Team Captain);x9y0q5f5:Dara O'Briain (Himself - Team Captain);t7ilonm2:Eddie Naessens (Himself);0xxhbzdl:Pat Rabbitte (Himself),http://www.redbrick.dcu.ie/~magluby/dftg/epguide2.php
2x06,1998-10-19,iaig1f4n:Seán Moncrieff (Himself - Host);pnzgpgle:Brendan O'Connor (Himself - Team Captain);x9y0q5f5:Dara O'Briain (Himself - Team Captain);ukfvnwms:Gerry Kelly (Himself);1v0g1efd:Martin King (Himself),http://www.redbrick.dcu.ie/~magluby/dftg/epguide2.php
2x07,1998-10-26,iaig1f4n:Seán Moncrieff (Himself - Host);pnzgpgle:Brendan O'Connor (Himself - Team Captain);x9y0q5f5:Dara O'Briain (Himself - Team Captain);0pq3w3re:Senator David Norris (Himself);25mg4p19:Charlie Bird (Himself),http://www.redbrick.dcu.ie/~magluby/dftg/epguide2.php
2x08,1998-11-02,iaig1f4n:Seán Moncrieff (Himself - Host);pnzgpgle:Brendan O'Connor (Himself - Team Captain);x9y0q5f5:Dara O'Briain (Himself - Team Captain);9fwqmezn:Derek Davis (Himself);43b1gtld:Linda Martin (Herself),http://www.redbrick.dcu.ie/~magluby/dftg/epguide2.php
2x09,1998-11-09,iaig1f4n:Seán Moncrieff (Himself - Host);pnzgpgle:Brendan O'Connor (Himself - Team Captain);x9y0q5f5:Dara O'Briain (Himself - Team Captain);mk8d3j70:Patricia McKenna (Herself);i4p0xxgw:George Hamilton (Himself),http://www.redbrick.dcu.ie/~magluby/dftg/epguide2.php
2x10,1998-11-16,iaig1f4n:Seán Moncrieff (Himself - Host);pnzgpgle:Brendan O'Connor (Himself - Team Captain);x9y0q5f5:Dara O'Briain (Himself - Team Captain);lqu3n4lu:Ed Byrne (Himself);xpa0h89i:Michael D. Higgins (Himself),http://www.redbrick.dcu.ie/~magluby/dftg/epguide2.php
2x11,1998-11-23,iaig1f4n:Seán Moncrieff (Himself - Host);pnzgpgle:Brendan O'Connor (Himself - Team Captain);x9y0q5f5:Dara O'Briain (Himself - Team Captain);381rho8y:Mick Cahill (Himself);busnkmll:Brendan O'Carroll (Himself);,http://www.redbrick.dcu.ie/~magluby/dftg/epguide2.php
2x12,1998-11-30,iaig1f4n:Seán Moncrieff (Himself - Host);pnzgpgle:Brendan O'Connor (Himself - Team Captain);x9y0q5f5:Dara O'Briain (Himself - Team Captain);q4eeninj:Michael Lyster (Himself);syiljulo:Eunice McMenimen (Herself);,http://www.redbrick.dcu.ie/~magluby/dftg/epguide2.php
2x13,1998-12-07,iaig1f4n:Seán Moncrieff (Himself - Host);pnzgpgle:Brendan O'Connor (Himself - Team Captain);x9y0q5f5:Dara O'Briain (Himself - Team Captain);xn5le1ni:Jonathan Philbin Bowman (Himself);6dhvamnb:Finbar Furey (Himself);,http://www.redbrick.dcu.ie/~magluby/dftg/epguide2.php
2x13,1998-12-14,iaig1f4n:Seán Moncrieff (Himself - Host);pnzgpgle:Brendan O'Connor (Himself - Team Captain);x9y0q5f5:Dara O'Briain (Himself - Team Captain);2gqsddxi:Eamonn McCann (Himself);ztkh5twg:Anne Doyle (Herself),http://www.redbrick.dcu.ie/~magluby/dftg/epguide2.php
2x14,1998-12-21,iaig1f4n:Seán Moncrieff (Himself - Host);pnzgpgle:Brendan O'Connor (Himself - Team Captain);x9y0q5f5:Dara O'Briain (Himself - Team Captain);cwemq0t6:Ivan Yates (Himself);pub7yrvy:Dickie Rock (Himself),http://www.redbrick.dcu.ie/~magluby/dftg/epguide2.php
3x01,1999-02-15,iaig1f4n:Seán Moncrieff (Himself - Host);pnzgpgle:Brendan O'Connor (Himself - Team Captain);x9y0q5f5:Dara O'Briain (Himself - Team Captain);gr8x4ope:Tony Gregory (Himself);uctwd8zz:Luke 'Ming' Flanagan (Himself);,http://www.redbrick.dcu.ie/~magluby/dftg/epguide3.php
