Episode,Date,Guests (Himself/Herself - Role),References
b007rdf3,2007-07-01,c3rbbyxx:Eric Robson (Himself - Host);5631brmu:Carole Baxter (Herself);80blrdy1:Bob Flowerdew (Himself);hf0tqhpm:John Cushnie (Himself),http://www.bbc.co.uk/programmes/b007rdf3
b007rwmz,2007-07-08,c3rbbyxx:Eric Robson (Himself - Host);ftvf5guo:Anne Swithinbank (Herself);80blrdy1:Bob Flowerdew (Himself);8lu8avar:Bunny Guinness (Herself),http://www.bbc.co.uk/programmes/b007rwmz
b007snd0,2007-07-15,ftvf5guo:Anne Swithinbank (Herself);zgiug8pp:Pippa Greenwood (Herself);a54csc0l:Chris Beardshaw (Himself),http://www.bbc.co.uk/programmes/b007snd0
b007t9tm,2007-07-22,5t4e07w6:Matthew Biggs (Himself);80blrdy1:Bob Flowerdew (Himself);z7erbl7l:Peter Gibbs (Himself - Host);zgiug8pp:Pippa Greenwood (Herself),http://www.bbc.co.uk/programmes/b007t9tm
b007tw2t,2007-07-29,80blrdy1:Bob Flowerdew (Himself);8lu8avar:Bunny Guinness (Herself);z7erbl7l:Peter Gibbs (Himself - Host);hf0tqhpm:John Cushnie (Himself),http://www.bbc.co.uk/programmes/b007tw2t
b007vd4g,2007-08-05,c3rbbyxx:Eric Robson (Himself - Host);8lu8avar:Bunny Guinness (Herself);hf0tqhpm:John Cushnie (Himself);zgiug8pp:Pippa Greenwood (Herself),http://www.bbc.co.uk/programmes/b007vd4g
b007vw1k,2007-08-12,c3rbbyxx:Eric Robson (Himself - Host);ftvf5guo:Anne Swithinbank (Herself);80blrdy1:Bob Flowerdew (Himself);a54csc0l:Chris Beardshaw (Himself),http://www.bbc.co.uk/programmes/b007vw1k
b007w97w,2007-08-19,ftvf5guo:Anne Swithinbank (Herself);80blrdy1:Bob Flowerdew (Himself);z7erbl7l:Peter Gibbs (Himself - Host);zgiug8pp:Pippa Greenwood (Herself),http://www.bbc.co.uk/programmes/b007w97w
b007wvlc,2007-08-26,c3rbbyxx:Eric Robson (Himself - Host),http://www.bbc.co.uk/programmes/b007wvlc
b007xhyn,2007-09-02,c3rbbyxx:Eric Robson (Himself - Host);ftvf5guo:Anne Swithinbank (Herself);80blrdy1:Bob Flowerdew (Himself);a54csc0l:Chris Beardshaw (Himself),http://www.bbc.co.uk/programmes/b007xhyn
b007y2cn,2007-09-09,ftvf5guo:Anne Swithinbank (Herself);80blrdy1:Bob Flowerdew (Himself);zgiug8pp:Pippa Greenwood (Herself),http://www.bbc.co.uk/programmes/b007y2cn
b007yp4l,2007-09-16,c3rbbyxx:Eric Robson (Himself - Host),http://www.bbc.co.uk/programmes/b007yp4l
b007zd3n,2007-09-23,5t4e07w6:Matthew Biggs (Himself);80blrdy1:Bob Flowerdew (Himself);z7erbl7l:Peter Gibbs (Himself - Host);zgiug8pp:Pippa Greenwood (Herself),http://www.bbc.co.uk/programmes/b007zd3n
