Episode,Date,Guests (Himself/Herself - Role)
1x01,2004-12-02,6hf6p78p:Michael Bywater (Himself);pyqgtpx8:David Baddiel (Himself - Host);yy0vihbr:Sue Perkins (Herself);m2nsmyzo:Fi Glover (Herself);ub65grfy:Simon Hoggart (Himself);,
1x02,2004-12-09,nn71jpyb:David Walliams (Himself);hk2rczao:Alan Davies (Himself);p18d0gbi:Jenny Colgan (Herself);pyqgtpx8:David Baddiel (Himself - Host);nzjlb6or:Peter Bradshaw (Himself);,
1x03,2004-12-16,pyqgtpx8:David Baddiel (Himself - Host);x5unmeqr:Victoria Coren Mitchell (Herself);nzjlb6or:Peter Bradshaw (Himself);y8d0z6al:Zoe Williams (Herself);6hf6p78p:Michael Bywater (Himself);,
1x04,2004-12-23,x5unmeqr:Victoria Coren Mitchell (Herself);8k06jq62:John O'Farrell (Himself);y8d0z6al:Zoe Williams (Herself);lg4f4z19:Armando Iannucci (Himself);pyqgtpx8:David Baddiel (Himself - Host);,
2x01,2005-06-22,pyqgtpx8:David Baddiel (Himself - Host);8k06jq62:John O'Farrell (Himself);nzjlb6or:Peter Bradshaw (Himself);x5unmeqr:Victoria Coren Mitchell (Herself);,
2x02,2005-06-29,8k06jq62:John O'Farrell (Himself);cgg5lqmj:Jonathan Ross (Himself);6hf6p78p:Michael Bywater (Himself);pyqgtpx8:David Baddiel (Himself - Host);,
2x03,2005-07-06,pyqgtpx8:David Baddiel (Himself - Host);nzjlb6or:Peter Bradshaw (Himself);ez4jpezy:Chris Langham (Himself);l9dxrh30:Sanjeev Bhaskar (Himself);,
2x04,2005-07-13,i5uubaby:Hugh Dennis (Himself);yy0vihbr:Sue Perkins (Herself);6hf6p78p:Michael Bywater (Himself);pyqgtpx8:David Baddiel (Himself - Host);,
2x05,2005-07-20,8bduf8ih:Frank Skinner (Himself);lg4f4z19:Armando Iannucci (Himself);yy0vihbr:Sue Perkins (Herself);pyqgtpx8:David Baddiel (Himself - Host);,
2x06,2005-07-27,pyqgtpx8:David Baddiel (Himself - Host);nn71jpyb:David Walliams (Himself);wguqcrlr:Matt Lucas (Himself);8k06jq62:John O'Farrell (Himself);,
3x01,2006-05-10,pyqgtpx8:David Baddiel (Himself - Host);yy0vihbr:Sue Perkins (Herself);35eciypt:Richard Herring (Himself);nzjlb6or:Peter Bradshaw (Himself);,
3x02,2006-05-17,pyqgtpx8:David Baddiel (Himself - Host);0724mpe9:Stewart Lee (Himself);uk8mmmbl:Reginald D. Hunter (Himself);bd9u5fdd:Joanna Scanlan (Herself);,
3x03,2006-05-24,lqu3n4lu:Ed Byrne (Himself);6hf6p78p:Michael Bywater (Himself);cgg5lqmj:Jonathan Ross (Himself);pyqgtpx8:David Baddiel (Himself - Host);,
3x04,2006-05-31,lyhqj9gj:Russell Brand (Himself);br52jdqx:Ruby Wax (Herself);3xla1274:Lee Mack (Himself);pyqgtpx8:David Baddiel (Himself - Host);,
