Episode,Date,Guests (Himself/Herself - Role),References
1x01,1990-09-28,5b7d718r:Angus Deayton (Himself - Host);nch01m5e:Sandi Toksvig (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);ty4tom5f:Kate Saunders (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
1x02,1990-10-05,5b7d718r:Angus Deayton (Himself - Host);t5dwdzuc:Jan Ravens (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);uoz7sa5j:Martin Young (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
1x03,1990-10-12,5b7d718r:Angus Deayton (Himself - Host);ygwbc6f2:Tony Slattery (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);fm8ck9tq:Robert Harris (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
1x04,1990-10-19,5b7d718r:Angus Deayton (Himself - Host);dvfmpovw:Arthur Smith (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);lnh61kma:Gill Pyrah (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
1x05,1990-10-26,5b7d718r:Angus Deayton (Himself - Host);tlivezct:Dillie Keane (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);ub65grfy:Simon Hoggart (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
1x06,1990-11-02,5b7d718r:Angus Deayton (Himself - Host);yta3thvj:Rory McGrath (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);hh3bsso3:Ken Livingstone (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
1x07,1990-11-09,5b7d718r:Angus Deayton (Himself - Host);i4apt8jq:Clive Anderson (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);or8i333m:Russell Davies (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
1x08,1990-11-16,5b7d718r:Angus Deayton (Himself - Host);bk2xi19y:Germaine Greer (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);og8l7e2v:Tony Banks (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
2x01,1991-10-04,5b7d718r:Angus Deayton (Himself - Host);nch01m5e:Sandi Toksvig (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);xpblod5g:David Thomas (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
2x02,1991-10-11,5b7d718r:Angus Deayton (Himself - Host);ygwbc6f2:Tony Slattery (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);2krdo89a:Alan Coren (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
2x03,1991-10-18,5b7d718r:Angus Deayton (Himself - Host);yta3thvj:Rory McGrath (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);og8l7e2v:Tony Banks (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
2x04,1991-10-25,5b7d718r:Angus Deayton (Himself - Host);r2evoq9e:John Wells (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);fm8ck9tq:Robert Harris (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
2x05,1991-11-01,5b7d718r:Angus Deayton (Himself - Host);32gvimgg:Nick Hancock (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);palb9fi1:Clare Short (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
2x06,1991-11-08,5b7d718r:Angus Deayton (Himself - Host);tz7to4m0:Stephen Frost (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);hahgf89a:Michael White (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
2x07,1991-11-15,5b7d718r:Angus Deayton (Himself - Host);8ncwibxa:Craig Ferguson (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);1czc9u31:Trevor McDonald (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
2x08,1991-11-22,5b7d718r:Angus Deayton (Himself - Host);4tt7tu3p:Richard Ingrams (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);w5219u35:Richard Littlejohn (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
2x09,1991-11-29,5b7d718r:Angus Deayton (Himself - Host);t5dwdzuc:Jan Ravens (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);uoz7sa5j:Martin Young (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
2x10,1991-12-06,5b7d718r:Angus Deayton (Himself - Host);iv4cr5kf:Kevin Day (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);hsz62vhh:Edwina Currie (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
3x02,1992-04-24,5b7d718r:Angus Deayton (Himself - Host);r2evoq9e:John Wells (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);ygwbc6f2:Tony Slattery (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
3x03,1992-05-01,5b7d718r:Angus Deayton (Himself - Host);6ib1enk4:Donna McPhail (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);m2pllc47:Joan Bakewell (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
3x04,1992-05-08,5b7d718r:Angus Deayton (Himself - Host);t5dwdzuc:Jan Ravens (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);8zqe3f8c:Charles Kennedy (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
3x05,1992-05-15,5b7d718r:Angus Deayton (Himself - Host);x683ycrx:Harry Enfield (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);4dybcuhq:John Diamond (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
3x06,1992-05-22,5b7d718r:Angus Deayton (Himself - Host);yta3thvj:Rory McGrath (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);hh3bsso3:Ken Livingstone (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
3x07,1992-05-29,5b7d718r:Angus Deayton (Himself - Host);8b83ajav:Danny Baker (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);uagw0ee7:Steve Steen (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
3x08,1992-06-05,5b7d718r:Angus Deayton (Himself - Host);12j1gi9t:Anne Robinson (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);6jht67f1:Griff Rhys Jones (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
3x09,1992-06-12,5b7d718r:Angus Deayton (Himself - Host);tz7to4m0:Stephen Frost (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);ag7z2y9m:Stephanie Calman (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
3x10,1992-06-19,5b7d718r:Angus Deayton (Himself - Host);mop8wi6t:John Sessions (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);1czc9u31:Trevor McDonald (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
3x11,1992-06-26,5b7d718r:Angus Deayton (Himself - Host);ig1jm66z:Norman Willis (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);z4aqphno:Cecil Parkinson (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
4x01,1992-10-16,5b7d718r:Angus Deayton (Himself - Host);mop8wi6t:John Sessions (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);6jht67f1:Griff Rhys Jones (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
4x02,1992-10-23,5b7d718r:Angus Deayton (Himself - Host);pyqgtpx8:David Baddiel (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);8zqe3f8c:Charles Kennedy (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
4x03,1992-10-30,5b7d718r:Angus Deayton (Himself - Host);8b83ajav:Danny Baker (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);5l9cvlll:Annabel Giles (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
