Episode,Date,Guests (Himself/Herself - Role),References
p0054578,1998-10-15,vvgcg1oo:Melvyn Bragg (Himself - Host);75f2tpht:Michael Ignatieff (Himself);vdequf5v:Sir Michael Howard (Himself);,
p005456z,1998-10-22,vvgcg1oo:Melvyn Bragg (Himself - Host);gppgon6h:Gore Vidal (Himself);w5h5xnbl:Alan Clarke (Himself);,
p005454c,1998-10-29,vvgcg1oo:Melvyn Bragg (Himself - Host);nfed3hcf:Richard Dawkins (Himself);zrca35on:Ian McEwan (Himself);,
p005457h,1998-11-05,vvgcg1oo:Melvyn Bragg (Himself - Host);l1tmtutp:John Gribbin (Himself);hkxwc51r:Mary Midgley (Herself);,
p005457r,1998-11-12,vvgcg1oo:Melvyn Bragg (Himself - Host);ba95klxz:Sir Peter Hall (Himself);h0xha67k:Doreen Massey (Herself);,
p0054582,1998-11-19,vvgcg1oo:Melvyn Bragg (Himself - Host);glz3t1hk:Steven Rose (Himself);ogc06kfm:Dan Robinson (Himself);,
p0054588,1998-11-26,vvgcg1oo:Melvyn Bragg (Himself - Host);8qt1f4ur:Professor Richard Sennett (Himself);4wqiu2wm:Theodore Zeldin (Himself);ojvlidqa:Melanie Phillips (Herself);,
p005458g,1998-12-03,vvgcg1oo:Melvyn Bragg (Himself - Host);y1i8v4nt:Simon Schama (Himself);o6mh1d8y:Lady Antonia Fraser historian (Herself);,
p005458s,1998-12-10,vvgcg1oo:Melvyn Bragg (Himself - Host);0qzkrqn6:Professor Homi Bhabha (Himself);3808dcs3:Profesor John Gray (Himself);,
p0054594,1998-12-17,vvgcg1oo:Melvyn Bragg (Himself - Host);nt97gymi:Harry Evans (Himself);7cgf8ofb:John Lloyd (Himself);,
p005459f,1998-12-24,vvgcg1oo:Melvyn Bragg (Himself - Host);nuxigm25:Professor Susan Greenfield (Herself);5k2fmhub:Professor Vilayanur Ramachandran (Himself);,
p005459p,1998-12-31,vvgcg1oo:Melvyn Bragg (Himself - Host);xy0zarqd:Catherine Hall (Herself);ztx5tmwq:Professor Linda Colley (Herself);,
p00545b0,1999-01-07,vvgcg1oo:Melvyn Bragg (Himself - Host);zlr0e546:Dr Helena Cronin (Herself);bk2xi19y:Germaine Greer (Herself);,
p00545bb,1999-01-14,vvgcg1oo:Melvyn Bragg (Himself - Host);zp4h14c0:Grahame Bulfield (Himself);2y2dw9e7:Bryan Appleyard (Himself);,
p00545bs,1999-01-21,vvgcg1oo:Melvyn Bragg (Himself - Host);j0l9nspu:Will Self (Himself);0bmgbazy:Roger Scruton (Himself);,
p00545c0,1999-01-28,vvgcg1oo:Melvyn Bragg (Himself - Host);0ezkw679:Professor Alan Walker (Himself);1hjmnt1g:Professor Tom Kirkwood (Himself);,
p00545cg,1999-02-04,vvgcg1oo:Melvyn Bragg (Himself - Host);7wbt0iwn:Dr Juliet Mitchell (Herself);3gg4xxvc:Adam Phillips (Himself);,
p00545cr,1999-02-11,vvgcg1oo:Melvyn Bragg (Himself - Host);ejw56kt8:Dr Jonathan Miller (Himself);554pul28:Steven Pinker (Himself);,
p00545d1,1999-02-18,vvgcg1oo:Melvyn Bragg (Himself - Host);23nn837q:The Reverend Dr John Polkinghorne (Himself);71wn2mfk:Margaret Wertheim (Herself);,
p00545dc,1999-02-25,vvgcg1oo:Melvyn Bragg (Himself - Host);jg7tvifo:Professor Eric Hobsbawm (Himself);8oc2kyad:Frances Morris (Herself);,
p00545dp,1999-03-04,vvgcg1oo:Melvyn Bragg (Himself - Host);mhs00ae5:Harold Bloom (Himself);wxaburgh:Jacqueline Rose (Herself);,
p00545f0,1999-03-11,vvgcg1oo:Melvyn Bragg (Himself - Host);qvl3o8jo:Professor Jared Diamond (Himself);nvq6ltxu:Richard Evans (Himself);,
p00545f8,1999-03-18,vvgcg1oo:Melvyn Bragg (Himself - Host);0nntrnkr:Colin Blakemore (Himself);z18e5rdr:Dr Lynda Birke (Herself);,
p00545fm,1999-03-25,vvgcg1oo:Melvyn Bragg (Himself - Host);duh9jmh0:Richard Weston (Himself);7n5d7k60:Daniel Libeskind (Himself);,
p00545g0,1999-04-01,vvgcg1oo:Melvyn Bragg (Himself - Host);sjhd3lwt:Leszek Kolakowski (Himself);9arbqfwf:Galen Strawson (Himself);,
p00545g8,1999-04-08,vvgcg1oo:Melvyn Bragg (Himself - Host);m13s2ln8:Nadine Gordimer (Herself);w101ords:Ariel Dorfman (Herself);,
p00545gl,1999-04-15,vvgcg1oo:Melvyn Bragg (Himself - Host);t3x8z5ia:Colin Tudge (Himself);m8y816rh:John Maynard Smith (Himself);,
p00545gy,1999-04-22,vvgcg1oo:Melvyn Bragg (Himself - Host);9x5tqn4y:Karen Armstrong (Herself);axigakb6:Tariq Ali (Himself);,
p00545h7,1999-04-29,vvgcg1oo:Melvyn Bragg (Himself - Host);pp3k0ly6:Igor Aleksander (Himself);nbde24vc:John Searle (Himself);,
p00545hk,1999-05-06,vvgcg1oo:Melvyn Bragg (Himself - Host);x53js5d0:Ian Stewart (Himself);wvbly28h:Brian Butterworth (Himself);,
p00545hw,1999-05-13,vvgcg1oo:Melvyn Bragg (Himself - Host);wjjq9pp4:Stuart Hall (Himself);7ouawesc:Dr Avtar Brah (Herself);,
p00545j9,1999-05-20,vvgcg1oo:Melvyn Bragg (Himself - Host);xea0266m:Professor Sir Martin Rees (Himself);tb3mc69a:Professor Paul Davies (Himself);,
p00545jl,1999-05-27,vvgcg1oo:Melvyn Bragg (Himself - Host);vh7mujd0:Professor Malcolm Bowie (Himself);enx3m0ep:Dr Nancy Wood (Herself);,
p00545jx,1999-06-03,vvgcg1oo:Melvyn Bragg (Himself - Host);hfqealw9:Professor John Keane (Himself);ca3ggedp:Dr Niall Ferguson (Himself);,
p00545k6,1999-06-10,vvgcg1oo:Melvyn Bragg (Himself - Host);y2wox3f8:Professor David Cannadine (Himself);1ebvq12r:Bea Campbell (Herself);,
p00545kh,1999-06-17,vvgcg1oo:Melvyn Bragg (Himself - Host);823xc7rl:Francis Fukuyama (Himself);otxjal5o:Amos Oz (Himself);,
p00545kv,1999-06-24,vvgcg1oo:Melvyn Bragg (Himself - Host);zc2yjhxo:Anatole Kaletsky (Himself);k9v2gdli:Edward Luttwak (Himself);,
p00545l3,1999-07-01,vvgcg1oo:Melvyn Bragg (Himself - Host);do9qi481:Dr Ken Richardson (Himself);rhqvx2gh:Professor Michael Ruse (Himself);,
p00545ld,1999-07-08,vvgcg1oo:Melvyn Bragg (Himself - Host);olas5uue:Professor Henry Louis Gates Jr (Himself);6q5s3iay:Anthony Sampson (Himself);,
p00545lr,1999-07-15,vvgcg1oo:Melvyn Bragg (Himself - Host);sy9ril9o:Elena Lappin (Herself);k3cuxmkw:Dr Nick Groom (Himself);,
p00545m1,1999-07-22,vvgcg1oo:Melvyn Bragg (Himself - Host);4oz5400z:Patrick Wall (Himself);orajbkf7:Semir Zeki (Himself);,
p005461w,1999-09-23,vvgcg1oo:Melvyn Bragg (Himself - Host);nqgc9rno:Steve Jones (Himself);8ifai3p6:Matt Ridley (Himself);,
p0054625,1999-09-30,vvgcg1oo:Melvyn Bragg (Himself - Host);mkno3gxb:John Allen Paulos (Himself);53a5fi3o:Marina Warner (Herself);,
p005462n,1999-10-07,vvgcg1oo:Melvyn Bragg (Himself - Host);1ouvakui:Dr Anthony Grayling (Himself);epyfp1hn:John Carey (Himself);,
p005462v,1999-10-14,vvgcg1oo:Melvyn Bragg (Himself - Host);e0m721yh:Norman Davies (Himself);1f8l0y46:Andrew Marr (Himself);,
p0054631,1999-10-21,vvgcg1oo:Melvyn Bragg (Himself - Host);46b8bxva:Richard Wollheim (Himself);g7z94rru:Jonathan Dollimore (Himself);,
p0054638,1999-10-28,vvgcg1oo:Melvyn Bragg (Himself - Host);gox8i9x4:Jonathan Glover (Himself);8bjbparo:Dr Gwen Adshead (Herself);,
p005463m,1999-11-04,vvgcg1oo:Melvyn Bragg (Himself - Host);zgap0u93:Mary Warnock (Herself);rlugmajd:Ted Wragg (Himself);,
p005463z,1999-11-11,vvgcg1oo:Melvyn Bragg (Himself - Host);gawzo8sn:D J Taylor (Himself);z9rd8jqz:Gillian Beer (Herself);,
p0054646,1999-11-18,vvgcg1oo:Melvyn Bragg (Himself - Host);3ff8lea6:Anthony O’Hear (Himself);3gg4xxvc:Adam Phillips (Himself);,
p005464j,1999-11-25,vvgcg1oo:Melvyn Bragg (Himself - Host);yz9xc6rv:Ted Honderich (Himself);9dqy3tjn:Sir Roger Penrose (Himself);,
p005464v,1999-12-02,vvgcg1oo:Melvyn Bragg (Himself - Host);ubvmprgc:Professor George Steiner (Himself);u3jw0sdg:Professor Catherine Belsey (Herself);,
p0054653,1999-12-09,vvgcg1oo:Melvyn Bragg (Himself - Host);190b3e1b:Christina Hardyment (Herself);i4utag2p:Dr Theodore Zeldin (Himself);,
p005465c,1999-12-16,vvgcg1oo:Melvyn Bragg (Himself - Host);986c0gst:Barry Jackson (Himself);7zjiblad:Professor Sheila McLean (Herself);,
p005465m,1999-12-23,vvgcg1oo:Melvyn Bragg (Himself - Host);emb12k97:Professor Russell Stannard (Himself);lbh9bjoa:Andrew Samuels (Himself);,
p005465z,1999-12-30,vvgcg1oo:Melvyn Bragg (Himself - Host);bb19rc7y:Dr Neil Johnson (Himself);lkng81mn:Lee Smolin (Himself);,
p00546l7,2000-01-06,vvgcg1oo:Melvyn Bragg (Himself - Host);kjsv568z:Sir John Houghton (Himself);780qxp6u:George Monbiot (Himself);,
p00546lm,2000-01-13,vvgcg1oo:Melvyn Bragg (Himself - Host);lfbbqbyr:Charles Leadbeater (Himself);bvd2dzgx:Ian Angell (Himself);,
p00546lx,2000-01-20,vvgcg1oo:Melvyn Bragg (Himself - Host);ueiocdpd:Martin Amis (Himself);dp89bfyw:Cora Kaplan (Herself);,
p00546m7,2000-01-27,vvgcg1oo:Melvyn Bragg (Himself - Host);wlt9ke6z:Professor Amartya Sen (Himself);cnzisfvz:Will Hutton (Himself);,
p00546mp,2000-02-03,vvgcg1oo:Melvyn Bragg (Himself - Host);45ipurvw:Dr Sarah Barber (Herself);6v7z5jog:Andrew Roberts (Himself);,
p00546n1,2000-02-10,vvgcg1oo:Melvyn Bragg (Himself - Host);91mom4lv:Nicholas Boyle (Himself);o4zoevu0:Simon Schaffer (Himself);,
p00546nk,2000-02-17,vvgcg1oo:Melvyn Bragg (Himself - Host);hcvbd6xb:Kevin Sharpe (Himself);0scnehel:Jacqueline Pearson (Herself);,
