Episode,Date,Guests (Himself/Herself - Role),References
1x01,1972-04-11,0i00czvq:Graeme Garden (Himself);27i85ut0:Jo Kendall (Herself);tn2a91cb:Tim Brooke-Taylor (Himself);l57v7nvn:Bill Oddie (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/8cce89d8f25d4c18bcf10e0f43ddd946
1x02,1972-04-18,0i00czvq:Graeme Garden (Himself);27i85ut0:Jo Kendall (Herself);tn2a91cb:Tim Brooke-Taylor (Himself);l57v7nvn:Bill Oddie (Himself);t4r1ivmw:Barry Cryer (Himself - Host);,http://genome.ch.bbc.co.uk/9464013611b24e889e95fadda49a9a34
1x03,1972-04-25,0i00czvq:Graeme Garden (Himself);27i85ut0:Jo Kendall (Herself);tn2a91cb:Tim Brooke-Taylor (Himself);l57v7nvn:Bill Oddie (Himself);t4r1ivmw:Barry Cryer (Himself - Host);,http://genome.ch.bbc.co.uk/da776efd2dd045c88a4ff67ed4ee0e5c
1x04,1972-05-02,hq88jn9g:John Cleese (Himself);tn2a91cb:Tim Brooke-Taylor (Himself);l57v7nvn:Bill Oddie (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);0i00czvq:Graeme Garden (Himself);,http://genome.ch.bbc.co.uk/f3a8952e04784db88d243ecd78705ba3
1x05,1972-05-09,tn2a91cb:Tim Brooke-Taylor (Himself);hq88jn9g:John Cleese (Himself);0i00czvq:Graeme Garden (Himself);l57v7nvn:Bill Oddie (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/4ad5943ae8ba4fb9812bf5dcdb58040a
1x06,1972-05-16,tn2a91cb:Tim Brooke-Taylor (Himself);hq88jn9g:John Cleese (Himself);0i00czvq:Graeme Garden (Himself);l57v7nvn:Bill Oddie (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/71b0867219494eb995c4ade4675ce1b0
1x07,1972-05-23,tn2a91cb:Tim Brooke-Taylor (Himself);hq88jn9g:John Cleese (Himself);0i00czvq:Graeme Garden (Himself);l57v7nvn:Bill Oddie (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/ca78a674399a4c788301772e8d67ede0
1x08,1972-05-30,tn2a91cb:Tim Brooke-Taylor (Himself);0i00czvq:Graeme Garden (Himself);27i85ut0:Jo Kendall (Herself);l57v7nvn:Bill Oddie (Himself);,http://genome.ch.bbc.co.uk/7929188c3c7f4d90abf1147b013334cf
1x09,1972-06-06,tn2a91cb:Tim Brooke-Taylor (Himself);0i00czvq:Graeme Garden (Himself);27i85ut0:Jo Kendall (Herself);l57v7nvn:Bill Oddie (Himself);t4r1ivmw:Barry Cryer (Himself - Host);,http://genome.ch.bbc.co.uk/9589d3b765f14f508f306f846d1a60be
1x10,1972-06-13,tn2a91cb:Tim Brooke-Taylor (Himself);hq88jn9g:John Cleese (Himself);0i00czvq:Graeme Garden (Himself);cpzjwbil:Bill Oddle ();t4r1ivmw:Barry Cryer (Himself - Host);,http://genome.ch.bbc.co.uk/285ac5ffe8554a8e9d227d2b195aba29
1x11,1972-06-20,tn2a91cb:Tim Brooke-Taylor (Himself);hq88jn9g:John Cleese (Himself);0i00czvq:Graeme Garden (Himself);l57v7nvn:Bill Oddie (Himself);t4r1ivmw:Barry Cryer (Himself - Host);,http://genome.ch.bbc.co.uk/785130325c86446fa8e38fbdb0b5a8e2
1x12,1972-06-27,tn2a91cb:Tim Brooke-Taylor (Himself);hq88jn9g:John Cleese (Himself);0i00czvq:Graeme Garden (Himself);27i85ut0:Jo Kendall (Herself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/24067268f9034f4dbd2dbffe5f6fa0cf
1x13,1972-07-04,tn2a91cb:Tim Brooke-Taylor (Himself);hq88jn9g:John Cleese (Himself);0i00czvq:Graeme Garden (Himself);27i85ut0:Jo Kendall (Herself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/627bfb996c2647f49941e7d260845184
2x01,1973-04-30,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);l57v7nvn:Bill Oddie (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/a9ac7a7760c049838df4ccf383f97b25
2x02,1973-05-07,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);l57v7nvn:Bill Oddie (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/2112e8971cfa46a9961cffca2de41c1a
2x03,1973-05-14,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);l57v7nvn:Bill Oddie (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/6f0d8de926344437a027ad047528cbe4
2x04,1973-05-21,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);l57v7nvn:Bill Oddie (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/bc92b040a1124fbcaea6cb6ac7f974aa
2x05,1973-05-28,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);l57v7nvn:Bill Oddie (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/64c449d04c8e4d978e0aff491e431be2
2x06,1973-06-04,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);l57v7nvn:Bill Oddie (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/a3e7a7b48328448b916c58dbb37490d4
2x07,1973-06-11,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);l57v7nvn:Bill Oddie (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/5f1b9b274acd4088be78d47cad16bd98
2x08,1973-06-18,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);l57v7nvn:Bill Oddie (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/cdd895c7ff9a40ba9d10aee3a20b6b3d
2x09,1973-06-25,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);l57v7nvn:Bill Oddie (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/4031bceec82149578f30854766bc4cc7
2x10,1973-07-02,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);l57v7nvn:Bill Oddie (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/13b47d14779c44f19536980c9aa9f515
2x11,1973-07-09,anx0aq5q:Humphrey Lyttelton (Himself - Host);tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);l57v7nvn:Bill Oddie (Himself);,http://genome.ch.bbc.co.uk/910583cb3f3644678facbc402d67eaed
2x12,1973-07-16,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);l57v7nvn:Bill Oddie (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/7f5a12a1ffec4fa38e5cc7b05713e52f
2x13,1973-07-23,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);l57v7nvn:Bill Oddie (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/11462d60c4194170a904ad7a5d11fed9
3x01,1974-08-28,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);ooro5gcx:Willie Rushton (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/54ffa8192cc941c887a8b92bd14ebfc7
3x02,1974-09-04,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);ooro5gcx:Willie Rushton (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/bafa4eb76ec34c5a973f3f1d3e05ac85
3x03,1974-09-11,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);ooro5gcx:Willie Rushton (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/27af5f01042349919f34d316f216bc48
3x04,1974-09-18,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);ooro5gcx:Willie Rushton (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/fdab100f1c7242d3baeea3da35597712
3x05,1974-09-25,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);ooro5gcx:Willie Rushton (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/48aa3bb1d4a04c8da7c73e1767d441c4
3x06,1974-10-02,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);ooro5gcx:Willie Rushton (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/a9fa95ccb98b4b86b24fa60e3ce9a251
4x01,1975-07-29,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);ooro5gcx:Willie Rushton (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/6fe878adec8f4ce38034fad118d746c8
4x02,1975-08-05,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);ooro5gcx:Willie Rushton (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/2541b1ebd7c2450f8edb4c378849b799
4x03,1975-08-12,t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);m5gf0nij:John Junkin (Himself);ooro5gcx:Willie Rushton (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/d5083d4bb76e44bcb5cb82f1834ccf8f
4x04,1975-08-19,t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);m5gf0nij:John Junkin (Himself);ooro5gcx:Willie Rushton (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/9f420cf866a844fd9595c6aa47bc9f77
4x05,1975-08-26,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);ooro5gcx:Willie Rushton (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/a108c108bcaa412a85b475cc02002296
4x06,1975-09-02,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);ooro5gcx:Willie Rushton (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/48a0b37f11e94d19b856a71cde05c208
4x07,1975-09-09,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);ooro5gcx:Willie Rushton (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/e22e5f046f894f4cb26cd4eae3d8ddc3
4x08,1975-09-16,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);ooro5gcx:Willie Rushton (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/13b8d609969f4bf6a07517ed12b72339
5x01,1976-03-06,,
5x02,1976-03-13,,
5x03,1976-03-20,,
5x04,1976-03-27,,
5x05,1976-04-03,,
5x06,1976-04-10,,
6x01,1978-08-22,0i00czvq:Graeme Garden (Himself);t4r1ivmw:Barry Cryer (Himself);ooro5gcx:Willie Rushton (Himself);tn2a91cb:Tim Brooke-Taylor (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,
6x02,1978-08-29,0i00czvq:Graeme Garden (Himself);t4r1ivmw:Barry Cryer (Himself);tn2a91cb:Tim Brooke-Taylor (Himself);j7izyx26:Jonathan Lynn (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/da646f8a2eb84fbba0fab1b0bf899aba
6x03,1978-09-05,tn2a91cb:Tim Brooke-Taylor (Himself);t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);ooro5gcx:Willie Rushton (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/e531d5d825b540e9adc109047caaef6e
6x04,1978-09-12,0i00czvq:Graeme Garden (Himself);t4r1ivmw:Barry Cryer (Himself);ooro5gcx:Willie Rushton (Himself);tn2a91cb:Tim Brooke-Taylor (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/be51696380ee45ae8f8fd57e026bbff2
6x05,1978-09-19,tn2a91cb:Tim Brooke-Taylor (Himself);ooro5gcx:Willie Rushton (Himself);0i00czvq:Graeme Garden (Himself);t4r1ivmw:Barry Cryer (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/146ead358abe48ab8d4128f968cecb6c
6x06,1978-09-26,tn2a91cb:Tim Brooke-Taylor (Himself);ooro5gcx:Willie Rushton (Himself);0i00czvq:Graeme Garden (Himself);t4r1ivmw:Barry Cryer (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/dd0b31b202354ea298eba6bec73df787
6x07,1978-10-03,tn2a91cb:Tim Brooke-Taylor (Himself);j7izyx26:Jonathan Lynn (Himself);0i00czvq:Graeme Garden (Himself);t4r1ivmw:Barry Cryer (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/b9bfe8bff36d4cf1945490b0c5784110
6x08,1978-10-10,t4r1ivmw:Barry Cryer (Himself);0i00czvq:Graeme Garden (Himself);tn2a91cb:Tim Brooke-Taylor (Himself);ooro5gcx:Willie Rushton (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/089f840ed7d64d57bccda09d32bf049a
6x09,1978-10-17,0i00czvq:Graeme Garden (Himself);t4r1ivmw:Barry Cryer (Himself);tn2a91cb:Tim Brooke-Taylor (Himself);ooro5gcx:Willie Rushton (Himself);anx0aq5q:Humphrey Lyttelton (Himself - Host);,http://genome.ch.bbc.co.uk/f9e5f16ea6234d99a1f04a5f7a9af0f2
