Episode,Date,Guests (Himself/Herself - Role)
1x01,2012-02-23,Miles Jupp (Himself - Host);Rachel Johnson (Herself);Desmond Lynam (Himself);Mark Steel (Himself);Michael Winner (Himself)
1x02,2012-03-01,Miles Jupp (Himself - Host);Rebecca Front (Herself);Simon Day (Himself);Jason Cook (Himself)
1x03,2012-03-08,Miles Jupp (Himself - Host);Roisin Conaty (Herself);Ed Byrne (Himself);Richard Madeley (Himself);John Motson (Himself)
1x04,2012-03-15,Miles Jupp (Himself - Host);Emma Freud (Herself);Tom Wrigglesworth (Himself);Shaun Keaveny (Himself)
2x01,2013-07-09,Miles Jupp (Himself - Host);Frankie Boyle (Himself);Diane Morgan (Herself);Alan Johnson (Himself)
2x02,2013-07-16,Miles Jupp (Himself - Host);Frank Skinner (Himself);Grace Dent (Herself);Jonathan Agnew (Himself)
2x03,2013-07-23,Miles Jupp (Himself - Host);Justin Moorhouse (Himself);Bridget Christie (Herself);Ainsley Harriott (Himself)
2x04,2013-07-30,Miles Jupp (Himself - Host);Nick Helm (Himself);Isy Suttie (Herself);Dougie Anderson (Himself)
2x05,2013-08-06,Miles Jupp (Himself - Host);Francis Wheen (Himself);Kirsty Wark (Herself);Andrew Maxwell (Himself)
2x06,2013-08-13,Miles Jupp (Himself - Host);Dave Gorman (Himself);Anneka Rice (Herself);Joe Lycett (Himself)
3x01,2015-06-30,Miles Jupp (Himself - Host);Richard Osman (Himself);Sarah Millican (Herself);Nathan Caton (Himself)
3x02,2015-07-07,Miles Jupp (Himself - Host);Seann Walsh (Himself);Dane Baptiste (Himself);Sara Cox (Herself)
3x03,2015-07-14,Miles Jupp (Himself - Host);Romesh Ranganathan (Himself);Christoper Biggins (Himself);Katherine Ryan (Herself)
3x04,2015-07-21,Miles Jupp (Himself - Host);Lucy Porter (Herself);Cornelius Lysaght (Himself);Tom Wrigglesworth (Himself)
3x05,2015-07-28,Miles Jupp (Himself - Host);Elis James (Himself);Penny Smith (Herself);Russell Grant (Himself)
