Episode,Date,Guests (Himself/Herself - Role)
1x01,2014-10-15,xntrkuvv:Craig Reucassel (Himself - Host);y46zmky4:Andrew Hansen (Himself);qpaeqrau:Waleed Aly (Himself);w9ysud9a:Ben Jenkins (Himself);7aupqvd4:Alex Lee (Herself);tz5bchmf:Chris Taylor (Himself);5muby5j7:Ellen Fanning (Herself);pceu1zm1:Chas Licciardello (Himself - Fact Checker);,
1x02,2014-10-22,xntrkuvv:Craig Reucassel (Himself - Host);y46zmky4:Andrew Hansen (Himself);7c6xkbfl:Zoe Norton Lodge (Herself);kohlk2h4:George Negus (Himself);i1yg0grk:Julian Morrow (Himself);9mqrgif3:Tom Gleeson (Himself);fe7kvshd:Jacqueline Maley (Herself);pceu1zm1:Chas Licciardello (Himself - Fact Checker);,
1x03,2014-10-29,xntrkuvv:Craig Reucassel (Himself - Host);w9ysud9a:Ben Jenkins (Himself);1bjayyjp:Hannah Reilly (Herself);9seo2pny:Hugh Riminton (Himself);to99wwyn:Tracey Spicer (Herself);ewuv4i03:Peter Berner (Himself);tz5bchmf:Chris Taylor (Himself);pceu1zm1:Chas Licciardello (Himself - Fact Checker);,
1x04,2014-11-05,xntrkuvv:Craig Reucassel (Himself - Host);7c6xkbfl:Zoe Norton Lodge (Herself);ynik4blm:Lewis Hobba (Himself);zj7ts6jt:Nick Xenophon (Himself);sqzjrjan:Dave Callan (Himself);1a0n6hl7:Sarah Macdonald (Herself);i1yg0grk:Julian Morrow (Himself);pceu1zm1:Chas Licciardello (Himself - Fact Checker);,
1x05,2014-11-12,xntrkuvv:Craig Reucassel (Himself - Host);y46zmky4:Andrew Hansen (Himself);9mqrgif3:Tom Gleeson (Himself);fqtce7om:Rebecca Huntley (Herself);v5etmpgd:Scott Abbot (Himself);0a0qvwlg:Sarah Harris (Herself);tz5bchmf:Chris Taylor (Himself);pceu1zm1:Chas Licciardello (Himself - Fact Checker);,
1x06,2014-11-19,xntrkuvv:Craig Reucassel (Himself - Host);w9ysud9a:Ben Jenkins (Himself);i1yg0grk:Julian Morrow (Himself);taybsq84:John Barron (Himself);selgbo4n:Tory Shepherd (Herself);payh9j4y:Susie Youssef (Herself);80836340:Dave Hughes (Himself);pceu1zm1:Chas Licciardello (Himself - Fact Checker);,
1x07,2014-11-26,xntrkuvv:Craig Reucassel (Himself - Host);0bltbd2j:Joe Hildebrand (Himself);5muby5j7:Ellen Fanning (Herself);qjlxaabi:Luke McGregor (Himself);z013vflf:Cal Wilson (Herself);i1yg0grk:Julian Morrow (Himself);vnyzce18:Chris Kenny (Himself);pceu1zm1:Chas Licciardello (Himself - Fact Checker);,
1x08,2014-12-03,xntrkuvv:Craig Reucassel (Himself - Host);7c6xkbfl:Zoe Norton Lodge (Herself);lol7nodp:Tim Wilson (Himself);h5pqoaao:Scott Dooley (Himself);tz5bchmf:Chris Taylor (Himself);e708ds40:Lenore Taylor (Herself);y46zmky4:Andrew Hansen (Himself);pceu1zm1:Chas Licciardello (Himself - Fact Checker);,
2x01,2015-09-10,xntrkuvv:Craig Reucassel (Himself - Host);219df968:Mia Freedman (Herself);7c6xkbfl:Zoe Norton Lodge (Herself);i1yg0grk:Julian Morrow (Himself);ddxanp2x:Andrew Hanson (Himself);ewuv4i03:Peter Berner (Himself);3d982c1s:Ben Fordham (Himself);pceu1zm1:Chas Licciardello (Himself - Fact Checker);,
2x02,2015-09-17,xntrkuvv:Craig Reucassel (Himself - Host);7aupqvd4:Alex Lee (Herself);9seo2pny:Hugh Riminton (Himself);9mqrgif3:Tom Gleeson (Himself);y46zmky4:Andrew Hansen (Himself);w9ysud9a:Ben Jenkins (Himself);64tuc19i:Chris Bath (Herself);pceu1zm1:Chas Licciardello (Himself - Fact Checker);,
