Episode,Date,Guests (Himself/Herself - Role)
1x01,2005-06-05,Dara O'Briain (Himself - Host);Linda Smith (Herself);Hugh Dennis (Himself - Regular);Frankie Boyle (Himself - Regular);Rory Bremner (Himself - Regular);John Oliver (Himself);Jeremy Hardy (Himself)
1x02,2005-06-12,Dara O'Briain (Himself - Host);Jo Brand (Herself);Hugh Dennis (Himself - Regular);Frankie Boyle (Himself - Regular);Andy Parsons (Himself - Regular);Mark Steel (Himself);Rory Bremner (Himself - Regular)
1x03,2005-06-19,Dara O'Briain (Himself - Host);Jo Brand (Herself);Hugh Dennis (Himself - Regular);Frankie Boyle (Himself - Regular);Rory Bremner (Himself - Regular);John Oliver (Himself);Al Murray (Himself)
1x04,2005-06-26,Dara O'Briain (Himself - Host);David Mitchell (Himself);Hugh Dennis (Himself - Regular);Frankie Boyle (Himself - Regular);Rory Bremner (Himself - Regular);Andy Parsons (Himself - Regular);Linda Smith (Herself)
1x05,2005-07-03,Dara O'Briain (Himself - Host);John Oliver (Himself);Hugh Dennis (Himself - Regular);Frankie Boyle (Himself - Regular);David Mitchell (Himself);Jo Brand (Herself);Rory Bremner (Himself - Regular);
2x01,2006-01-20,Dara O'Briain (Himself - Host);Hugh Dennis (Himself - Regular);Frankie Boyle (Himself - Regular);Jo Brand (Herself);Rory Bremner (Himself - Regular);Andy Parsons (Himself - Regular);John Oliver (Himself)
2x02,2006-01-27,Dara O'Briain (Himself - Host);Gina Yashere (Herself);Hugh Dennis (Himself - Regular);Frankie Boyle (Himself - Regular);John Oliver (Himself);Al Murray (Himself);Rory Bremner (Himself - Regular);
2x03,2006-02-03,Dara O'Briain (Himself - Host);David Mitchell (Himself);Hugh Dennis (Himself - Regular);Frankie Boyle (Himself - Regular);Andy Parsons (Himself - Regular);Sue Perkins (Herself);Rory Bremner (Himself - Regular)
2x04,2006-02-10,Dara O'Briain (Himself - Host);Sandi Toksvig (Herself);Hugh Dennis (Himself - Regular);Frankie Boyle (Himself - Regular);Andy Parsons (Himself - Regular);David Mitchell (Himself);John Oliver (Himself)
2x05,2006-02-17,Dara O'Briain (Himself - Host);Gina Yashere (Herself);Hugh Dennis (Himself - Regular);Frankie Boyle (Himself - Regular);Rory Bremner (Himself - Regular);Andy Parsons (Himself - Regular);Greg Proops (Himself)
2x06,2006-02-24,Dara O'Briain (Himself - Host);Jo Brand (Herself);Hugh Dennis (Himself - Regular);Frankie Boyle (Himself - Regular);Rory Bremner (Himself - Regular);Jeremy Hardy (Himself);John Oliver (Himself)
3x01,2006-09-14,Dara O'Briain (Himself - Host);Gina Yashere (Herself);Hugh Dennis (Himself - Regular);Frankie Boyle (Himself - Regular);Clive Anderson (Himself);Russell Howard (Himself - Regular);Andy Parsons (Himself - Regular)
3x02,2006-09-21,Dara O'Briain (Himself - Host);Ed Byrne (Himself);Hugh Dennis (Himself - Regular);Frankie Boyle (Himself - Regular);Jo Brand (Herself);Robin Ince (Himself);Andy Parsons (Himself - Regular)
