Episode,Date,Guests (Himself/Herself - Role),References
1x01,1996-11-12,pioyrpar:Mark Lamarr (Himself - Host);9dthpqjv:Math Priest (Himself);6ib1enk4:Donna McPhail (Herself);40v18nlb:Richard Fairbrass (Himself);45i9j8dp:Bruce Dickinson (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);,
1x02,1996-11-19,s24kv4ig:Ashley Slater (Herself);zolypecl:Shovell (Himself);rlldarrq:Graham Norton (Himself);4q7nsszg:Cathy Dennis (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
1x03,1996-11-26,k4ynw4wa:Bob Mortimer (Himself);f9gudd8r:Andy McCluskey (Himself);3wjpjsqz:David McAlmont (Himself);u782j8e3:Martin Chambers (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
1x04,1996-12-03,d1ngy3a3:Suggs (Himself);xvxlztf6:Jeff Green (Himself);er6tf5pg:Sarah Cracknell (Herself);4yfnoz60:Billy Bragg (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
1x05,1996-12-10,mnurvdqf:Martin Rossiter (Himself);cgg5lqmj:Jonathan Ross (Himself);r5bvetr3:Nick Heyward (Himself);ei66de8g:Marcella Detroit (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
1x06,1997-01-17,o11sbypg:Tony Wright (Himself);hd1lpqkk:Richie Wermerling (Himself);z2hsca0r:Bob Mills (Himself);87p8tt67:Jake Burns (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
1x07,1997-01-24,752nik34:Martin Ivor Kent (Himself);133j3155:Peter Hook (Himself);or1mwpoj:Clare Grogan (Herself);hk2rczao:Alan Davies (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
1x08,1997-01-31,e1ztvd8a:Jo Whiley (Herself);6fd2akfw:John Thomson (Himself);wqsbj5q7:Crispin Hunt (Himself);4yiu7666:Adam Ant (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
1x09,1997-02-07,y8wnmc7m:Glenn Tilbrook (Himself);5cwiwwhl:Mark Thomas (Himself);adwy1gkx:Lauren Laverne (Herself);um67g1sd:Neil Hannon (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
2x01,1997-09-15,d1ngy3a3:Suggs (Himself);vfnc1brb:Shaggy (Himself);0o8pm2dm:Mark Little (Himself);4x8v002e:Marie DuSantiago (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
2x02,1997-09-22,o11sbypg:Tony Wright (Himself);xvxlztf6:Jeff Green (Himself);cgw4yn3y:Edwyn Collins (Himself);j2591r21:Gary Barlow (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
2x03,1997-09-29,17ti1bqt:Neil Morrissey (Himself);40v18nlb:Richard Fairbrass (Himself);4yfnoz60:Billy Bragg (Himself);y5b0maki:Sarah Blackwood (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
2x04,1997-10-06,xbetbo24:Midge Ure (Himself);9dthpqjv:Math Priest (Himself);wheun7hy:Shellie Poole (Herself);rlldarrq:Graham Norton (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
