Episode,Date,Guests (Himself/Herself - Role),References
1x01,1977-09-06,2t7xmn6q:Barry Norman (Himself - Host);2krdo89a:Alan Coren (Himself);4tt7tu3p:Richard Ingrams (Himself);or8i333m:Russell Davies (Himself);n7p4e03w:Clive James (Himself);,
1x02,1977-09-13,2t7xmn6q:Barry Norman (Himself - Host);2krdo89a:Alan Coren (Himself);4tt7tu3p:Richard Ingrams (Himself);wjqid066:Ian Christie (Himself);,
1x03,1977-09-20,2t7xmn6q:Barry Norman (Himself - Host);2krdo89a:Alan Coren (Himself);4tt7tu3p:Richard Ingrams (Himself);ban1a166:Tina Brown (Herself);0yyxvvhl:Nigel Dempster (Himself);,
1x04,1977-09-27,2t7xmn6q:Barry Norman (Himself - Host);2krdo89a:Alan Coren (Himself);ey9wjddd:Gordon Honeycombe (Himself);,
1x05,1977-10-04,2t7xmn6q:Barry Norman (Himself - Host);2krdo89a:Alan Coren (Himself);4tt7tu3p:Richard Ingrams (Himself);,
1x06,1977-10-11,2t7xmn6q:Barry Norman (Himself - Host);2krdo89a:Alan Coren (Himself);4tt7tu3p:Richard Ingrams (Himself);n7p4e03w:Clive James (Himself);x7lkiv1f:Lord Oaksey (Himself);,
1x07,1977-10-18,2t7xmn6q:Barry Norman (Himself - Host);2krdo89a:Alan Coren (Himself);4tt7tu3p:Richard Ingrams (Himself);0yyxvvhl:Nigel Dempster (Himself);8ilhlljv:Angela Rippon (Herself);,
1x08,1977-10-25,2t7xmn6q:Barry Norman (Himself - Host);2krdo89a:Alan Coren (Himself);8xqz7m7q:Linda Christmas (Herself);dzs8dz72:Clement Freud MP (Himself);lxkzqi4p:Auberon Waugh (Himself);,
1x09,1977-11-01,2t7xmn6q:Barry Norman (Himself - Host);2krdo89a:Alan Coren (Himself);4tt7tu3p:Richard Ingrams (Himself);dzs8dz72:Clement Freud MP (Himself);5dv07g8j:Barry Fantoni (Himself);,
1x10,1977-11-08,2t7xmn6q:Barry Norman (Himself - Host);2krdo89a:Alan Coren (Himself);aopqk9fe:Rachael Heyhoe-Flint (Herself);zd3olwcx:Ivor Mills (Himself);90ir87y3:Steve Race (Himself);,
