Episode,Date,Guests (Himself/Herself - Role),References
1x01,1988-07-02,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);7cgf8ofb:John Lloyd (Himself);tkzf760g:Janet Fookes (Herself);,
1x02,1988-07-09,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);2845wzbj:Anthony Howard (Himself);8zqe3f8c:Charles Kennedy MP (Himself);,
1x03,1988-07-16,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);3n7uaov8:Julia Langdon (Herself);0gfn8cvf:Dr David Butler (Himself);,
1x04,1988-07-23,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);da93h0x4:Dafydd Elis Thomas MP (Himself);0mb9hlns:Christopher Jones (Himself);,
1x05,1988-07-30,6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);tkzf760g:Janet Fookes MP (Herself);v1gu4vsc:John Biffen (Himself);1s5ocnkr:Patrick Hannan (Himself - Host);,
1x06,1988-08-06,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);rmrcbuko:Polly Toynbee (Herself);8zqe3f8c:Charles Kennedy MP (Himself);,
1x07,1988-08-13,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);2845wzbj:Anthony Howard (Himself);3n7uaov8:Julia Langdon (Herself);,
2x01,1988-09-11,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);7cgf8ofb:John Lloyd (Himself);tkzf760g:Janet Fookes MP (Herself);,
2x02,1988-09-18,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);2845wzbj:Anthony Howard (Himself);8zqe3f8c:Charles Kennedy MP (Himself);,
2x03,1988-09-25,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);3n7uaov8:Julia Langdon (Herself);0gfn8cvf:Dr David Butler (Himself);,
2x04,1988-10-02,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);qw00o7zs:Elis Thomas (Himself);0mb9hlns:Christopher Jones (Himself);,
2x05,1988-10-09,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);tkzf760g:Janet Fookes (Himself);v1gu4vsc:John Biffen MP (Himself);,
2x06,1988-10-16,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);rmrcbuko:Polly Toynbee (Herself);8zqe3f8c:Charles Kennedy MP (Himself);,
2x07,1988-10-23,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);2845wzbj:Anthony Howard (Himself);3n7uaov8:Julia Langdon (Herself);,
3x01,1989-01-18,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
3x02,1989-01-25,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
3x03,1989-02-01,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
3x04,1989-02-08,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
3x05,1989-02-15,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
3x06,1989-02-22,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);,
3x07,1989-03-01,6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);1s5ocnkr:Patrick Hannan (Himself - Host);,
4x01,1989-04-06,l2vtpbmd:David Steel MP (Himself);l18oibi4:Julian Critchley MP (Himself);v1gu4vsc:John Biffen MP (Himself);6ma7i8rw:Austin Mitchell MP (Himself);1s5ocnkr:Patrick Hannan (Himself - Host);,
4x02,1989-04-13,on4h6cqm:Craig Brown (Himself);l18oibi4:Julian Critchley MP (Himself);6ma7i8rw:Austin Mitchell MP (Himself);ir47ot7p:Ludovic Kennedy (Himself);1s5ocnkr:Patrick Hannan (Himself - Host);,
4x03,1989-04-20,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);sb40t7hi:Peter Kellner (Himself);vwqk193w:Robert Kee (Himself);,
4x04,1989-04-27,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);8zqe3f8c:Charles Kennedy MP (Himself);16i8gsv8:Vincent Hanna (Himself);,
4x05,1989-05-04,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);tiknth22:Mark Lawson (Himself);73md2qck:Lord Deedes (Himself);,
4x06,1989-05-11,1s5ocnkr:Patrick Hannan (Himself - Host);6ma7i8rw:Austin Mitchell MP (Himself);l18oibi4:Julian Critchley MP (Himself);ho3colmi:Lord Elwyn-Jones (Himself);1qottrm5:Matthew Parris (Himself);,
