Episode,Date,Guests (Himself/Herself - Role),References
1x01,2008-05-22,98kvb37m:Tony Jones (Himself - Host);p7t9h416:Kevin Rudd (Himself);,http://www.abc.net.au/tv/qanda/txt/s2241916.htm
1x02,2008-05-29,98kvb37m:Tony Jones (Himself - Host);rss18urt:Tanya Plibersek (Herself);ezvsts5l:Tony Abbott (Himself);avcq822p:Bob Brown (Himself);6zrk0iyg:Warren Mundine (Himself);g19gg6ui:Louise Adler (Herself);,http://www.abc.net.au/tv/qanda/txt/s2255680.htm
1x03,2008-06-05,98kvb37m:Tony Jones (Himself - Host);1j1ht9qy:Tony Burke (Himself);exfyytuy:Julie Bishop (Herself);s5848e8c:Randa Abdel-Fattah (Herself);we1knq6e:Stephen Mayne (Himself);2q7woora:Greg Sheridan (Himself);,http://www.abc.net.au/tv/qanda/txt/s2260865.htm
1x04,2008-06-12,98kvb37m:Tony Jones (Himself - Host);wsotyzqq:Joel Fitzgibbon (Himself);9adh28pj:George Brandis (Himself);lnrvsiog:Pru Goward (Herself);0htwkt59:Kate Crawford (Herself);u0xiq5ui:Charles Firth (Himself);,http://www.abc.net.au/tv/qanda/txt/s2267707.htm
1x05,2008-06-19,98kvb37m:Tony Jones (Himself - Host);bkbqocds:Chris Bowen (Himself);7drw86rm:Christopher Pyne (Himself);o1p48exf:Cheryl Kernot (Herself);pku1ijd3:Nick Adams (Himself);zi9lkelc:Julia Zemiro (Herself);,http://www.abc.net.au/tv/qanda/txt/s2274403.htm
1x06,2008-06-26,98kvb37m:Tony Jones (Himself - Host);a004yyt8:Bill Shorten (Himself);tf9nkz6t:Greg Hunt (Himself);fyy92zqv:Elizabeth Ann Macgregor (Herself);r7uim7cr:Tim Blair (Himself);d2cmk9ua:Angela Conway (Herself);,http://www.abc.net.au/tv/qanda/txt/s2281323.htm
1x07,2008-07-03,98kvb37m:Tony Jones (Himself - Host);2dbqa5ip:Nicola Roxon (Herself);238tsdxs:Joe Hockey (Himself);oqodh3po:Marcia Langton (Herself);pv3xv5t8:Peter van Onselen (Himself);yb89y7b7:Miriam Lyons (Herself);,http://www.abc.net.au/tv/qanda/txt/s2287270.htm
1x08,2008-07-10,98kvb37m:Tony Jones (Himself - Host);gbbv5736:Craig Emerson (Himself);yqmn42p0:Helen Coonan (Herself);pv69o25n:Christine Milne (Herself);m8t9ojyy:Andrew Bolt (Himself);i8y9qm02:Linda Jaivin (Herself);,http://www.abc.net.au/tv/qanda/txt/s2293601.htm
1x09,2008-07-17,98kvb37m:Tony Jones (Himself - Host);a5n2vhg5:Lindsay Tanner (Himself);hk20ugcq:Alexander Downer (Himself);3gvxthgp:David Marr (Himself);t5n16hap:Angela Shanahan (Herself);jync31e8:Rose Jackson (Herself);,http://www.abc.net.au/tv/qanda/txt/s2300527.htm
1x10,2008-07-24,98kvb37m:Tony Jones (Himself - Host);c59yau32:Mark Arbib (Himself);2nlejb5v:Barnaby Joyce (Himself);zj7ts6jt:Nick Xenophon (Himself);hpb4mw4z:Heather Ridout (Herself);bsktc5k8:Christine Jackman (Herself);,http://www.abc.net.au/tv/qanda/txt/s2306983.htm
1x11,2008-07-31,98kvb37m:Tony Jones (Himself - Host);77due5ci:Penny Wong (Herself);k93v11rq:Malcolm Turnbull (Himself);86qykmpd:Tim Flannery (Himself);6z92qgnc:Catherine Harris (Herself);7kgwo8mt:Tim Wilson (Himself);,http://www.abc.net.au/tv/qanda/txt/s2313694.htm
1x12,2008-08-07,98kvb37m:Tony Jones (Himself - Host);mew0bg3g:Peter Garrett (Himself);eciixcwi:Bronwyn Bishop (Herself);i1yg0grk:Julian Morrow (Himself);l3wcxlry:Megan Davis (Herself);otoj3h5h:Imre Salusinszky (Himself);,http://www.abc.net.au/tv/qanda/txt/s2320709.htm
1x13,2008-08-14,98kvb37m:Tony Jones (Himself - Host);flhcb6y6:Bob Carr (Himself);exfyytuy:Julie Bishop (Herself);bk2xi19y:Germaine Greer (Herself);2q7woora:Greg Sheridan (Himself);axm3u0jg:Marcus Westbury (Himself);,http://www.abc.net.au/tv/qanda/txt/s2327956.htm
1x14,2008-08-21,98kvb37m:Tony Jones (Himself - Host);vaf8ovl6:Anthony Albanese (Himself);9adh28pj:George Brandis (Himself);tmhz4o19:Blanche d'Alpuget (Herself);84s73n6u:Cindy Pan (Herself);vbnnnnvm:Grahame Morris (Himself);,http://www.abc.net.au/tv/qanda/txt/s2335904.htm
1x15,2008-08-28,98kvb37m:Tony Jones (Himself - Host);gbbv5736:Craig Emerson (Himself);jlorr0ka:Sharman Stone (Herself);wv9bxto5:John Pilger (Himself);o78jvhc3:Peter Hartcher (Himself);q6vud9j8:Rebecca Weisser (Herself);,http://www.abc.net.au/tv/qanda/txt/s2343064.htm
1x16,2008-09-04,98kvb37m:Tony Jones (Himself - Host);a004yyt8:Bill Shorten (Himself);7drw86rm:Christopher Pyne (Himself);jbsattif:Kerry Chikarovski (Herself);s44alw10:Eric Beecher (Himself);ngq5x88w:Jane Caro (Herself);,http://www.abc.net.au/tv/qanda/txt/s2349569.htm
1x17,2008-09-11,98kvb37m:Tony Jones (Himself - Host);rss18urt:Tanya Plibersek (Herself);6tfzred0:Nick Minchin (Himself);8y15e5vi:Mungo MacCallum (Himself);7kgwo8mt:Tim Wilson (Himself);i8y9qm02:Linda Jaivin (Herself);,http://www.abc.net.au/tv/qanda/txt/s2355825.htm
1x18,2008-09-18,98kvb37m:Tony Jones (Himself - Host);q3v0z084:Maxine McKew (Herself);ezvsts5l:Tony Abbott (Himself);oolg34u2:Waleed Aly (Himself);wmuevpu6:Margaret Fitzherbert (Herself);pxutyu3u:Robert Manne (Himself);,http://www.abc.net.au/tv/qanda/txt/s2362345.htm
1x19,2008-09-25,98kvb37m:Tony Jones (Himself - Host);k93v11rq:Malcolm Turnbull (Himself);,http://www.abc.net.au/tv/qanda/txt/s2368535.htm
1x20,2008-10-02,98kvb37m:Tony Jones (Himself - Host);2dbqa5ip:Nicola Roxon (Herself);1xzz8dse:Peter Costello (Himself);o1p48exf:Cheryl Kernot (Herself);3gvxthgp:David Marr (Himself);h5tvbog8:Tom Switzer (Himself);,http://www.abc.net.au/tv/qanda/txt/s2374641.htm
2x01,2009-02-12,98kvb37m:Tony Jones (Himself - Host);uyu8a9fl:Peter Cosgrove (Himself);8j146gvn:Fiona Wood (Herself);6vj86zup:Tania Major (Herself);86qykmpd:Tim Flannery (Himself);rg1ro0c1:Jonty Bush (Herself);,http://www.abc.net.au/tv/qanda/txt/s2487412.htm
2x02,2009-02-19,98kvb37m:Tony Jones (Himself - Host);fl8vm4c3:Wayne Swan (Himself);238tsdxs:Joe Hockey (Himself);5js2ph91:Kate Carnell (Herself);pv69o25n:Christine Milne (Herself);k3kju1gx:Paul Howes (Himself);,http://www.abc.net.au/tv/qanda/txt/s2490199.htm
2x03,2009-02-26,98kvb37m:Tony Jones (Himself - Host);a004yyt8:Bill Shorten (Himself);7drw86rm:Christopher Pyne (Himself);nj5glg51:Jonathan Biggins (Himself);kdm3jhm9:Leslie Cannold (Herself);kcempj8i:Sabrina Houssami (Herself);,http://www.abc.net.au/tv/qanda/txt/s2496429.htm
2x04,2009-03-05,98kvb37m:Tony Jones (Himself - Host);a5n2vhg5:Lindsay Tanner (Himself);1xzz8dse:Peter Costello (Himself);tv15yif0:Geoff Cousins (Himself);htapwche:Rebecca Weisser (Herself);izc0x7ix:Sally Warhaft (Herself),http://www.abc.net.au/tv/qanda/txt/s2502620.htm
2x05,2009-03-12,98kvb37m:Tony Jones (Himself - Host);q3v0z084:Maxine McKew (Herself);b75563n9:Scott Morrison (Himself);v1z977vh:John Symond (Himself);zkdpltf3:Tanveer Ahmed (Himself);ir1y753a:Noeline Brown (Herself);,http://www.abc.net.au/tv/qanda/txt/s2508580.htm
2x06,2009-03-19,98kvb37m:Tony Jones (Himself - Host);zewwpsrk:Kate Ellis (Herself);ezvsts5l:Tony Abbott (Himself);oc9zi3dh:Peter Kennedy (Himself);rqjjvuyd:Bettina Arndt (Herself);v4jgk957:Bruce Wolpe (Himself);,http://www.abc.net.au/tv/qanda/txt/s2514401.htm
2x07,2009-03-26,98kvb37m:Tony Jones (Himself - Host);bc7mj18h:Stephen Conroy (Himself);tf9nkz6t:Greg Hunt (Himself);m8t9ojyy:Andrew Bolt (Himself);g19gg6ui:Louise Adler (Herself);o6uy5lo6:Susan Carland (Herself);,http://www.abc.net.au/tv/qanda/txt/s2521164.htm
