Episode,Date,Guests (Himself/Herself - Role),References
25x27,1996-05-03,Bill Beaumont (Himself);Kriss Akabusi (Himself);Peter Scudamore (Himself);Ian Botham (Himself);Sue Barker (Herself);Mick Channon (Himself);David Coleman (Presenter - Himself),
35x01,2005-09-10,Ally McCoist (Himself - Team captain);Matt Dawson (Himself - Team captain);Sue Barker (Herself - Presenter);,
35x02,2005-09-17,Ally McCoist (Himself - Team captain);Matt Dawson (Himself - Team captain);Sue Barker (Herself - Presenter);,
35x03,2005-09-24,Mark Cueto (Himself);Junior Witter (Himself);James Beattie (Himself);Boudewijn Zenden (Himself);Ally McCoist (Himself - Team captain);Matt Dawson (Himself - Team captain);Sue Barker (Herself - Presenter);,
35x04,2005-10-01,Lawrence Dallaglio (Himself);Lawrie Sanchez (Himself);Jade Johnson (Himself);Matthew Stevens (Himself);Ally McCoist (Himself - Team captain);Matt Dawson (Himself - Team captain);Sue Barker (Herself - Presenter);,
35x05,2005-10-22,Tim Benjamin (Himself);Josh Lewsey (Himself);Andrew Strauss (Himself);Andrew Mehrtens (Himself);Ally McCoist (Himself - Team captain);Matt Dawson (Himself - Team captain);Sue Barker (Herself - Presenter);,
35x06,2005-10-28,Peter Fleming (Himself);Lee Dixon (Himself);Will Greenwood (Himself);Matthew Pinsent (Himself);Ally McCoist (Himself - Team captain);Matt Dawson (Himself - Team captain);Sue Barker (Herself - Presenter);,
35x07,2005-11-04,Steve Backley (Himself);Harry Redknapp (Himself);Bobby Skinstad (Himself);Steve Davis (Himself);Ally McCoist (Himself - Team captain);Matt Dawson (Himself - Team captain);Sue Barker (Herself - Presenter);,
35x08,2005-11-11,Gary Speed (Himself);Marlon Devonish (Himself);Stelios Giannakopoulos (Himself);Philippe Saint-Andre (Himself);Ally McCoist (Himself - Team captain);Matt Dawson (Himself - Team captain);Sue Barker (Herself - Presenter);,
35x09,2005-11-25,Ryan Jones (Himself);Michael Carrick (Himself);Tony McCoy (Himself);John Higgins (Himself);Ally McCoist (Himself - Team captain);Matt Dawson (Himself - Team captain);Sue Barker (Herself - Presenter);,
