Episode,Date,Guests (Himself/Herself - Role)
19790925,1979-09-25,Robin Day (Himself - Host);Michael Foot (Himself);Edna O'Brien (Herself);Teddy Taylor (Himself);Derek Worlock (Himself)
19791002,1979-10-02,Peter Shore (Himself);Eric Morley (Himself);Jo Grimond (Himself);Tess Gill (Herself);Robin Day (Himself - Host)
19791009,1979-10-09,Robin Day (Himself - Host);Sue Arnold (Herself);Michael Heseltine (Himself);William Rodgers (Himself);Arthur Scargill (Himself)
19791016,1979-10-16,Enoch Powell (Himself);John Mortimer (Himself);Judith Hart (Herself);James Anderton (Himself);Robin Day (Himself - Host)
19791023,1979-10-23,Robin Day (Himself - Host);Anthony Frodsham (Himself);Clive Jenkins (Himself);Margo MacDonald (Herself);Nicholas Scott (Himself)
19791030,1979-10-30,Ray Whitney (Himself);Emily Macfarquhar (Herself);Elspeth Howe (Herself);Roy Hattersley (Himself);Robin Day (Himself - Host)
19791106,1979-11-06,Sid Weighell (Himself);Wendy Mantle (Herself);Paul Johnson (Himself);Julian Amery (Himself);Robin Day (Himself - Host)
19791113,1979-11-13,Robin Day (Himself - Host);Clement Freud (Himself);Ann Leslie (Herself);David Owen (Himself);Peter Thorneycroft (Himself)
19791204,1979-12-04,Eric Varley (Himself);Gaia Servadio (Himself);Conor Cruise O'Brien (Himself);Eldon Griffiths (Himself);Robin Day (Himself - Host)
19791211,1979-12-11,Robin Day (Himself - Host);George Brown (Himself);Clare Francis (Herself);Joan Lester (Herself);Christopher Mayhew (Himself)
19791218,1979-12-18,John Rae (Himself);Chris Patten (Himself);Bel Mooney (Herself);Neil Kinnock (Himself);Robin Day (Himself - Host)
19800115,1980-01-15,Robin Day (Himself - Host);Tony Benn (Himself);Germaine Greer (Herself);John Hackett (Himself);Norman St. John Stevas (Himself)
19800122,1980-01-22,Barbara Wootton (Herself);William Waldegrave (Himself);William Rees-Mogg (Himself);Tessa Jowell (Herself);Robin Day (Himself - Host)
19800129,1980-01-29,Sara Morrison (Herself);Denis Healey (Himself);Kenneth Baker (Himself);Noel Annan (Himself);Robin Day (Himself - Host)
19800205,1980-02-05,Robin Day (Himself - Host);Edward du Cann (Himself);Monty Finniston (Himself);Suzanne Lowry (Herself);Oonagh MacDonald (Herself)
19800212,1980-02-12,Marina Warner (Herself);Merlyn Rees (Himself);Nigel Lawson (Himself);Alun Chalfont (Himself);Robin Day (Himself - Host)
19800221,1980-02-21,Robin Day (Himself - Host);David Basnett (Himself);Barbara Castle (Herself);Detta O'Cathain (Herself);Peter Tapsell (Himself)
19800228,1980-02-28,Cyril Smith (Himself);Gerald Kaufman (Himself);Janet Fookes (Herself);Anna Coote (Herself);Robin Day (Himself - Host)
19800306,1980-03-06,Robin Day (Himself - Host);Eric Heffer (Himself);Mary Kenny (Herself);David Marquand (Himself);Geoffrey Rippon (Himself)
19800313,1980-03-13,Clare Short (Herself);Alfred Robens (Himself);Austin Mitchell (Himself);Rhodes Boyson (Himself);Robert McKenzie (Himself - Host)
19800320,1980-03-20,Donald Stokes (Himself);Michael Meacher (Himself);Jill Knight (Herself);John Gale (Himself);Robert McKenzie (Himself - Host)
19800327,1980-03-27,Robin Day (Himself - Host);Joel Barnett (Himself);John Biffen (Himself);Alan Fisher (Himself);Sarah Hogg (Herself)
19800403,1980-04-03,Trevor Phillips (Himself);Lena Jeger (Herself);Julian Critchley (Himself);Bonnie Angelo (Herself);Robin Day (Himself - Host)
19800410,1980-04-10,Robin Day (Himself - Host);Elizabeth Hoodless (Herself);R.V. Jones (Himself);Sheila Roberts (Herself);John Silkin (Himself)
19800417,1980-04-17,John Methven (Himself);Margaret Maden (Herself);Ray Buckton (Himself);Jock Bruce-Gardyne (Himself);Robin Day (Himself - Host)
19800424,1980-04-24,Robin Day (Himself - Host);Liliana Archibald (Herself);Tessa Blackstone (Herself);Nicholas Fairbairn (Himself);Dickson Mabon (Himself)
19800501,1980-05-01,Ivor Richard (Himself);Emma Nicholson (Herself);John Biggs-Davison (Himself);Joe Ashton (Himself);Robin Day (Himself - Host)
19800508,1980-05-08,Claire Palley (Herself);Stanley Orme (Himself);John Grugeon (Himself);Alan Beith (Himself);Robin Day (Himself - Host)
19800515,1980-05-15,Robin Day (Himself - Host);Hugh Clegg (Himself);Reg Prentice (Himself);Jo Richardson (Herself);Angela Rumbold (Herself)
