Episode,Date,Guests (Himself/Herself - Role),References
1x01,2015-07-23,ke0xnedi:Rick Edwards (Himself - Host);c26v5h9k:Katherine Ryan (Herself - Team Captain);rch55ua7:David Morgan (Himself - Team Captain);e8hylsiw:Joey Essex (Himself);wq35ocl2:David Haye (Himself);luynjnx4:Andrew Maxwell (Himself);uhxw9vxb:Tiffany Stevenson (Herself);,https://www.comedy.co.uk/tv/safeword/episodes/1/1/
1x02,2015-07-30,ke0xnedi:Rick Edwards (Himself - Host);c26v5h9k:Katherine Ryan (Herself - Team Captain);rch55ua7:David Morgan (Himself - Team Captain);rm3ejy7r:Charlotte Crosby (Herself);ddjel2cn:Sinitta Renet Malone (Herself);h3jvd5mj:Jason Byrne (Himself);s1i29exq:Iain Stirling (Himself);,https://www.comedy.co.uk/tv/safeword/episodes/1/2/
1x03,2015-08-06,ke0xnedi:Rick Edwards (Himself - Host);c26v5h9k:Katherine Ryan (Herself - Team Captain);rch55ua7:David Morgan (Himself - Team Captain);qgrc9bij:Louie Spence (Himself);ct38seh0:Tinchy Stryder (Himself);n99rcq6d:Johnny Cochrane (Himself);1rtqz52s:Russell Kane (Himself);,https://www.comedy.co.uk/tv/safeword/episodes/1/3/
1x04,2015-08-13,ke0xnedi:Rick Edwards (Himself - Host);c26v5h9k:Katherine Ryan (Herself - Team Captain);rch55ua7:David Morgan (Himself - Team Captain);qlgdu0ba:Ritchie Neville (Himself);lpmh1gx3:Vicky Pattison (Herself);d90grs22:Tom Craine (Himself);ac30skvr:Matt Richardson (Himself);,https://www.comedy.co.uk/tv/safeword/episodes/1/4/
1x05,2015-08-20,ke0xnedi:Rick Edwards (Himself - Host);c26v5h9k:Katherine Ryan (Herself - Team Captain);rch55ua7:David Morgan (Himself - Team Captain);gdj6om5g:Katie Price (Herself);ljv92t17:Joe Swash (Himself);btudifdp:Marlon Davis (Himself);q1vghuhp:Matthew Crosby (Himself);,https://www.comedy.co.uk/tv/safeword/episodes/1/5/
1x06,2015-08-27,ke0xnedi:Rick Edwards (Himself - Host);c26v5h9k:Katherine Ryan (Herself - Team Captain);rch55ua7:David Morgan (Himself - Team Captain);afnocqlh:Gemma Collins (Herself);mbn8u12z:Louis Walsh (Himself);sy2sdgn0:Dane Baptiste (Himself);d57ygcoz:Tom Davis (Himself);,https://www.comedy.co.uk/tv/safeword/episodes/1/6/
1x07,2015-09-03,ke0xnedi:Rick Edwards (Himself - Host);c26v5h9k:Katherine Ryan (Herself - Team Captain);rch55ua7:David Morgan (Himself - Team Captain);7s5xec3s:Brian Belo (Himself);cgfulp6x:Hilary Devey (Herself);0qb7ja28:Bobby Mair (Himself);dpbw9wbr:Vikki Stone (Herself),https://www.comedy.co.uk/tv/safeword/episodes/1/7/
2x01,2016-06-02,ke0xnedi:Rick Edwards (Himself - Host);c26v5h9k:Katherine Ryan (Herself - Team Captain);rch55ua7:David Morgan (Himself - Team Captain);remjgzbd:Brian McFadden (Himself);3l1qtw2v:Stacey Solomon (Herself);78xjn9kp:Tez Ilyas (Himself);qa5s3f3t:Phil Wang (Himself);,https://www.comedy.co.uk/tv/safeword/episodes/2/1/
2x02,2016-06-09,ke0xnedi:Rick Edwards (Himself - Host);c26v5h9k:Katherine Ryan (Herself - Team Captain);rch55ua7:David Morgan (Himself - Team Captain);0ov42z95:Gary Beadle (Himself);d57ygcoz:Tom Davis (Himself);0qb7ja28:Bobby Mair (Himself);r2b47pjv:Lydia Bright (Herself);,https://www.comedy.co.uk/tv/safeword/episodes/2/2/
2x03,2016-06-16,ke0xnedi:Rick Edwards (Himself - Host);c26v5h9k:Katherine Ryan (Herself - Team Captain);rch55ua7:David Morgan (Himself - Team Captain);5wel4jmi:Jamie Laing (Himself);6vpb1owi:Carol Vorderman (Herself);uhxw9vxb:Tiffany Stevenson (Herself);m1y9uq6w:Patrick Monahan (Himself);,https://www.comedy.co.uk/tv/safeword/episodes/2/3/
2x04,2016-06-23,ke0xnedi:Rick Edwards (Himself - Host);c26v5h9k:Katherine Ryan (Herself - Team Captain);rch55ua7:David Morgan (Himself - Team Captain);sy2sdgn0:Dane Baptiste (Himself);vdflmzoy:Ferne McCann (Herself);rettzqsj:James Haskell (Himself);5fxxdcd3:Stephen Bailey (Himself);,https://www.comedy.co.uk/tv/safeword/episodes/2/4/
2x05,2016-06-30,ke0xnedi:Rick Edwards (Himself - Host);c26v5h9k:Katherine Ryan (Herself - Team Captain);rch55ua7:David Morgan (Himself - Team Captain);frgsflnb:Tom Parker (Himself);ljklsfye:James Jordan (Himself);ac30skvr:Matt Richardson (Himself);vnpyzg64:Jamali Maddix (Himself);,https://www.comedy.co.uk/tv/safeword/episodes/2/5/
2x06,2016-07-07,ke0xnedi:Rick Edwards (Himself - Host);c26v5h9k:Katherine Ryan (Herself - Team Captain);rch55ua7:David Morgan (Himself - Team Captain);luynjnx4:Andrew Maxwell (Himself);q1vghuhp:Matthew Crosby (Himself);eldevkqe:Kate Garraway (Herself);pkku2rhq:Tyger Drew-Honey (Himself);,https://www.comedy.co.uk/tv/safeword/episodes/2/6/
