Episode,Date,Guests (Himself/Herself - Role)
0x1,1993-12-26,Vic Reeves (Himself - Presenter);Bob Mortimer (Himself - Presenter);Ulrika Jonsson (Herself - Team Captain);Danny Baker (Himself - Team Captain);Martin Clunes (Himself);Noddy Holder (Himself);Mark Lamarr (Himself - Team Captain);Wendy Richard (Herself);Jonathan Ross (Himself)
1x1,1995-09-22,Vic Reeves (Himself - Presenter);Bob Mortimer (Himself - Presenter);Ulrika Jonsson (Herself - Team Captain);Caryn Franklin (Herself);Mark Lamarr (Himself - Team Captain);Martine McCutcheon (Herself);Rowland Rivron (Himself);Peter Stringfellow (Himself);Matt Lucas (Himself - George Dawes)
1x2,1995-09-29,Vic Reeves (Himself - Presenter);Bob Mortimer (Himself - Presenter);Ulrika Jonsson (Herself - Team Captain);Martin Clunes (Himself);Jarvis Cocker (Himself);Noah Huntley (Himself);Mark Lamarr (Himself - Team Captain);Carol Vorderman (Herself);Matt Lucas (Himself - George Dawes)
1x3,1995-10-06,Vic Reeves (Himself - Presenter);Bob Mortimer (Himself - Presenter);Ulrika Jonsson (Herself - Team Captain);John Craven (Himself);Chris Evans (Himself);Mark Lamarr (Himself - Team Captain);John Peel (Himself);Jonathan Ross (Himself);Matt Lucas (Himself - George Dawes)
1x4,1995-10-13,Vic Reeves (Himself - Presenter);Bob Mortimer (Himself - Presenter);Ulrika Jonsson (Herself - Team Captain);Leslie Ash (Herself);Mark Lamarr (Himself - Team Captain);Eddie Large (Himself);Syd Little (Himself);Bill Oddie (Himself);Matt Lucas (Himself - George Dawes)
1x5,1995-10-20,Vic Reeves (Himself - Presenter);Bob Mortimer (Himself - Presenter);Ulrika Jonsson (Herself - Team Captain);Gareth Hale (Himself);Mark Lamarr (Himself - Team Captain);Kathy Lloyd (Herself);Norman Pace (Himself);Patsy Palmer (Herself);Matt Lucas (Himself - George Dawes)
1x6,1995-10-27,Vic Reeves (Himself - Presenter);Bob Mortimer (Himself - Presenter);Ulrika Jonsson (Herself - Team Captain);Caroline Aherne (Herself);David Baddiel (Himself);Annabel Giles (Herself);Mark Lamarr (Himself - Team Captain);Shane Richie (Himself);Matt Lucas (Himself - George Dawes)
1x7,1995-11-03,Vic Reeves (Himself - Presenter);Bob Mortimer (Himself - Presenter);Ulrika Jonsson (Herself - Team Captain);David Baddiel (Himself);Annabel Giles (Herself);Muriel Gray (Herself);Mark Lamarr (Himself - Team Captain);Paul Shane (Himself);Matt Lucas (Himself - George Dawes)
1x8,1995-11-10,Vic Reeves (Himself - Presenter);Bob Mortimer (Himself - Presenter);Ulrika Jonsson (Herself - Team Captain);Mark Lamarr (Himself - Team Captain);Noddy Holder (Himself);Chris Rea (Himself);Richie Wermerling (Himself);Samantha Womack (Herself);Matt Lucas (Himself - George Dawes)
1x9,1995-12-27,Vic Reeves (Himself - Presenter);Bob Mortimer (Himself - Presenter);Ulrika Jonsson (Herself - Team Captain);Anna Friel (Herself);Mark Lamarr (Himself - Team Captain);Clive Mantle (Himself);Neil Morrissey (Himself);Alvin Stardust (Himself);Matt Lucas (Himself - George Dawes)
2x1,1996-09-27,Vic Reeves (Himself - Presenter);Bob Mortimer (Himself - Presenter);Ulrika Jonsson (Herself - Team Captain);Bobby Ball (Himself);Samantha Beckinsale (Herself);Tommy Cannon (Himself);Richard E. Grant (Himself);Mark Lamarr (Himself - Team Captain);Matt Lucas (Himself - George Dawes)
