Episode,Date,Guests (Himself/Herself - Role)
1x01,2005-02-09,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);rkw6ajci:Eddie Perfect (Himself);5ef3n80l:Ross Wilson (Himself);jv4w409s:Hamish Blake (Himself);37x7pax6:Angie Hart (Herself);,
1x02,2005-02-16,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);z013vflf:Cal Wilson (Herself);kyh1juoj:Kram (Himself);wtzft1x0:Ross Noble (Himself);k7es4fe3:Dinah Lee (Herself);,
1x03,2005-02-23,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);qpipegsh:Jim Keays (Himself);jv4w409s:Hamish Blake (Himself);1s3haluy:Scott Edgar (Himself);zyzy4xnm:Katie Underwood (Herself);,
1x04,2005-03-02,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);8w27giak:Beccy Cole (Herself);5dgs2ho0:Greedy Smith (Himself);1s3haluy:Scott Edgar (Himself);w4hl5ade:Simon Tedeschi (Himself);,
1x05,2005-03-09,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);ng0qxqgp:Toni Lamond (Herself);qukh1s8w:Terri Psiakis (Herself);b6qa9ttg:Murray Cook (Himself);ohcox43b:Andy Lee (Himself);,
1x06,2005-03-16,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);bqxci2wa:Emma Pask (Herself);18bgb68r:Barry Crocker (Himself);z013vflf:Cal Wilson (Herself);xvxlztf6:Jeff Green (Himself);,
1x07,2005-03-23,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);bvsj6k99:Geraldine Turner (Herself);2x3005z3:Frank Woodley (Himself);k772kt1u:Reuben Gosfield (Himself);l2c0axys:Bill Bailey (Himself);,
1x08,2005-03-30,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);lzsxrutg:David Hirschfelder (Himself);qukh1s8w:Terri Psiakis (Herself);ah0eo9dt:Loene Carmen (Herself);wtzft1x0:Ross Noble (Himself);,
1x09,2005-04-06,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);u1jzzdo1:Ella Hooper (Herself);1odhk9ia:James Morrison (Himself);me1djtrk:Colin Lane (Himself);1s3haluy:Scott Edgar (Himself);,
1x10,2005-04-13,nf812lji:Adam Hills (Himself - Host);jlhj9gmd:Alan Brough (Himself - Team Captain);4mzpxmmm:Myf Warhurst (Herself - Team Captain);69c03337:Brian Cadd (Himself);1s3haluy:Scott Edgar (Himself);lg65s6nu:Slava Grigoryan (Himself);wtzft1x0:Ross Noble (Himself);,
