Episode,Date,Guests (Himself/Herself - Role)
1x01,2013-04-30,gr0xurn4:Nick Grimshaw (Himself - Host);u2ywgfmh:Rickie Haywood Williams (Himself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);rwxhc32a:Joe Lycett (Himself);vssxz2dy:Holly Willoughby (Herself);zoe5sjqv:Rochelle Humes (Herself);2g215la9:Ricky Norwood (Himself);,
1x02,2013-05-07,gr0xurn4:Nick Grimshaw (Himself - Host);u2ywgfmh:Rickie Haywood Williams (Himself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);7rrh7nvw:Caroline Flack (Herself);du20ea69:Seann Walsh (Himself);zoe5sjqv:Rochelle Humes (Herself);kmz6478i:Wretch 32 (Himself);p6vqtliz:Karis Anderson (Celebrity - Herself);xhq1g3cs:Alexandra Buggs (Celebrity - Herself);zlpytef9:Courtney Rumbold (Celebrity - Herself);,
1x03,2013-05-14,gr0xurn4:Nick Grimshaw (Himself - Host);u2ywgfmh:Rickie Haywood Williams (Himself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);xccc59r3:Joel Dommett (Himself);x3bjjl96:Jaime Winstone (Herself);zoe5sjqv:Rochelle Humes (Herself);f2hrpp6p:Rylan Clark (Himself);,
1x04,2013-05-21,gr0xurn4:Nick Grimshaw (Himself - Host);u2ywgfmh:Rickie Haywood Williams (Himself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);1rtqz52s:Russell Kane (Himself);htprs4ot:Kimberley Walsh (Herself);zoe5sjqv:Rochelle Humes (Herself);n6jxkaze:Aston Merrygold (Himself);ksmusoei:Marvin Humes (Himself);,
1x05,2013-05-28,gr0xurn4:Nick Grimshaw (Himself - Host);u2ywgfmh:Rickie Haywood Williams (Himself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);cdbltlaj:Tulisa Contostavlos (Herself);c26v5h9k:Katherine Ryan (Herself);zoe5sjqv:Rochelle Humes (Herself);4lv1v3uk:Danny Dyer (Himself);,
1x06,2013-06-04,gr0xurn4:Nick Grimshaw (Himself - Host);u2ywgfmh:Rickie Haywood Williams (Himself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);5c44y6fb:Chris Ramsey (Himself);8q3627xl:Josh Cuthbert (Himself);z8232fpo:JJ Hamblett (Himself);0j645rx3:Jaymi Hensley (Himself);j4gtc0kx:George Shelley (Himself);8sdyn2ab:Frankie Sandford (Herself);5wel4jmi:Jamie Laing (Himself);,
1x07,2013-06-11,gr0xurn4:Nick Grimshaw (Himself - Host);u2ywgfmh:Rickie Haywood Williams (Himself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);6zq865uy:Max George (Himself);8jf8izcs:Jay McGuiness (Himself);ac30skvr:Matt Richardson (Himself);msp9fnoc:Mollie King (Herself);m69zzk6k:Vanessa White (Herself);fl30no6f:Laura Whitmore (Herself);pr5bedlp:Ian Chaloner (Celebrity - Himself);fm4tmold:Matt Fincham (Celebrity - Himself);,
1x08,2013-06-18,gr0xurn4:Nick Grimshaw (Himself - Host);u2ywgfmh:Rickie Haywood Williams (Himself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);mkuo9ika:James Acaster (Himself);i5xgiz29:Katy B (Herself);gu9gr6ea:Una Healy (Herself);ke0xnedi:Rick Edwards (Himself);,
2x01,2013-10-15,gr0xurn4:Nick Grimshaw (Himself - Host);zoe5sjqv:Rochelle Humes (Herself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);hod0czb0:Conor Maynard (Himself);du20ea69:Seann Walsh (Himself);ekugv74y:Jacqueline Jossa (Herself);ac30skvr:Matt Richardson (Himself);,
2x02,2013-10-22,gr0xurn4:Nick Grimshaw (Himself - Host);zoe5sjqv:Rochelle Humes (Herself - Team Captain);w0tesu4r:Melvin Odoom (Himself - Team Captain);rwxhc32a:Joe Lycett (Himself);a0ruwecx:Danny Jones (Himself);j8a8nkti:Harry Judd (Himself);phtd0a0j:Eliza Doolittle (Herself);lg3rn3qw:Carl Donnelly (Himself);,
