Episode,Date,Guests (Himself/Herself - Role),References
1x01,2009-11-30,1ap6ouo5:Dr Alice Roberts (Herself);x9y0q5f5:Dara O'Briain (Himself);k47hcr0j:Robin Ince (Himself - Host);fcarckng:Brian Cox (Himself - Host);,
1x02,2009-12-07,8nwp8vae:Seth Shostak (Himself);aswjw7k1:Jon Ronson (Himself);k47hcr0j:Robin Ince (Himself - Host);fcarckng:Brian Cox (Himself - Host);,
1x03,2009-12-14,b2sch8ka:Philip Bull (Himself);t1g5imsm:Ben Miller (Himself);k47hcr0j:Robin Ince (Himself - Host);fcarckng:Brian Cox (Himself - Host);,
1x04,2009-12-21,fcarckng:Brian Cox (Himself - Host);k47hcr0j:Robin Ince (Himself - Host);y9qap6t1:Chris Addison (Himself);wwa2pb0e:Victor Stock (Himself);a67a7uvi:Adam Rutherford (Himself);,
2x01,2010-06-14,o7pakxfl:Robert Winston (Himself);t1g5imsm:Ben Miller (Himself);k47hcr0j:Robin Ince (Himself - Host);fcarckng:Brian Cox (Himself - Host);,
2x02,2010-06-21,fcarckng:Brian Cox (Himself - Host);k47hcr0j:Robin Ince (Himself - Host);ltnk2jj3:Ben Goldacre (Himself);2ufl1i4u:Dave Gorman (Himself);,
2x03,2010-06-28,hb83l0e6:Dr Brian Greene (Himself);obpah4ad:Alan Moore (Himself);cgg5lqmj:Jonathan Ross (Himself);k47hcr0j:Robin Ince (Himself - Host);fcarckng:Brian Cox (Himself - Host);,
2x04,2010-07-05,fcarckng:Brian Cox (Himself - Host);k47hcr0j:Robin Ince (Himself - Host);0nntrnkr:Colin Blakemore (Himself);9e3q4p9k:Mark Steel (Himself);,
3x01,2010-11-15,dwarfjy8:Dr Lucie Green (Herself);4mzh48iq:Andy Hamilton (Himself);a67a7uvi:Adam Rutherford (Himself);k47hcr0j:Robin Ince (Himself - Host);fcarckng:Brian Cox (Himself - Host);,
3x02,2010-11-22,fcarckng:Brian Cox (Himself - Host);k47hcr0j:Robin Ince (Himself - Host);o2iakgfe:Paul Foot (Himself);7k2kp95w:Aleks Krotoski (Herself);nc65879x:Professor Tony Ryan (Himself);,
3x03,2010-11-29,a50nz31v:Matt Parker (Himself);5rectlx2:Alex Bellos (Himself);093pchej:Tim Minchin (Himself);k47hcr0j:Robin Ince (Himself - Host);fcarckng:Brian Cox (Himself - Host);,
3x04,2010-12-06,fcarckng:Brian Cox (Himself - Host);k47hcr0j:Robin Ince (Himself - Host);zrst94ti:Alexei Sayle (Himself);6yo1rvfx:Julian Baggini (Himself);yyncwjgj:Professor Raymond Tallis (Himself);,
4x01,2011-05-30,nflnwaqm:Professor Steve Jones (Himself);e3lf98hc:Marcus Chown (Himself);o2iakgfe:Paul Foot (Himself);k47hcr0j:Robin Ince (Himself - Host);fcarckng:Brian Cox (Himself - Host);,
4x02,2011-06-06,fcarckng:Brian Cox (Himself - Host);k47hcr0j:Robin Ince (Himself - Host);fc3xrxvy:Stephen Fry (Himself);pakex9xp:Simon Singh (Himself);7k2kp95w:Aleks Krotoski (Herself);,
4x03,2011-06-13,vqnad76o:Helen Keen (Herself);wt0b2odu:Dr Kevin Fong (Himself);3vql8n27:Chris Riley (Himself);k47hcr0j:Robin Ince (Himself - Host);fcarckng:Brian Cox (Himself - Host);,
4x04,2011-06-20,2rr4oq0w:Professor Ed Copeland (Himself);jfsh9ubr:Dallas Campbell (Himself);obpah4ad:Alan Moore (Himself);k47hcr0j:Robin Ince (Himself - Host);fcarckng:Brian Cox (Himself - Host);,
4x05,2011-06-27,nc65879x:Professor Tony Ryan (Himself);d9v5vbkt:Shappi Khorsandi (Herself);xvvz11zh:Graham Coxon (Himself);4yfnoz60:Billy Bragg (Himself);k47hcr0j:Robin Ince (Himself - Host);fcarckng:Brian Cox (Himself - Host);,
4x06,2011-07-05,7gtu47pk:Bruce Hood (Himself);r95788pc:Richard Wiseman (Himself);sdggyf7s:Andy Nyman (Himself);k47hcr0j:Robin Ince (Himself - Host);fcarckng:Brian Cox (Himself - Host);,
