Episode,Date,Guests (Himself/Herself - Role)
1x01,2007-04-23,David Mitchell (Himself - Host);Marcus Brigstocke (Himself);Neil Mullarkey (Himself);Frankie Boyle (Himself);Tony Hawks (Himself)
1x02,2007-04-30,David Mitchell (Himself - Host);Clive Anderson (Himself);Jo Brand (Herself);Alan Davies (Himself);Jeremy Hardy (Himself)
1x03,2007-05-07,David Mitchell (Himself - Host);Jeremy Hardy (Himself);Clive Anderson (Himself);Jo Brand (Herself);Alan Davies (Himself)
1x04,2007-05-14,Dara O'Briain (Himself);Sandi Toksvig (Herself);Graeme Garden (Himself);David Mitchell (Himself - Host);Jo Caulfield (Herself)
1x05,2007-05-21,David Mitchell (Himself - Host);Frankie Boyle (Himself);Marcus Brigstocke (Himself);Tony Hawks (Himself);Neil Mullarkey (Himself)
1x06,2007-05-28,Sandi Toksvig (Herself);Dara O'Briain (Himself);Graeme Garden (Himself);Jo Caulfield (Herself);David Mitchell (Himself - Host)
2x01,2008-05-05,Tony Hawks (Himself);Simon Evans (Himself);Phill Jupitus (Himself);Alan Davies (Himself);David Mitchell (Himself - Host)
2x02,2008-05-12,Graeme Garden (Himself);Fred MacAulay (Himself);Michael McIntyre (Himself);Lucy Porter (Herself)
2x03,2008-05-19,Tim Vine (Himself);Lee Mack (Himself);Ed Byrne (Himself);Adam Buxton (Himself);David Mitchell (Himself - Host)
2x04,2008-05-26,Simon Evans (Himself);Phill Jupitus (Himself);Tony Hawks (Himself);Alan Davies (Himself);David Mitchell (Himself - Host)
2x05,2008-06-02,Graeme Garden (Himself);Fred MacAulay (Himself);David Mitchell (Himself - Host);Lucy Porter (Herself);Michael McIntyre (Himself)
2x06,2008-06-09,Tim Vine (Himself);David Mitchell (Himself - Host);Adam Buxton (Himself);Ed Byrne (Himself);Lee Mack (Himself)
2x07,2008-12-15,David Mitchell (Himself - Host);Graeme Garden (Himself);Jack Dee (Himself);Sean Lock (Himself);Armando Iannucci (Himself)
3x01,2009-03-23,Graeme Garden (Himself);Chris Addison (Himself);Clive Anderson (Himself);Lucy Porter (Herself);David Mitchell (Himself - Host)
3x02,2009-03-30,Milton Jones (Himself);Johnny Vaughan (Himself);Simon Evans (Himself);Tony Hawks (Himself);David Mitchell (Himself - Host)
3x03,2009-04-06,Lucy Porter (Herself);David Mitchell (Himself - Host);Graeme Garden (Himself);Clive Anderson (Himself);Chris Addison (Himself)
3x04,2009-04-13,David Mitchell (Himself - Host);Jeremy Hardy (Himself);Fred MacAulay (Himself);Jack Dee (Himself);Will Self (Himself)
3x05,2009-04-20,Sean Lock (Himself);Arthur Smith (Himself);Sue Perkins (Herself);David Mitchell (Himself - Host);Miranda Hart (Herself)
3x06,2009-04-27,David Mitchell (Himself - Host);Jeremy Hardy (Himself);Will Self (Himself);Arthur Smith (Himself);Fred MacAulay (Himself)
4x01,2009-10-05,David Mitchell (Himself - Host);Shappi Khorsandi (Herself);Adam Hills (Himself);Rhod Gilbert (Himself);Reginald D. Hunter (Himself)
4x02,2009-10-12,Dom Joly (Himself);Henning Wehn (Himself);Clive Anderson (Himself);David Mitchell (Himself - Host);Fi Glover (Herself)
4x03,2009-10-19,Graeme Garden (Himself);David Mitchell (Himself - Host);Tony Hawks (Himself);Arthur Smith (Himself);Phill Jupitus (Himself)
4x04,2009-10-26,David Mitchell (Himself - Host);Adam Hills (Himself);Shappi Khorsandi (Herself);Reginald D. Hunter (Himself);Rhod Gilbert (Himself)
4x05,2009-11-02,David Mitchell (Himself - Host);Clive Anderson (Himself);Dom Joly (Himself);Fi Glover (Herself);Henning Wehn (Himself)
4x06,2009-11-09,Arthur Smith (Himself);Tony Hawks (Himself);Graeme Garden (Himself);David Mitchell (Himself - Host);Phill Jupitus (Himself)
4x07,2009-12-28,David Mitchell (Himself - Host);Rob Brydon (Himself);John Lloyd (Himself);Stephen Fry (Himself);Alan Davies (Himself)
5x01,2010-03-29,Graeme Garden (Himself);Lucy Porter (Herself);Henning Wehn (Himself);Marcus Brigstocke (Himself);David Mitchell (Himself - Host)
5x02,2010-04-05,Catherine Tate (Herself);Phill Jupitus (Himself);Arthur Smith (Himself);Tony Hawks (Himself);David Mitchell (Himself - Host)
5x03,2010-04-12,David Mitchell (Himself - Host);Charlie Brooker (Himself);Liza Tarbuck (Herself);Susan Calman (Herself);Fred MacAulay (Himself)
