Episode,Date,Guests (Himself/Herself - Role)
1x01,2014-07-21,s8svsmxd:Kevin McHale (Himself);du20ea69:Seann Walsh (Team Captain - Himself);ftygtbr1:Chris Stark (Team Captain - Himself);5c44y6fb:Chris Ramsey (Himself);9k3xrhyo:Romesh Ranganathan (Himself);l2c41fr1:Rachel Riley (Herself);pkku2rhq:Tyger Drew-Honey (Himself);,
1x02,2014-07-28,s8svsmxd:Kevin McHale (Himself);du20ea69:Seann Walsh (Team Captain - Himself);ftygtbr1:Chris Stark (Team Captain - Himself);c26v5h9k:Katherine Ryan (Herself);rwxhc32a:Joe Lycett (Himself);4dew19sg:Helen Flanagan (Herself);wq35ocl2:David Haye (Himself);,
1x03,2014-08-04,s8svsmxd:Kevin McHale (Himself);du20ea69:Seann Walsh (Team Captain - Himself);ftygtbr1:Chris Stark (Team Captain - Himself);mkuo9ika:James Acaster (Himself);8osc35ur:Alex Brooker (Himself);xnyl5tpf:Jameela Jamil (Herself);i0ufm9pu:Kimberly Wyatt (Herself);,
1x04,2014-08-11,s8svsmxd:Kevin McHale (Himself);du20ea69:Seann Walsh (Team Captain - Himself);ftygtbr1:Chris Stark (Team Captain - Himself);5c44y6fb:Chris Ramsey (Himself);0qb7ja28:Bobby Mair (Himself);ik07fii6:Emily Atack (Herself);m2k80giu:Scott Mills (Himself);,
1x05,2014-08-18,s8svsmxd:Kevin McHale (Himself);du20ea69:Seann Walsh (Team Captain - Himself);ftygtbr1:Chris Stark (Team Captain - Himself);9k3xrhyo:Romesh Ranganathan (Himself);irb24wlu:Tom Rosenthal (Himself);3l1qtw2v:Stacey Solomon (Herself);tlyx4fr2:Bradley Simpson (Himself);tm7mp4lq:Tristan Evans (Himself);,
1x06,2014-08-25,s8svsmxd:Kevin McHale (Himself);du20ea69:Seann Walsh (Team Captain - Himself);ftygtbr1:Chris Stark (Team Captain - Himself);xd976g6t:Pixie Lott (Herself);mkuo9ika:James Acaster (Himself);2dypyt7w:Troy (Himself);4lzawlf5:Aisling Bea (Herself);,
1x07,2014-09-01,s8svsmxd:Kevin McHale (Himself);du20ea69:Seann Walsh (Team Captain - Himself);ftygtbr1:Chris Stark (Team Captain - Himself);1rtqz52s:Russell Kane (Himself);67wh2r6z:Cheska Hull (Herself);6qoog4do:Sharon Rooney (Herself);m5gihwar:Ed Gamble (Himself);,
1x08,2014-09-08,s8svsmxd:Kevin McHale (Himself);du20ea69:Seann Walsh (Team Captain - Himself);ftygtbr1:Chris Stark (Team Captain - Himself);9ny78n77:Gemma Merna (Herself);vj7g8edl:Rob Beckett (Himself);aeh39knz:Alex Mytton (Himself);4r04kudi:Yasmine Akram (Herself);,
2x01,2015-04-13,s8svsmxd:Kevin McHale (Himself);du20ea69:Seann Walsh (Team Captain - Himself);ftygtbr1:Chris Stark (Team Captain - Himself);jzw2u6u6:Ellie Taylor (Herself);amr5u0ii:Mark-Francis Vandelli (Himself);8osc35ur:Alex Brooker (Himself);19tj060x:Dappy (Himself);,
2x02,2015-04-20,s8svsmxd:Kevin McHale (Himself);du20ea69:Seann Walsh (Team Captain - Himself);ftygtbr1:Chris Stark (Team Captain - Himself);3l1qtw2v:Stacey Solomon (Herself);vj7g8edl:Rob Beckett (Himself);0qb7ja28:Bobby Mair (Himself);v7iuhe0x:Tyler Oakley (Himself);,
2x03,2015-04-27,s8svsmxd:Kevin McHale (Himself);du20ea69:Seann Walsh (Team Captain - Himself);ftygtbr1:Chris Stark (Team Captain - Himself);v58ro4o9:Jimmy Bullard (Himself);fl30no6f:Laura Whitmore (Herself);z7kyp79h:Rhys James (Himself);5c44y6fb:Chris Ramsey (Himself);,
2x04,2015-05-04,s8svsmxd:Kevin McHale (Himself);du20ea69:Seann Walsh (Team Captain - Himself);ftygtbr1:Chris Stark (Team Captain - Himself);f2hrpp6p:Rylan Clark (Himself);vj7g8edl:Rob Beckett (Himself);d57ygcoz:Tom Davis (Himself);yg604la3:Sarah Callaghan (Herself);,
2x05,2015-05-11,s8svsmxd:Kevin McHale (Himself);du20ea69:Seann Walsh (Team Captain - Himself);ftygtbr1:Chris Stark (Team Captain - Himself);wjmqif41:Denise Van Outen (Herself);w35t0eif:Louis Smith (Himself);0qb7ja28:Bobby Mair (Himself);sy2sdgn0:Dane Baptiste (Himself);,
2x06,2015-05-18,s8svsmxd:Kevin McHale (Himself);du20ea69:Seann Walsh (Team Captain - Himself);ftygtbr1:Chris Stark (Team Captain - Himself);e8hylsiw:Joey Essex (Himself);rgttfo6x:James Sutton (Himself);c26v5h9k:Katherine Ryan (Herself);5c44y6fb:Chris Ramsey (Himself);,
