Episode,Date,Guests (Himself/Herself - Role),References
01x01,2008-05-28,nch01m5e:Sandi Toksvig (Herself - Host);tn2a91cb:Tim Brooke-Taylor (Himself - Team Captain);2ufl1i4u:Dave Gorman (Himself - Team Captain);k47hcr0j:Robin Ince (Himself);yta3thvj:Rory McGrath (Himself);,
01x02,2008-06-04,nch01m5e:Sandi Toksvig (Herself - Host);tn2a91cb:Tim Brooke-Taylor (Himself - Team Captain);2ufl1i4u:Dave Gorman (Himself - Team Captain);t7su0owb:Adam Boulton (Himself);funl9xzs:Marcus Brigstocke (Himself);,
01x03,2008-06-11,nch01m5e:Sandi Toksvig (Herself - Host);tn2a91cb:Tim Brooke-Taylor (Himself - Team Captain);2ufl1i4u:Dave Gorman (Himself - Team Captain);u1lcnihj:Ian McMillan (Himself);6egq5ot8:Stephen K. Amos (Himself);,
01x04,2008-06-18,nch01m5e:Sandi Toksvig (Herself - Host);tn2a91cb:Tim Brooke-Taylor (Himself - Team Captain);2ufl1i4u:Dave Gorman (Himself - Team Captain);uuvdl6kj:Dom Joly (Himself);o7fyqsem:Rich Hall (Himself);,
01x05,2008-06-25,nch01m5e:Sandi Toksvig (Herself - Host);tn2a91cb:Tim Brooke-Taylor (Himself - Team Captain);2ufl1i4u:Dave Gorman (Himself - Team Captain);av6df8kv:Andre Vincent (Himself);e92t4t3i:Rosie Boycott (Herself);,
01x06,2008-07-02,nch01m5e:Sandi Toksvig (Herself - Host);tn2a91cb:Tim Brooke-Taylor (Himself - Team Captain);2ufl1i4u:Dave Gorman (Himself - Team Captain);uuvdl6kj:Dom Joly (Himself);dnc4rkfj:Paul Blezard (Himself);,
02x01,2008-11-12,nch01m5e:Sandi Toksvig (Herself - Host);y9qap6t1:Chris Addison (Himself - Team Captain);yy0vihbr:Sue Perkins (Herself - Team Captain);8k06jq62:John O'Farrell (Himself);k47hcr0j:Robin Ince (Himself);,
02x02,2008-11-19,nch01m5e:Sandi Toksvig (Herself - Host);y9qap6t1:Chris Addison (Himself - Team Captain);yy0vihbr:Sue Perkins (Herself - Team Captain);ea7kakgp:Alun Cochrane (Himself);y3wcwk7v:Jackie Clune (Herself);,
02x03,2008-11-26,nch01m5e:Sandi Toksvig (Herself - Host);y9qap6t1:Chris Addison (Himself - Team Captain);yy0vihbr:Sue Perkins (Herself - Team Captain);9oy9ddep:Andrew Collins (Himself);1rtqz52s:Russell Kane (Himself);,
02x04,2008-12-03,nch01m5e:Sandi Toksvig (Herself - Host);y9qap6t1:Chris Addison (Himself - Team Captain);yy0vihbr:Sue Perkins (Herself - Team Captain);2ufl1i4u:Dave Gorman (Himself);vrx437un:Dr Phil Hammond (Himself);,
02x05,2008-12-10,nch01m5e:Sandi Toksvig (Herself - Host);y9qap6t1:Chris Addison (Himself - Team Captain);yy0vihbr:Sue Perkins (Herself - Team Captain);fychgvqk:Jenny Eclair (Herself);9e3q4p9k:Mark Steel (Himself);,
02x06,2008-12-17,nch01m5e:Sandi Toksvig (Herself - Host);y9qap6t1:Chris Addison (Himself - Team Captain);yy0vihbr:Sue Perkins (Herself - Team Captain);0i00czvq:Graeme Garden (Himself);7fmia88d:Will Smith (Himself);,
02x07,2008-12-24,nch01m5e:Sandi Toksvig (Herself - Host);y9qap6t1:Chris Addison (Himself - Team Captain);yy0vihbr:Sue Perkins (Herself - Team Captain);bk2xi19y:Germaine Greer (Herself);35eciypt:Richard Herring (Himself);,
02x08,2008-12-31,nch01m5e:Sandi Toksvig (Herself - Host);y9qap6t1:Chris Addison (Himself - Team Captain);yy0vihbr:Sue Perkins (Herself - Team Captain);2ufl1i4u:Dave Gorman (Himself);6egq5ot8:Stephen K. Amos (Himself);,
02x09,2009-01-07,nch01m5e:Sandi Toksvig (Herself - Host);y9qap6t1:Chris Addison (Himself - Team Captain);yy0vihbr:Sue Perkins (Herself - Team Captain);fychgvqk:Jenny Eclair (Herself);bgfey1xd:Josie Long (Herself);,
02x10,2009-01-14,nch01m5e:Sandi Toksvig (Herself - Host);y9qap6t1:Chris Addison (Himself - Team Captain);yy0vihbr:Sue Perkins (Herself - Team Captain);8k06jq62:John O'Farrell (Himself);pgoexum5:Lucy Porter (Herself);,
03x01,2009-05-27,nch01m5e:Sandi Toksvig (Herself - Host);y9qap6t1:Chris Addison (Himself - Team Captain);yy0vihbr:Sue Perkins (Herself - Team Captain);t5dwdzuc:Jan Ravens (Herself);7pd88ut6:Rick Wakeman (Himself);,
03x02,2009-06-03,nch01m5e:Sandi Toksvig (Herself - Host);y9qap6t1:Chris Addison (Himself - Team Captain);yy0vihbr:Sue Perkins (Herself - Team Captain);8bduf8ih:Frank Skinner (Himself);8k06jq62:John O'Farrell (Himself);,
03x03,2009-06-10,nch01m5e:Sandi Toksvig (Herself - Host);y9qap6t1:Chris Addison (Himself - Team Captain);yy0vihbr:Sue Perkins (Herself - Team Captain);k47hcr0j:Robin Ince (Himself);2ufl1i4u:Dave Gorman (Himself);,
03x04,2009-06-17,nch01m5e:Sandi Toksvig (Herself - Host);y9qap6t1:Chris Addison (Himself - Team Captain);yy0vihbr:Sue Perkins (Herself - Team Captain);5b5you5n:Alistair McGowan (Himself);pizp4tjl:Nicholas Parsons (Himself);,
03x05,2009-06-24,nch01m5e:Sandi Toksvig (Herself - Host);y9qap6t1:Chris Addison (Himself - Team Captain);yy0vihbr:Sue Perkins (Herself - Team Captain);4mkxwzgl:Giles Coren (Himself);bgfey1xd:Josie Long (Herself);,
03x06,2009-06-31,nch01m5e:Sandi Toksvig (Herself - Host);y9qap6t1:Chris Addison (Himself - Team Captain);yy0vihbr:Sue Perkins (Herself - Team Captain);k47hcr0j:Robin Ince (Himself);pgoexum5:Lucy Porter (Herself);,
