#Episode,Date,Guests (Gender - Role)
0x00,April 2011,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Dan Maier (Himself);Jimbob (Himself)
1x01,21 September 2011,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Al Murray (Himself);Shappi Khorsandi (Herself)
1x02,28 September 2011,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Rich Fulcher (Himself);Emma Kennedy (Herself)
1x03,6 October 2011,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Thom Tuck (Himself);Martin White (Himself)
1x04,17 October 2011,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Scott Capurro (Himself);David Reed (Himself)
1x05,21 December 2011,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Jon Holmes (Himself);Bridget Christie (Herself)
2x01,27 May 2012,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Tony Law (Himself);Ruth Bratt (Herself)
2x02,10 June 2012,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Andy Zaltzman (Himself);Marek Larwood (Himself)
2x03,24 June 2012,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Dan Tetsell (Himself);Chris Neill (Himself)
2x04,9 July 2012,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Jenny Eclair (Herself);John Finnemore (Himself)
2x05,23 July 2012,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Robin Ince (Himself);Josie Long (Herself)
3x01,28 November 2012,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Paul Foot (Himself);Richard Herring (Himself)
3x02,5 December 2012,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Susan Calman (Herself);Nick Doody (Himself)
3x03,12 December 2012,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Les Dennis (Himself);Mark Olver (Himself);Bridget Christie (Herself)
3x04,19 December 2012,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Katy Brand (Herself);Dan Schreiber (Himself)
3x05,9 January 2013,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Howard Read (Himself);Jeremy Limb (Himself);Paul Litchfield (Himself)
3x06,16 January 2013,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Angelos Epithemiou (Himself);John-Luke Roberts (Himself)
3x07,30 January 2013,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Anglea Barnes (Herself);Justin Edwards (Himself);Gareth Gwyn (Himself)
3x08,13 February 2013,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Simon Evans (Himself);Lloyd Langford (Himself)
4x01,22 January 2014,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Sarah Millican (Herself);Jesse Thorn (Himself)
4x02,29 January 2014,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Jason Manford (Himself);Sara Pascoe (Herself)
4x03,5 February 2014,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Ray Peacock (Himself);Ed Gamble (Himself)
4x04,12 February 2014,Danielle Ward (Herself - Host);Michael Legge (Himself - Team Captain);Margaret Cabourn-Smith (Herself - Team Captain);Lucy Porter (Herself);Simon Munnery (Himself)
