# Fields: Name	IMDB ID	Wikipedia	Chortle ID	Gender
A.A. Gill	nm1539225	A._A._Gill		male
A.C. Grayling	nm2085251	A._C._Grayling		male
A.J. McLean	nm0572481	A._J._McLean		male
A.J.P. Taylor	nm0851918	A._J._P._Taylor		male
A.N. Wilson	nm2447770	A._N._Wilson		male
A.S. Byatt	nm0125706	A._S._Byatt		female
AP McCoy	nm1578273	Tony_McCoy		male
Aaron Gilbert	nm1740346	Delays		male
Aaron Porter	nm4099660	Aaron_Porter		male
Abandoman	nm4583449		33596	male
Abbey Clancy	nm2325706	Abbey_Clancy		female
Abi Ekoku	nm2493870	Abi_Ekoku		male
Abigail Green				female
Abz Love	nm0106714	Abz_Love		male
Adair Turner	nm2803256	Adair_Turner,_Baron_Turner_of_Ecchinswell		male
Adam Afriyie	nm2252647	Adam_Afriyie		male
Adam Ant	nm0001914	Adam_Ant		male
Adam Bloom		Adam_Bloom	48	male
Adam Boulton	nm1544053	Adam_Boulton		male
Adam Buxton	nm0125511	Adam_Buxton	33207	male
Adam Carney				male
Adam Croasdell	nm0189488	Adam_Croasdell		male
Adam Deacon	nm0212563	Adam_Deacon		male
Adam Duritz				male
Adam Faith		Adam_Faith		male
Adam Garcia	nm0305081	Adam_Garcia		male
Adam Gemili		Adam_Gemili		male
Adam Gillen	nm2907112	Adam_Gillen		male
Adam Hart-Davis	nm1007181	Adam_Hart-Davis		male
Adam Hills	nm0998928	Adam_Hills	452	male
Adam Johnson				male
Adam Jones				male
Adam Kuper		Adam_Kuper		male
Adam Lambert	nm2189338	Adam_Lambert		male
Adam Mosley				male
Adam Phillips				male
Adam Pitts		Lawson_(band)		male
Adam Price		Adam_Price		male
Adam Raphael		Adam_Raphael		male
Adam Richman	nm1624336	Adam_Richman		male
Adam Rickitt	nm0725540	Adam_Rickitt		male
Adam Rutherford		Adam_Rutherford		male
Adam Smith		Adam_Smith	34027	male
Adam Sutcliffe				male
Adam Thompson		Adam_Thompson		male
Adam Thomson				male
Adam Woodyatt	nm0941052	Adam_Woodyatt		male
Adele	nm2233157	Adele		female
Adele Parks		Adele_Parks		female
Adele Silva	nm0798195	Adele_Silva		female
Aden Ridgeway		Aden_Ridgeway		male
Adil Ray	nm1845893	Adil_Ray		male
Adrian Chiles	nm1328621	Adrian_Chiles		male
Adrian Edmondson	nm0249528	Ade_Edmondson	3141	male
Adrian Lewis		Adrian_Lewis		male
Adrian Locke				male
Adrian Moorhouse		Adrian_Moorhouse		male
Adrian Pasdar	nm0664499	Adrian_Pasdar		male
Adrian Tinniswood		Adrian_Tinniswood		male
Adrian Woolfson				male
Aggie MacKenzie	nm1452484	Aggie_MacKenzie		female
