Format,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,TV,TV,TV,TV,TV,TV,TV,TV,TV,TV,TV,TV,TV,TV,TV,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast
Type,All,All,All,All,All,BBC,BBC,BBC,BBC,BBC,Commercial,Commercial,Commercial,Commercial,Commercial,All,All,All,All,All,BBC,BBC,BBC,BBC,BBC,Commercial,Commercial,Commercial,Commercial,Commercial,All,All,All,All,All,BBC,BBC,BBC,BBC,BBC,Commercial,Commercial,Commercial,Commercial,Commercial,All,All,All,All,All,BBC,BBC,BBC,BBC,BBC,Commercial,Commercial,Commercial,Commercial,Commercial
Gender,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
1967,10,40.0%,4,6,0,10,40.0%,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40.0%,4,6,0,10,40.0%,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,99,35.4%,35,64,0,99,35.4%,35,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,35.4%,35,64,0,99,35.4%,35,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,135,20.0%,27,108,0,135,20.0%,27,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,20.0%,27,108,0,135,20.0%,27,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,150,20.0%,30,120,0,150,20.0%,30,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,20.0%,30,120,0,150,20.0%,30,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,104,19.2%,20,84,0,104,19.2%,20,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,19.2%,20,84,0,104,19.2%,20,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,220,16.4%,36,184,0,220,16.4%,36,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,16.4%,36,184,0,220,16.4%,36,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,225,10.2%,23,202,0,225,10.2%,23,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,10.2%,23,202,0,225,10.2%,23,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
