Episode,Date,Guests (Himself/Herself - Role),References
1x01,2005-06-03,tiewbgqw:Jimmy Carr (Himself - Host);yeh4puca:Richard Madeley (Himself);3xla1274:Lee Mack (Himself);eyxy68yo:Mel Giedroyc (Herself);mktoe8bw:Simon Amstell (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain),
1x02,2005-06-10,nn71jpyb:David Walliams (Himself);23ufw09i:Tara Palmer-Tomkinson (Herself);ry40inln:Christian O'Connell (Himself);r9njiv0i:Krishnan Guru-Murthy (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
1x03,2005-06-17,acajgupg:Claudia Winkleman (Herself);3xla1274:Lee Mack (Himself);29crsgwm:Eamonn Holmes (Himself);gc44eurf:Alan Carr (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
1x04,2005-06-24,7lm338ce:Peter Serafinowicz (Himself);ugexc8pw:June Sarpong (Herself);yy0vihbr:Sue Perkins (Herself);6pxdtvkj:Paul Kaye (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
1x05,2005-07-01,ce9aaz87:Debra Stephenson (Herself);j4x51a23:Laurence Llewelyn-Bowen (Himself);eyxy68yo:Mel Giedroyc (Herself);k1zdzzda:Scott Capurro (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
1x06,2005-07-08,couz67q8:Rob Rouse (Himself);2h5rlk6h:Iain Lee (Himself);gc44eurf:Alan Carr (Himself);m9jas0rx:Frankie Boyle (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
1x07,2005-07-15,h6wdx3nf:Janet Street-Porter (Herself);rasf33l1:Paddy McGuinness (Himself);3xla1274:Lee Mack (Himself);ejvlgb2l:Trisha Goddard (Herself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
1x08,2005-07-22,frvtpmkl:Ralf Little (Himself);2h5rlk6h:Iain Lee (Himself);d93me3wo:Sarah Beeny (Herself);mktoe8bw:Simon Amstell (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
1x09,2005-07-29,9b46vz01:Johnny Vegas (Himself);couz67q8:Rob Rouse (Himself);76pb75u2:Jayne Middlemiss (Herself);k1zdzzda:Scott Capurro (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
1x10,2005-08-05,y4h3y6yc:Vic Reeves (Himself);eldevkqe:Kate Garraway (Herself);gc44eurf:Alan Carr (Himself);m9jas0rx:Frankie Boyle (Himself);ak7ipqjj:Dave Spikey (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
