Episode,Date,Guests (Himself/Herself - Role),References
1x01,1998-09-22,z2h87oxj:William Vandyck (Himself - Host);7dceres7:Peter Baynham (Himself);jxjhkvjq:Simon Pegg (Himself);yy0vihbr:Sue Perkins (Herself);cas07k1t:Dave Green (Himself),https://en.wikipedia.org/wiki/The_99p_Challenge
1x02,1998-09-29,z2h87oxj:William Vandyck (Himself - Host);7dceres7:Peter Baynham (Himself);jxjhkvjq:Simon Pegg (Himself);yy0vihbr:Sue Perkins (Herself);cas07k1t:Dave Green (Himself),https://en.wikipedia.org/wiki/The_99p_Challenge
1x03,1998-10-06,z2h87oxj:William Vandyck (Himself - Host);7dceres7:Peter Baynham (Himself);n3ouxzf3:Morwenna Banks (Herself);4nam0h5t:Tom Binns (Himself);cas07k1t:Dave Green (Himself);,https://en.wikipedia.org/wiki/The_99p_Challenge
1x04,1998-10-13,z2h87oxj:William Vandyck (Himself - Host);7dceres7:Peter Baynham (Himself);jxjhkvjq:Simon Pegg (Himself);yy0vihbr:Sue Perkins (Herself);cas07k1t:Dave Green (Himself);,https://en.wikipedia.org/wiki/The_99p_Challenge
1x05,1998-10-20,z2h87oxj:William Vandyck (Himself - Host);7dceres7:Peter Baynham (Himself);n3ouxzf3:Morwenna Banks (Herself);cas07k1t:Dave Green (Himself);4nam0h5t:Tom Binns (Himself);,https://en.wikipedia.org/wiki/The_99p_Challenge
1x06,1998-10-27,z2h87oxj:William Vandyck (Himself - Host);7dceres7:Peter Baynham (Himself);yy0vihbr:Sue Perkins (Herself);jxjhkvjq:Simon Pegg (Himself);cas07k1t:Dave Green (Himself),https://en.wikipedia.org/wiki/The_99p_Challenge
2x01,2000-06-22,yy0vihbr:Sue Perkins (Herself - Host);jxjhkvjq:Simon Pegg (Himself);7dceres7:Peter Baynham (Himself);lg4f4z19:Armando Iannucci (Himself);9ldflfdo:Jack Docherty (Himself);,https://en.wikipedia.org/wiki/The_99p_Challenge
2x02,2000-06-29,yy0vihbr:Sue Perkins (Herself - Host);jxjhkvjq:Simon Pegg (Himself);7dceres7:Peter Baynham (Himself);35eciypt:Richard Herring (Himself);o281ntw1:David Quantick (Himself),https://en.wikipedia.org/wiki/The_99p_Challenge
2x03,2000-07-06,yy0vihbr:Sue Perkins (Herself - Host);jxjhkvjq:Simon Pegg (Himself);7dceres7:Peter Baynham (Himself);4nam0h5t:Tom Binns (Himself);yd3xtcvq:David Schneider (Himself);,https://en.wikipedia.org/wiki/The_99p_Challenge
2x04,2000-07-13,yy0vihbr:Sue Perkins (Herself - Host);jxjhkvjq:Simon Pegg (Himself);7dceres7:Peter Baynham (Himself);35eciypt:Richard Herring (Himself);eyxy68yo:Mel Giedroyc (Herself);,https://en.wikipedia.org/wiki/The_99p_Challenge
2x05,2000-07-20,yy0vihbr:Sue Perkins (Herself - Host);jxjhkvjq:Simon Pegg (Himself);7dceres7:Peter Baynham (Himself);4nam0h5t:Tom Binns (Himself);yd3xtcvq:David Schneider (Himself);,https://en.wikipedia.org/wiki/The_99p_Challenge
2x06,2000-07-27,yy0vihbr:Sue Perkins (Herself - Host);jxjhkvjq:Simon Pegg (Himself);7dceres7:Peter Baynham (Himself);lg4f4z19:Armando Iannucci (Himself);9ldflfdo:Jack Docherty (Himself);,https://en.wikipedia.org/wiki/The_99p_Challenge
3x01,2001-07-19,yy0vihbr:Sue Perkins (Herself - Host);lg4f4z19:Armando Iannucci (Himself);jxjhkvjq:Simon Pegg (Himself);l2c0axys:Bill Bailey (Himself);7lm338ce:Peter Serafinowicz (Himself);,https://en.wikipedia.org/wiki/The_99p_Challenge
3x02,2001-07-26,yy0vihbr:Sue Perkins (Herself - Host);lg4f4z19:Armando Iannucci (Himself);jxjhkvjq:Simon Pegg (Himself);7dceres7:Peter Baynham (Himself);o281ntw1:David Quantick (Himself),https://en.wikipedia.org/wiki/The_99p_Challenge
3x03,2001-08-02,yy0vihbr:Sue Perkins (Herself - Host);lg4f4z19:Armando Iannucci (Himself);jxjhkvjq:Simon Pegg (Himself);std2sp3i:Nick Frost (Himself);7uncfiy5:Ben Moor (Himself),https://en.wikipedia.org/wiki/The_99p_Challenge
3x04,2001-08-09,yy0vihbr:Sue Perkins (Herself - Host);7lm338ce:Peter Serafinowicz (Himself);4nam0h5t:Tom Binns (Himself);std2sp3i:Nick Frost (Himself);funl9xzs:Marcus Brigstocke (Himself);,https://en.wikipedia.org/wiki/The_99p_Challenge
3x05,2001-08-16,yy0vihbr:Sue Perkins (Herself - Host);lg4f4z19:Armando Iannucci (Himself);jxjhkvjq:Simon Pegg (Himself);std2sp3i:Nick Frost (Himself);7dceres7:Peter Baynham (Himself);,https://en.wikipedia.org/wiki/The_99p_Challenge
3x06,2001-08-23,yy0vihbr:Sue Perkins (Herself - Host);7lm338ce:Peter Serafinowicz (Himself);4nam0h5t:Tom Binns (Himself);std2sp3i:Nick Frost (Himself);7uncfiy5:Ben Moor (Himself),https://en.wikipedia.org/wiki/The_99p_Challenge
4x01,2003-02-04,yy0vihbr:Sue Perkins (Herself - Host);lg4f4z19:Armando Iannucci (Himself);jxjhkvjq:Simon Pegg (Himself);o281ntw1:David Quantick (Himself);l2c0axys:Bill Bailey (Himself);,https://en.wikipedia.org/wiki/The_99p_Challenge
4x02,2003-02-11,yy0vihbr:Sue Perkins (Herself - Host);lg4f4z19:Armando Iannucci (Himself);jxjhkvjq:Simon Pegg (Himself);7lm338ce:Peter Serafinowicz (Himself);funl9xzs:Marcus Brigstocke (Himself);,https://en.wikipedia.org/wiki/The_99p_Challenge
4x03,2003-02-18,yy0vihbr:Sue Perkins (Herself - Host);lg4f4z19:Armando Iannucci (Himself);jxjhkvjq:Simon Pegg (Himself);7lm338ce:Peter Serafinowicz (Himself);zabcayq5:Jon Holmes (Himself);,https://en.wikipedia.org/wiki/The_99p_Challenge
4x04,2003-02-25,yy0vihbr:Sue Perkins (Herself - Host);lg4f4z19:Armando Iannucci (Himself);7dceres7:Peter Baynham (Himself);funl9xzs:Marcus Brigstocke (Himself);std2sp3i:Nick Frost (Himself),https://en.wikipedia.org/wiki/The_99p_Challenge
4x05,2003-03-04,yy0vihbr:Sue Perkins (Herself - Host);lg4f4z19:Armando Iannucci (Himself);7dceres7:Peter Baynham (Himself);9ldflfdo:Jack Docherty (Himself);yipahedd:Sean Lock (Himself);,https://en.wikipedia.org/wiki/The_99p_Challenge
4x06,2003-03-11,yy0vihbr:Sue Perkins (Herself - Host);lg4f4z19:Armando Iannucci (Himself);jxjhkvjq:Simon Pegg (Himself);funl9xzs:Marcus Brigstocke (Himself);zabcayq5:Jon Holmes (Himself);,https://en.wikipedia.org/wiki/The_99p_Challenge
5x01,2004-08-25,yy0vihbr:Sue Perkins (Herself - Host);lg4f4z19:Armando Iannucci (Himself);7dceres7:Peter Baynham (Himself);jxjhkvjq:Simon Pegg (Himself);zabcayq5:Jon Holmes (Himself);,https://en.wikipedia.org/wiki/The_99p_Challenge
5x02,2004-09-01,yy0vihbr:Sue Perkins (Herself - Host);lg4f4z19:Armando Iannucci (Himself);7lm338ce:Peter Serafinowicz (Himself);roo1tkll:Miranda Hart (Herself);couz67q8:Rob Rouse (Himself);,https://en.wikipedia.org/wiki/The_99p_Challenge
5x03,2004-09-08,yy0vihbr:Sue Perkins (Herself - Host);lg4f4z19:Armando Iannucci (Himself);7dceres7:Peter Baynham (Himself);jxjhkvjq:Simon Pegg (Himself);7fjj5m47:Dan Antopolski (Himself),https://en.wikipedia.org/wiki/The_99p_Challenge
5x04,2004-09-15,yy0vihbr:Sue Perkins (Herself - Host);lg4f4z19:Armando Iannucci (Himself);couz67q8:Rob Rouse (Himself);zabcayq5:Jon Holmes (Himself);funl9xzs:Marcus Brigstocke (Himself);,https://en.wikipedia.org/wiki/The_99p_Challenge
5x05,2004-09-22,yy0vihbr:Sue Perkins (Herself - Host);lg4f4z19:Armando Iannucci (Himself);std2sp3i:Nick Frost (Himself);funl9xzs:Marcus Brigstocke (Himself);roo1tkll:Miranda Hart (Herself);,https://en.wikipedia.org/wiki/The_99p_Challenge
5x06,2004-09-29,yy0vihbr:Sue Perkins (Herself - Host);lg4f4z19:Armando Iannucci (Himself);std2sp3i:Nick Frost (Himself);couz67q8:Rob Rouse (Himself);7lm338ce:Peter Serafinowicz (Himself);,https://en.wikipedia.org/wiki/The_99p_Challenge
