Episode,Date,Guests (Himself/Herself - Role),References
1x01,2010-03-11,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);17ti1bqt:Neil Morrissey (Himself);wq35ocl2:David Haye (Himself);,https://en.wikipedia.org/wiki/List_of_A_League_of_Their_Own_episodes
1x02,2010-03-18,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);t7bkfh8z:Alastair Campbell (Himself);t6m377l9:Ruth Jones (Herself);,https://en.wikipedia.org/wiki/List_of_A_League_of_Their_Own_episodes
1x03,2010-03-25,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);17ti1bqt:Neil Morrissey (Himself);an7sb5fe:Abbey Clancy (Herself);,
1x04,2010-04-01,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);x9y0q5f5:Dara O'Briain (Himself);0i5h00y0:Steve Harmison (Himself);,
1x05,2010-04-08,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);djszfogi:Jack Whitehall (Himself);pcd39t2r:Amir Khan (Himself);,
1x06,2010-04-15,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);tiewbgqw:Jimmy Carr (Himself);6kb48pn3:Karen Pickering (Herself);,
1x07,2010-04-22,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);x9y0q5f5:Dara O'Briain (Himself);acajgupg:Claudia Winkleman (Herself);,
1x08,2010-04-29,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);k4ynw4wa:Bob Mortimer (Himself);vyl2gnou:Tom Daley (Himself);,
1x09,2010-05-06,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);ee1cm8xe:Ardal O'Hanlon (Himself);om2iuo4o:Gabby Logan (Herself);,
1x10,2010-05-13,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);1fchiwmk:Stephen Mangan (Himself);wxx9gw0q:Matt Le Tissier (Himself);,
2x01,2010-10-07,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);tiewbgqw:Jimmy Carr (Himself);0n99q2rr:Lily Allen (Herself);,
2x02,2010-10-14,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);6ucv6gnj:Chris Evans (Himself);xrtbrvoh:Tim Henman (Himself);,
2x03,2010-10-21,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);9hgf4amz:Rob Brydon (Himself);e98c0h4v:Jessica Ennis (Herself);,
2x04,2010-10-21,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);djszfogi:Jack Whitehall (Himself);tmaz1jbw:Michael Owen (Himself);,
2x05,2010-10-28,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);sas88cch:Clare Balding (Herself);ct38seh0:Tinchy Stryder (Himself);,
2x06,2010-10-28,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);qgikc84j:Dermot O'Leary (Himself);ts7hrfy3:Phillips Idowu (Himself);,
2x07,2010-11-04,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);qlrndhyl:Amanda Holden (Herself);rbwd0at3:Kevin Pietersen (Himself);,
2x08,2010-11-04,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);u9jjmpti:Patrick Kielty (Himself);e5c6jia3:Joe Calzaghe (Himself);,
2x09,2010-11-11,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);29crsgwm:Eamonn Holmes (Himself);cola0tiv:David James (Himself);,
2x10,2010-11-11,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);29crsgwm:Eamonn Holmes (Himself);cola0tiv:David James (Himself);,
2x13,2010-12-23,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);t6m377l9:Ruth Jones (Herself);4usg1v0h:Ricky Hatton (Himself);,
3x01,2011-03-04,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);tiewbgqw:Jimmy Carr (Himself);l3j1j53d:Phil Taylor (Himself);,
3x02,2011-03-11,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);x9y0q5f5:Dara O'Briain (Himself);w6r4yqe3:Gaël Clichy (Himself);,
3x03,2011-03-25,zid1la51:James Corden (Himself - Host);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself - Team Captain);vetnyfo3:Jamie Redknapp (Himself - Team Captain);onmudl5p:Georgie Thompson (Herself);j9nk18ol:John Bishop (Himself);3xla1274:Lee Mack (Himself);k8za3tkw:Rio Ferdinand (Himself);,
