Episode,Date,Guests (Himself/Herself - Role),References
1x01,2016-09-,o4ohfiqq:John Sergeant (Himself - Host);funl9xzs:Marcus Brigstocke (Himself - Team Captain);h663jn38:Rufus Hound (Himself - Team Captain);x9y0q5f5:Dara O'Briain (Himself);kb3a51qs:Mark Watson (Himself);,
1x02,2008-11-03,tiewbgqw:Jimmy Carr (Himself);lqu3n4lu:Ed Byrne (Himself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
1x03,2008-11-10,k47hcr0j:Robin Ince (Himself);9b46vz01:Johnny Vegas (Himself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
1x04,2008-11-17,o4ohfiqq:John Sergeant (Himself - Host);funl9xzs:Marcus Brigstocke (Himself - Team Captain);h663jn38:Rufus Hound (Himself - Team Captain);m9jas0rx:Frankie Boyle (Himself);sx5n2tkh:Phill Jupitus (Himself);,
1x05,2008-11-24,35eciypt:Richard Herring (Himself);i5uubaby:Hugh Dennis (Himself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
1x06,2008-12-01,luynjnx4:Andrew Maxwell (Himself);yy0vihbr:Sue Perkins (Herself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
1x07,2008-12-08,o4ohfiqq:John Sergeant (Himself - Host);funl9xzs:Marcus Brigstocke (Himself - Team Captain);h663jn38:Rufus Hound (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself);eylau49t:Charlie Higson (Himself);,
1x08,2008-12-15,kb3a51qs:Mark Watson (Himself);bne00n41:Andy Parsons (Himself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
1x09,2009-01-05,sx5n2tkh:Phill Jupitus (Himself);m9jas0rx:Frankie Boyle (Himself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
1x10,2009-01-12,o4ohfiqq:John Sergeant (Himself - Host);funl9xzs:Marcus Brigstocke (Himself - Team Captain);h663jn38:Rufus Hound (Himself - Team Captain);u9jjmpti:Patrick Kielty (Himself);pgoexum5:Lucy Porter (Herself);,
1x11,2009-01-19,h3jvd5mj:Jason Byrne (Himself);yy0vihbr:Sue Perkins (Herself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
1x12,2009-01-26,x59zfuf0:Jarred Christmas (Himself);pgoexum5:Lucy Porter (Herself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
2x01,2009-03-23,o4ohfiqq:John Sergeant (Himself - Host);funl9xzs:Marcus Brigstocke (Himself - Team Captain);h663jn38:Rufus Hound (Himself - Team Captain);y9qap6t1:Chris Addison (Himself);x9y0q5f5:Dara O'Briain (Himself);,
2x02,2009-03-30,kb3a51qs:Mark Watson (Himself);ee1cm8xe:Ardal O'Hanlon (Himself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
2x03,2009-04-06,5eveb8p1:Jo Caulfield (Herself);ikv6fsuk:Katy Brand (Herself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
2x04,2009-04-20,o4ohfiqq:John Sergeant (Himself - Host);funl9xzs:Marcus Brigstocke (Himself - Team Captain);h663jn38:Rufus Hound (Himself - Team Captain);yipahedd:Sean Lock (Himself);sx5n2tkh:Phill Jupitus (Himself);,
2x05,2009-04-27,uk8mmmbl:Reginald D. Hunter (Himself);dbiu4b8y:Sean Hughes (Himself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
2x06,2009-05-04,pgoexum5:Lucy Porter (Herself);m9jas0rx:Frankie Boyle (Himself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
2x07,2009-10-13,o4ohfiqq:John Sergeant (Himself - Host);funl9xzs:Marcus Brigstocke (Himself - Team Captain);h663jn38:Rufus Hound (Himself - Team Captain);m9jas0rx:Frankie Boyle (Himself);luynjnx4:Andrew Maxwell (Himself);,
2x08,2009-10-20,sx5n2tkh:Phill Jupitus (Himself);yipahedd:Sean Lock (Himself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
2x09,2009-10-27,piwd5vtr:Will Smith (Himself);x9y0q5f5:Dara O'Briain (Himself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
2x10,2009-11-03,o4ohfiqq:John Sergeant (Himself - Host);funl9xzs:Marcus Brigstocke (Himself - Team Captain);h663jn38:Rufus Hound (Himself - Team Captain);t83bgude:Simon Day (Himself);eylau49t:Charlie Higson (Himself);,
2x11,2009-11-10,yta3thvj:Rory McGrath (Himself);dbiu4b8y:Sean Hughes (Himself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
2x12,2009-11-17,o4ohfiqq:John Sergeant (Himself - Host);funl9xzs:Marcus Brigstocke (Himself - Team Captain);h663jn38:Rufus Hound (Himself - Team Captain);i5uubaby:Hugh Dennis (Himself);kb3a51qs:Mark Watson (Himself);,
3x01,2010-02-02,9b46vz01:Johnny Vegas (Himself);y9qap6t1:Chris Addison (Himself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
3x02,2010-02-09,oxyl45br:Sarah Millican (Herself);tiewbgqw:Jimmy Carr (Himself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
3x03,2010-02-16,o4ohfiqq:John Sergeant (Himself - Host);funl9xzs:Marcus Brigstocke (Himself - Team Captain);h663jn38:Rufus Hound (Himself - Team Captain);kb3a51qs:Mark Watson (Himself);djszfogi:Jack Whitehall (Himself);,
3x04,2010-02-23,yipahedd:Sean Lock (Himself);6egq5ot8:Stephen K. Amos (Himself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
3x05,2010-03-02,kb3a51qs:Mark Watson (Himself);ikv6fsuk:Katy Brand (Herself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
