Episode,Date,Guests (Himself/Herself - Role),References
1x01,2014-06-16,hk2rczao:Alan Davies (Himself - Host);ezum7f40:Noel Fielding (Himself);aswjw7k1:Jon Ronson (Himself);luynjnx4:Andrew Maxwell (Himself);4omd31xd:Kerry Godliman (Herself),
1x02,2014-06-17,hk2rczao:Alan Davies (Himself - Host);h3jvd5mj:Jason Byrne (Himself);35eciypt:Richard Herring (Himself);sx5n2tkh:Phill Jupitus (Himself);ucuj533y:Jessica Hynes (Herself),
1x03,2014-06-18,hk2rczao:Alan Davies (Himself - Host);k4ynw4wa:Bob Mortimer (Himself);funl9xzs:Marcus Brigstocke (Himself);c26v5h9k:Katherine Ryan (Herself);m6id19ht:John Robins (Himself),
1x04,2014-06-19,hk2rczao:Alan Davies (Himself - Host);l2c0axys:Bill Bailey (Himself);px3du8uh:Kevin Eldon (Himself);bik5fnyr:Isy Suttie (Herself);l9t6l0uv:Craig Campbell (Himself),
1x05,2014-06-20,hk2rczao:Alan Davies (Himself - Host);wtzft1x0:Ross Noble (Himself);xyq08s93:Liza Tarbuck (Herself);me1djtrk:Colin Lane (Himself);bgfey1xd:Josie Long (Herself),
2x01,2015-01-06,hk2rczao:Alan Davies (Himself - Host);r8lkybt7:Tommy Tiernan (Himself);tiewbgqw:Jimmy Carr (Himself);du20ea69:Seann Walsh (Himself);xlfikdcz:Holly Walsh (Herself),
2x02,2015-01-13,hk2rczao:Alan Davies (Himself - Host);t1g5imsm:Ben Miller (Himself);em96tcrn:Lizzie Roper (Herself);u9jjmpti:Patrick Kielty (Himself);zs45y9m6:Felicity Ward (Herself),
2x03,2015-01-20,hk2rczao:Alan Davies (Himself - Host);1fchiwmk:Stephen Mangan (Himself);oxyl45br:Sarah Millican (Herself);jtkbv70w:Zoe Lyons (Herself);ay8fjft4:Hal Cruttenden (Himself),
2x04,2015-01-27,hk2rczao:Alan Davies (Himself - Host);pyqgtpx8:David Baddiel (Himself);6462fbck:Sharon Horgan (Herself);og6yjiw1:James Brown (Himself);ewwqjcle:Nish Kumar (Himself),
2x05,2015-02-03,hk2rczao:Alan Davies (Himself - Host);b93y6vnu:Jo Brand (Herself);mkuo9ika:James Acaster (Himself);lyr97zzu:Sara Pascoe (Herself);u2juhzhv:Ricky Tomlinson (Himself),
2x06,2015-02-10,hk2rczao:Alan Davies (Himself - Host);27g5s77i:Angela Barnes (Herself);9glurh4i:Michael Ball (Himself);wtzft1x0:Ross Noble (Himself);h6wdx3nf:Janet Street-Porter (Herself),
2x07,2015-02-17,hk2rczao:Alan Davies (Himself - Host);wiqek7yz:Grace Dent (Herself);qzdunwq0:David O'Doherty (Himself);1m6qgqjl:Sean Kelly (Himself);9b46vz01:Johnny Vegas (Himself),
2x08,2015-02-24,hk2rczao:Alan Davies (Himself - Host);q1vghuhp:Matthew Crosby (Himself);2a1h4fcb:Julian Clary (Himself);d9v5vbkt:Shappi Khorsandi (Herself);goz3ofbt:Jack Dee (Himself),
2x09,2015-03-03,hk2rczao:Alan Davies (Himself - Host);ee1cm8xe:Ardal O'Hanlon (Himself);45nd42d5:Roisin Conaty (Herself);qv4meooo:Rob Delaney (Himself);kn84ys1v:Elis James (Himself),
2x10,2015-03-10,hk2rczao:Alan Davies (Himself - Host);bk2xi19y:Germaine Greer (Herself);qw17f42h:Lucy Beaumont (Herself);cgg5lqmj:Jonathan Ross (Himself);p8h0unpx:Tom Wrigglesworth (Himself),
3x01,2015-11-03,hk2rczao:Alan Davies (Himself - Host);pb6myy4v:Katherine Jakeways (Herself);3xla1274:Lee Mack (Himself);x06ndrsl:Nick Helm (Himself);lvwfm1hm:Olivia Lee (Herself),
3x02,2015-11-10,hk2rczao:Alan Davies (Himself - Host);wguqcrlr:Matt Lucas (Himself);6fd2akfw:John Thomson (Himself);vg4mni0b:Sarah Kendall (Herself);3ka5qdw0:Stuart Goldsmith (Himself),
3x03,2015-11-17,hk2rczao:Alan Davies (Himself - Host);4lzawlf5:Aisling Bea (Herself);08tkx8oo:Justin Moorhouse (Himself);sm1l64rq:Jo Enright (Herself);y4h3y6yc:Jim Moir (Himself),
3x04,2015-11-24,hk2rczao:Alan Davies (Himself - Host);gp7xl4qq:Jon Robins (Himself);tq4rhgl6:Russell Howard (Himself);okvzuwkk:Reece Shearsmith (Himself);uhxw9vxb:Tiffany Stevenson (Herself),
3x05,2015-12-01,hk2rczao:Alan Davies (Himself - Host);l2c0axys:Bill Bailey (Himself);k56f1us9:Diane Morgan (Herself);xjjg2czu:Steve Pemberton (Himself);9k3xrhyo:Romesh Ranganathan (Himself),
3xXX,2015-12-23,hk2rczao:Alan Davies (Himself - Host);ejy4jt39:Richard Coles (Himself);aucasrs1:Jo Joyner (Herself);rwxhc32a:Joe Lycett (Himself);3vblg9jo:Jason Manford (Himself),
3x06,2016-02-02,hk2rczao:Alan Davies (Himself - Host);k4ynw4wa:Bob Mortimer (Himself);1rtqz52s:Russell Kane (Himself);w0ddlmn2:Lucy Montgomery (Herself);lcx9zc14:Miles Jupp (Himself),
3x07,2016-02-09,hk2rczao:Alan Davies (Himself - Host);b93y6vnu:Jo Brand (Herself);l1cchu89:Chris Martin (Himself);r8lkybt7:Tommy Tiernan (Himself);ea7kakgp:Alun Cochrane (Himself),
3x08,2015-02-16,hk2rczao:Alan Davies (Himself - Host);sx5n2tkh:Phill Jupitus (Himself);p4xiya08:Stuart Maconie (Himself);8gpxif4g:Pippa Evans (Herself);lg3rn3qw:Carl Donnelly (Himself),
3x09,2016-02-23,hk2rczao:Alan Davies (Himself - Host);h3jvd5mj:Jason Byrne (Himself);wjmqif41:Denise Van Outen (Herself);ysvv93ea:Josh Widdicombe (Himself);plcijfz9:Alice Levine (Herself),
3x10,2016-03-01,hk2rczao:Alan Davies (Himself - Host);eylau49t:Charlie Higson (Himself);wm67xya4:Sally Phillips (Herself);rhhx9oi8:Johnny Vaughan (Himself);jzw2u6u6:Ellie Taylor (Herself),
4x01,2016-06-11,hk2rczao:Alan Davies (Himself - Host);fc3xrxvy:Stephen Fry (Himself);nch01m5e:Sandi Toksvig (Herself);lyr97zzu:Sara Pascoe (Herself);m8qbjnof:Alex Edelman (Himself),
4x02,2016-06-12,hk2rczao:Alan Davies (Himself - Host);rfi72w6w:Catherine Tate (Herself);xstc1ush:Milton Jones (Himself);5mbiq6m2:Ainsley Harriott (Himself);yp7yhmfs:Bryony Kimmings (Herself),
4x03,2016-06-13,hk2rczao:Alan Davies (Himself - Host);xoptut0i:Lou Sanders (Herself);fwsawolj:Richard Ayoade (Himself);cd2901cw:Katherine Parkinson (Herself);5dhifu3b:Harry Shearer (Himself),
4x04,2016-06-14,hk2rczao:Alan Davies (Himself - Host);m2nw4eae:David Mitchell (Himself);xyq08s93:Liza Tarbuck (Herself);sy2sdgn0:Dane Baptiste (Himself);4tvm98xv:Lolly Adefope (Herself),
4x05,2016-06-15,hk2rczao:Alan Davies (Himself - Host);k6egqudh:Jon Richardson (Himself);fychgvqk:Jenny Eclair (Herself);h66fqbxb:Mark Olver (Himself);zrst94ti:Alexei Sayle (Himself),
4x06,2016-06-16,hk2rczao:Alan Davies (Himself - Host);1hol02h9:Al Murray (Himself);x5unmeqr:Victoria Coren Mitchell (Herself);fpoaa6n0:Luisa Omielan (Herself);vj7g8edl:Rob Beckett (Himself),
4x07,2016-06-17,hk2rczao:Alan Davies (Himself - Host);6egq5ot8:Stephen K. Amos (Himself);9crpgfua:Josh Howie (Himself);rpplxf6m:Bridget Christie (Herself);t6mx3m6n:Eddie Izzard (Himself),
4x08,2016-06-18,hk2rczao:Alan Davies (Himself - Host);ucuj533y:Jessica Hynes (Herself);v5oljhlf:Wes Borg (Himself);mz9xtuz2:Deirdre O'Kane (Herself);y9qap6t1:Chris Addison (Himself),
4x09,2016-06-19,hk2rczao:Alan Davies (Himself - Host);kb3a51qs:Mark Watson (Himself);fpob54ax:Katy Wix (Herself);groez79s:Karen Taylor (Herself);y4h3y6yc:Vic Reeves (Himself),
4x10,2016-06-20,hk2rczao:Alan Davies (Himself - Host);q6xkq8v3:Omid Djalili (Himself);n87xrdv6:Alex Horne (Himself);glts2is1:Shaun Ryder (Himself);l3qwywbu:Kathy Burke (Herself),
5x01,2017-02-21,hk2rczao:Alan Davies (Himself - Host);h6a1vk7h:Davina McCall (Herself);tiewbgqw:Jimmy Carr (Himself);plcijfz9:Alice Levine (Herself);uk8mmmbl:Reginald D. Hunter (Himself),https://www.comedy.co.uk/tv/alan_davies_as_yet_untitled/episodes/5/1/
5x02,2017-02-28,hk2rczao:Alan Davies (Himself - Host);3q4rg9bp:Lizzie Roper (Herself);4tapr6wn:Gemma Whelan (Herself);k4ynw4wa:Bob Mortimer (Himself);irb24wlu:Tom Rosenthal (Himself),https://www.comedy.co.uk/tv/alan_davies_as_yet_untitled/episodes/5/2/
5x03,2017-03-07,hk2rczao:Alan Davies (Himself - Host);atyiclwr:Annie Siddons (Herself);u9jjmpti:Patrick Kielty (Himself);c26v5h9k:Katherine Ryan (Herself);rwxhc32a:Joe Lycett (Himself),https://www.comedy.co.uk/tv/alan_davies_as_yet_untitled/episodes/5/3/
5x04,2017-03-14,hk2rczao:Alan Davies (Himself - Host);ee1cm8xe:Ardal O'Hanlon (Himself);varfhn88:Melanie Chisholm (Herself);vnpyzg64:Jamali Maddix (Himself);8tklkv5y:Jessica Knappett (Herself),https://www.comedy.co.uk/tv/alan_davies_as_yet_untitled/episodes/5/4/
5x05,2017-03-21,hk2rczao:Alan Davies (Himself - Host);irmr1td1:Sindhu Vee (Herself);3tn8jt9t:Beattie Edmondson (Herself);kn84ys1v:Elis James (Himself);pyqgtpx8:David Baddiel (Himself),https://www.comedy.co.uk/tv/alan_davies_as_yet_untitled/episodes/5/5/
5x06,2017-03-28,hk2rczao:Alan Davies (Himself - Host);ikv6fsuk:Katy Brand (Herself);xdkm2n7q:Ian Stone (Himself);goz3ofbt:Jack Dee (Himself);xoptut0i:Lou Sanders (Herself),https://www.comedy.co.uk/tv/alan_davies_as_yet_untitled/episodes/5/6/
5x07,2017-04-04,hk2rczao:Alan Davies (Himself - Host);okvzuwkk:Reece Shearsmith (Himself);vag73ro9:Dave Johns (Himself);pgoexum5:Lucy Porter (Herself);4n9puxbc:Gemma Cairney (Herself),https://www.comedy.co.uk/tv/alan_davies_as_yet_untitled/episodes/5/7/
5x08,2017-04-11,hk2rczao:Alan Davies (Himself - Host);nlbhhrhx:Susan Calman (Herself);7kyxpuha:Sophie Willan (Herself);9t9u6aoh:Ivo Graham (Himself);l9dxrh30:Sanjeev Bhaskar (Himself),https://www.comedy.co.uk/tv/alan_davies_as_yet_untitled/episodes/5/8/
6x01,2021-07-27,hk2rczao:Alan Davies (Himself - Host);zq3h8ifh:Darren Harriott (Himself);ydcva7s1:Sarah Keyworth (other);7wn5w5wf:Angela Scanlon (Herself);x9y0q5f5:Dara O'Briain (Himself),https://en.wikipedia.org/wiki/Alan_Davies%3A_As_Yet_Untitled
6x02,2021-08-03,hk2rczao:Alan Davies (Himself - Host);3r3djszr:Helen Bauer (Herself);cev8sy6q:Rachel Fairburn (Herself);qa5s3f3t:Phil Wang (Himself);tkd7ts9x:Harry Hill (Himself),https://en.wikipedia.org/wiki/Alan_Davies%3A_As_Yet_Untitled
6x03,2021-08-10,hk2rczao:Alan Davies (Himself - Host);91mgdton:Laura Smyth (Herself);78xjn9kp:Tez Ilyas (Himself);lyr97zzu:Sara Pascoe (Herself);gw1exkem:Adrian Edmondson (Himself),https://en.wikipedia.org/wiki/Alan_Davies%3A_As_Yet_Untitled
6x04,2021-08-17,hk2rczao:Alan Davies (Himself - Host);g1yvca5i:Catherine Bohart (Herself);ncw32b4v:Chris McCausland (Himself);0jlb2uxd:Thanyia Moore (Herself);rwxhc32a:Joe Lycett (Himself),https://en.wikipedia.org/wiki/Alan_Davies%3A_As_Yet_Untitled
6x05,2021-08-24,hk2rczao:Alan Davies (Himself - Host);3xla1274:Lee Mack (Himself);49w7hsm3:Grace Campbell (Herself);suxshpu3:Sara Barron (Herself);kvx4mp4l:Babatunde Aléshé (Himself),https://en.wikipedia.org/wiki/Alan_Davies%3A_As_Yet_Untitled
6x06,2021-08-31,hk2rczao:Alan Davies (Himself - Host);kqzz5hj0:Toussaint Douglas (Himself);59gmixwl:Desiree Burch (Herself);3vblg9jo:Jason Manford (Himself);4eq3cvso:Suzi Ruffell (Herself),https://en.wikipedia.org/wiki/Alan_Davies%3A_As_Yet_Untitled
6x07,2021-09-07,hk2rczao:Alan Davies (Himself - Host);xccc59r3:Joel Dommett (Himself);5l0pn3tm:Rosie Jones (Herself);ey25fz9z:John Kearns (Himself);4o00yn0w:Sophie Duker (Herself),https://en.wikipedia.org/wiki/Alan_Davies%3A_As_Yet_Untitled
6x08,2021-09-14,hk2rczao:Alan Davies (Himself - Host);uwxpft6h:Nina Conti (Herself);iw5842lg:Morgana Robinson (Herself);l2c0axys:Bill Bailey (Himself);dhclgvet:Munya Chawawa (Himself),https://en.wikipedia.org/wiki/Alan_Davies%3A_As_Yet_Untitled
6x09,2021-09-21,hk2rczao:Alan Davies (Himself - Host);s0j43jym:Andy Field (Himself);xoptut0i:Lou Sanders (Herself);kjzneopj:Guz Khan (Himself);fxywp6hj:Geoff Lloyd (Himself),https://en.wikipedia.org/wiki/Alan_Davies%3A_As_Yet_Untitled
6x10,2021-09-28,hk2rczao:Alan Davies (Himself - Host);fwsawolj:Richard Ayoade (Himself);fdv2ekcb:Harriet Kemsley (Herself);5ufaund6:Joanne McNally (Herself);6z0an1kt:Jonny Pelham (Himself),https://en.wikipedia.org/wiki/Alan_Davies%3A_As_Yet_Untitled
7x01,2023-03-14,hk2rczao:Alan Davies (Himself - Host);l49ttda8:Lara Ricote (Herself);vnpyzg64:Jamali Maddix (Himself);llnpatnz:Josh Jones (Himself);yy0vihbr:Sue Perkins (Herself),https://en.wikipedia.org/wiki/Alan_Davies%3A_As_Yet_Untitled
7x02,2023-03-21,hk2rczao:Alan Davies (Himself - Host);h3jvd5mj:Jason Byrne (Himself);zg48w072:Fatiha El-Ghorri (Herself);3r3djszr:Helen Bauer (Herself);15jmzsmk:Alex Jones (Herself),https://en.wikipedia.org/wiki/Alan_Davies%3A_As_Yet_Untitled
7x03,2023-03-28,hk2rczao:Alan Davies (Himself - Host);1fchiwmk:Stephen Mangan (Himself);bik5fnyr:Isy Suttie (Herself);hc9zof7e:Jordan Gray (Herself);du20ea69:Seann Walsh (Himself),https://en.wikipedia.org/wiki/Alan_Davies%3A_As_Yet_Untitled
7x04,2023-04-04,hk2rczao:Alan Davies (Himself - Host);u9jjmpti:Patrick Kielty (Himself);ucuj533y:Jessica Hynes (Herself);t78vjvqd:Amy Gledhill (Herself);50tl6s7e:Emmanuel Sonubi (Himself),https://en.wikipedia.org/wiki/Alan_Davies%3A_As_Yet_Untitled
7x05,2023-04-11,hk2rczao:Alan Davies (Himself - Host);1rtqz52s:Russell Kane (Himself);jgg561pd:London Hughes (Herself);1hol02h9:Al Murray (Himself);0kvfpevl:Fern Brady (Herself),https://en.wikipedia.org/wiki/Alan_Davies%3A_As_Yet_Untitled
7x06,2023-04-18,hk2rczao:Alan Davies (Himself - Host);b93y6vnu:Jo Brand (Herself);ap3qvo3z:Ola Labib (Herself);lkst334t:Jack Rooke (Himself);zq3h8ifh:Darren Harriott (Himself),https://en.wikipedia.org/wiki/Alan_Davies%3A_As_Yet_Untitled
7x07,2023-04-25,hk2rczao:Alan Davies (Himself - Host);gsl7kii2:Matt Edmondson (Himself);qjk982y6:Archie Maddocks (Himself);dseaj2eq:Steph McGovern (Herself);lqu3n4lu:Ed Byrne (Himself),https://en.wikipedia.org/wiki/Alan_Davies%3A_As_Yet_Untitled
7x08,2023-05-02,hk2rczao:Alan Davies (Himself - Host);ikeaww1y:Rachel Parris (Herself);jzw2u6u6:Ellie Taylor (Herself);9b46vz01:Johnny Vegas (Himself);gidlllww:Josh Pugh (Himself),https://en.wikipedia.org/wiki/Alan_Davies%3A_As_Yet_Untitled
