Episode,Date,Guests (Himself/Herself - Role),References
1x01,2023-10-10,z5h8zk70:Kiri Pritchard-Mclean (Herself - Host);zs45y9m6:Felicity Ward (Herself);inb21g3c:Dr Ally Barrow (Herself);lsltd4f1:Ed Freshwater (Himself);nb7bm1ux:Seyi Rhodes (Himself),https://www.bbc.co.uk/programmes/m001r84c
1x02,2023-10-17,z5h8zk70:Kiri Pritchard-Mclean (Herself - Host);e7xqgf9q:Professor Rebecca Fitzgerald (Herself);5l2l3phm:Dr Jack Hartnell (Himself);0jlb2uxd:Thanyia Moore (Herself);m7p6br0c:Dr Tolullah Oni (Herself),https://www.bbc.co.uk/programmes/m001rgyt
1x03,2023-10-24,z5h8zk70:Kiri Pritchard-Mclean (Herself - Host);153yyntk:Dr Lindsey Fitzharris (Herself);hc9zof7e:Jordan Gray (Herself);86c2p14a:Sarah Kerruish (Herself);cvevxja2:Dr Samantha Terry (Herself),https://www.bbc.co.uk/programmes/m001rqr2
1x04,2023-10-31,z5h8zk70:Kiri Pritchard-Mclean (Herself - Host);uz1hrjiu:Dr Christos Bergeles (Himself);99jnex7m:Dr Elinor Cleghorn (Herself);izmtgo9n:Professor Daniel Davis (Himself);ggkans1f:Sukh Ojla (Herself),https://www.bbc.co.uk/programmes/m001ryf0
1x05,2023-11-07,z5h8zk70:Kiri Pritchard-Mclean (Herself - Host);jbenwtlp:Nabil Abdulrashid (Himself);lgtva44g:Professor Massimo Caputo (Himself);s3z5plj7:Dr Adam Kampff (Himself);4oumv3wq:Phillipa Vincent-Connolly (Herself),https://www.bbc.co.uk/programmes/m001s5mp
1x06,2023-11-14,z5h8zk70:Kiri Pritchard-Mclean (Herself - Host);7tvr8mla:Rev Kate Bottley (Herself);xgna0vo0:Dr Subarna Chakravorty (Herself);3b0ewgod:John James OBE (Himself);wuf3ef9r:Ria Lina (Herself);40zrxl0n:Caroline Rance (Herself),https://www.bbc.co.uk/programmes/m001sd6n
1x07,2023-11-21,z5h8zk70:Kiri Pritchard-Mclean (Herself - Host);153yyntk:Dr Lindsey Fitzharris (Herself);8gx55x7c:Professor Kevin Harrington (Himself);rshxikhz:Dr Aravinthan Varatharaj (Himself);7ghvd159:Matt Winning (Himself),https://www.bbc.co.uk/programmes/m001sm8v
1x08,2023-11-28,z5h8zk70:Kiri Pritchard-Mclean (Herself - Host);qz16sco1:Dr Paul Craddock (Himself);d9v5vbkt:Shaparak Khorsandi (Herself);3ket1vqb:Professor Roger Kneebone (Himself);pbcdy1pw:Professor Jamie Ward (Himself),https://www.bbc.co.uk/programmes/m001sv8q
1x09,2023-12-05,z5h8zk70:Kiri Pritchard-Mclean (Herself - Host);xk3j6u7e:Kristoffer Hughes (Himself);tg89yrzl:Professor Olivette Otele (Herself);gw1zorcx:Ali Plumb (Herself);dpx35yde:Professor Anil Seth (Himself),https://www.bbc.co.uk/programmes/m001t3gl
1x10,2023-12-12,z5h8zk70:Kiri Pritchard-Mclean (Herself - Host);qz16sco1:Dr Paul Craddock (Himself);oxqvdgxn:Subhadra Das (Herself);wuf3ef9r:Ria Lina (Herself);y80mcha1:Dr Guddi Singh (Herself),https://www.bbc.co.uk/programmes/m001tbhc
