Episode,Date,Guests (Himself/Herself - Role),References
20041228,2004-12-28,tiewbgqw:Jimmy Carr (Himself - Host);cgg5lqmj:Jonathan Ross (Himself);ugexc8pw:June Sarpong (Herself);9hgf4amz:Rob Brydon (Himself);nn71jpyb:David Walliams (Himself);xyq08s93:Liza Tarbuck (Herself);jxjhkvjq:Simon Pegg (Himself),
20051226,2005-12-26,7pj1n098:Sharon Osbourne (Herself);9hgf4amz:Rob Brydon (Himself);cwpz71ji:Gordon Ramsay (Himself);m2nw4eae:David Mitchell (Himself);wjmqif41:Denise Van Outen (Herself);cgg5lqmj:Jonathan Ross (Himself);tiewbgqw:Jimmy Carr (Himself - Host),
20061227,2006-12-27,z4pdfiqi:Cat Deeley (Herself);cgg5lqmj:Jonathan Ross (Himself);nn71jpyb:David Walliams (Himself);9hgf4amz:Rob Brydon (Himself);ezum7f40:Noel Fielding (Himself);lyhqj9gj:Russell Brand (Himself);tiewbgqw:Jimmy Carr (Himself - Host),
20071102,2007-11-02,m2nw4eae:David Mitchell (Himself);fwsawolj:Richard Ayoade (Himself);8bduf8ih:Frank Skinner (Himself);6vpb1owi:Carol Vorderman (Herself);goz3ofbt:Jack Dee (Himself);gc44eurf:Alan Carr (Himself);tiewbgqw:Jimmy Carr (Himself - Host),
20071230,2007-12-30,0n99q2rr:Lily Allen (Herself);cgg5lqmj:Jonathan Ross (Himself);m2nw4eae:David Mitchell (Himself);9hgf4amz:Rob Brydon (Himself);ezum7f40:Noel Fielding (Himself);lyhqj9gj:Russell Brand (Himself);tiewbgqw:Jimmy Carr (Himself - Host),
20081228,2008-12-28,acajgupg:Claudia Winkleman (Herself);l2q1tl1a:Michael McIntyre (Himself);zid1la51:James Corden (Himself);yipahedd:Sean Lock (Himself);tiewbgqw:Jimmy Carr (Himself - Host);x9y0q5f5:Dara O'Briain (Himself);h6a1vk7h:Davina McCall (Herself),
20100101,2010-01-01,cgg5lqmj:Jonathan Ross (Himself);lyhqj9gj:Russell Brand (Himself);9hgf4amz:Rob Brydon (Himself);a7y0buzm:Charlie Brooker (Himself);acajgupg:Claudia Winkleman (Herself);m2nw4eae:David Mitchell (Himself);tiewbgqw:Jimmy Carr (Himself - Host),
20110103,2011-01-03,ezum7f40:Noel Fielding (Himself);fwsawolj:Richard Ayoade (Himself);gc44eurf:Alan Carr (Himself);t6m377l9:Ruth Jones (Herself);cgg5lqmj:Jonathan Ross (Himself);tiewbgqw:Jimmy Carr (Himself - Host);l2q1tl1a:Michael McIntyre (Himself),
20111227,2011-12-27,m2nw4eae:David Mitchell (Himself);ln497k25:Jamie Oliver (Himself);cgg5lqmj:Jonathan Ross (Himself);roo1tkll:Miranda Hart (Herself);nn71jpyb:David Walliams (Himself);t6mx3m6n:Eddie Izzard (Himself);tiewbgqw:Jimmy Carr (Himself - Host),
20120916,2012-09-16,3vblg9jo:Jason Manford (Himself);1fchiwmk:Stephen Mangan (Himself);cgg5lqmj:Jonathan Ross (Himself);vj70vg71:Adam Buxton (Himself);66ftg5eh:Micky Flanagan (Himself);tiewbgqw:Jimmy Carr (Himself - Host);6vpb1owi:Carol Vorderman (Herself),
20120923,2012-09-23,acajgupg:Claudia Winkleman (Herself);wjmqif41:Denise Van Outen (Herself);djszfogi:Jack Whitehall (Himself);x9y0q5f5:Dara O'Briain (Himself);hk2rczao:Alan Davies (Himself);sx5n2tkh:Phill Jupitus (Himself);tiewbgqw:Jimmy Carr (Himself - Host),
20120930,2012-09-30,tiewbgqw:Jimmy Carr (Himself - Host);ezum7f40:Noel Fielding (Himself);fwsawolj:Richard Ayoade (Himself);m2nw4eae:David Mitchell (Himself);oxyl45br:Sarah Millican (Herself);gc44eurf:Alan Carr (Himself);h6o9xvx5:Kevin Bridges (Himself),
20121230,2012-12-30,om2iuo4o:Gabby Logan (Herself);tiewbgqw:Jimmy Carr (Himself - Host);cgg5lqmj:Jonathan Ross (Himself);djszfogi:Jack Whitehall (Himself);zid1la51:James Corden (Himself);tq4rhgl6:Russell Howard (Himself);fwsawolj:Richard Ayoade (Himself),
20130922,2013-09-22,gc44eurf:Alan Carr (Himself);dlnek6ol:Sarah Greene (Herself);ql0qatbt:Jason Donovan (Himself);goz3ofbt:Jack Dee (Himself);sx5n2tkh:Phill Jupitus (Himself);m2nw4eae:David Mitchell (Himself);tiewbgqw:Jimmy Carr (Himself - Host),
20130929,2013-09-29,fwsawolj:Richard Ayoade (Himself);k4ynw4wa:Bob Mortimer (Himself);3xla1274:Lee Mack (Himself);yy0vihbr:Sue Perkins (Herself);b93y6vnu:Jo Brand (Herself);cgg5lqmj:Jonathan Ross (Himself);tiewbgqw:Jimmy Carr (Himself - Host),
20131226,2013-12-26,ezum7f40:Noel Fielding (Himself);fwsawolj:Richard Ayoade (Himself);x9y0q5f5:Dara O'Briain (Himself);cgg5lqmj:Jonathan Ross (Himself);djszfogi:Jack Whitehall (Himself);tiewbgqw:Jimmy Carr (Himself - Host);absmvkb2:Kristen Schaal (Herself),
20141226,2014-12-26,m2nw4eae:David Mitchell (Himself);fwsawolj:Richard Ayoade (Himself);h6o9xvx5:Kevin Bridges (Himself);oxyl45br:Sarah Millican (Herself);79obsaor:Melanie Brown (Herself);66ftg5eh:Micky Flanagan (Himself);tiewbgqw:Jimmy Carr (Himself - Host),
20150102,2015-01-02,tf7vbgni:Warwick Davis (Himself);djszfogi:Jack Whitehall (Himself);cgg5lqmj:Jonathan Ross (Himself);ezum7f40:Noel Fielding (Himself);lyhqj9gj:Russell Brand (Himself);tiewbgqw:Jimmy Carr (Himself - Host);acajgupg:Claudia Winkleman (Herself),
20151226,2015-12-26,tiewbgqw:Jimmy Carr (Himself - Host);acajgupg:Claudia Winkleman (Herself);b93y6vnu:Jo Brand (Herself);m2nw4eae:David Mitchell (Himself);9hgf4amz:Rob Brydon (Himself);fwsawolj:Richard Ayoade (Himself);hajxdyo5:Greg Davies (Himself),
20160107,2016-01-07,tiewbgqw:Jimmy Carr (Himself - Host);cgg5lqmj:Jonathan Ross (Himself);gqqleocp:Chelsea Peretti (Herself);djszfogi:Jack Whitehall (Himself);eyxy68yo:Mel Giedroyc (Herself);fwsawolj:Richard Ayoade (Himself);ezum7f40:Noel Fielding (Himself),
20160815,2016-08-15,tiewbgqw:Jimmy Carr (Himself - Host);acajgupg:Claudia Winkleman (Herself);m2nw4eae:David Mitchell (Himself);cgg5lqmj:Jonathan Ross (Himself);k4ynw4wa:Bob Mortimer (Himself);eyxy68yo:Mel Giedroyc (Herself);absmvkb2:Kristen Schaal (Herself),
20160822,2016-08-22,tiewbgqw:Jimmy Carr (Himself - Host);ezum7f40:Noel Fielding (Himself);fwsawolj:Richard Ayoade (Himself);4lzawlf5:Aisling Bea (Herself);vj7g8edl:Rob Beckett (Himself);vj70vg71:Adam Buxton (Himself);cgg5lqmj:Jonathan Ross (Himself),
20160828,2016-08-28,tiewbgqw:Jimmy Carr (Himself - Host);ezum7f40:Noel Fielding (Himself);t6mx3m6n:Eddie Izzard (Himself);gc44eurf:Alan Carr (Himself);gqqleocp:Chelsea Peretti (Herself);9k3xrhyo:Romesh Ranganathan (Himself);x9y0q5f5:Dara O'Briain (Himself),
20161226,2016-12-26,tiewbgqw:Jimmy Carr (Himself - Host);m2nw4eae:David Mitchell (Himself);oxyl45br:Sarah Millican (Herself);9k3xrhyo:Romesh Ranganathan (Himself);eyxy68yo:Mel Giedroyc (Herself);qv4meooo:Rob Delaney (Himself);fwsawolj:Richard Ayoade (Himself),
20171226,2017-12-26,tiewbgqw:Jimmy Carr (Himself - Host);m2nw4eae:David Mitchell (Himself);ezum7f40:Noel Fielding (Himself);fwsawolj:Richard Ayoade (Himself);c26v5h9k:Katherine Ryan (Herself);45nd42d5:Roisin Conaty (Herself);f6lzbfna:Big Narstie (Himself),https://www.comedy.co.uk/tv/big_fat_quiz_of_the_year/episodes/1/21/
20181226,2018-12-26,tiewbgqw:Jimmy Carr (Himself - Host);fwsawolj:Richard Ayoade (Himself);buk49f07:Mo Gilligan (Himself);fwsawolj:Richard Ayoade (Himself);ezum7f40:Noel Fielding (Himself);acajgupg:Claudia Winkleman (Herself);esv1jh7o:Michelle Wolf (Herself),https://www.comedy.co.uk/tv/big_fat_quiz_of_the_year/episodes/1/22/
20191226,2019-12-26,tiewbgqw:Jimmy Carr (Himself - Host);x9y0q5f5:Dara O'Briain (Himself);cyfatak6:Maya Jama (Herself);wudujbat:Asim Chaudhry (Himself);45nd42d5:Roisin Conaty (Herself);fwsawolj:Richard Ayoade (Himself);ezum7f40:Noel Fielding (Himself),https://www.comedy.co.uk/tv/big_fat_quiz_of_the_year/episodes/1/23/
20200102,2020-01-02,tiewbgqw:Jimmy Carr (Himself - Host);acajgupg:Claudia Winkleman (Herself);ewwqjcle:Nish Kumar (Himself);rwxhc32a:Joe Lycett (Himself);gc44eurf:Alan Carr (Himself);3l1qtw2v:Stacey Solomon (Herself);cgg5lqmj:Jonathan Ross (Himself),https://www.comedy.co.uk/tv/big_fat_quiz_of_the_year/episodes/1/24/
20201226,2020-12-26,tiewbgqw:Jimmy Carr (Himself - Host);mkuo9ika:James Acaster (Himself);3l1qtw2v:Stacey Solomon (Herself);m2nw4eae:David Mitchell (Himself);cyfatak6:Maya Jama (Herself);fwsawolj:Richard Ayoade (Himself);rwxhc32a:Joe Lycett (Himself),https://www.comedy.co.uk/tv/big_fat_quiz_of_the_year/episodes/1/25/
20211226,2021-12-26,tiewbgqw:Jimmy Carr (Himself - Host);oxyl45br:Sarah Millican (Herself);mkuo9ika:James Acaster (Himself);cgg5lqmj:Jonathan Ross (Himself);kjzneopj:Guz Khan (Himself);lyr97zzu:Sara Pascoe (Herself);0m2aa811:Judi Love (Herself),https://www.comedy.co.uk/tv/big_fat_quiz_of_the_year/episodes/1/26/
20221226,2022-12-26,tiewbgqw:Jimmy Carr (Himself - Host);6lk6agdm:Stephen Merchant (Himself);c26v5h9k:Katherine Ryan (Herself);fwsawolj:Richard Ayoade (Himself);jma7jazd:Maisie Adam (Herself);cgg5lqmj:Jonathan Ross (Himself);0s8zb4lf:Rose Matafeo (Herself),https://www.comedy.co.uk/tv/big_fat_quiz_of_the_year/episodes/1/27/
20231226,2023-12-26,tiewbgqw:Jimmy Carr (Himself - Host);fwsawolj:Richard Ayoade (Himself);c26v5h9k:Katherine Ryan (Herself);eyxy68yo:Mel Giedroyc (Herself);buk49f07:Mo Gilligan (Himself);5l0pn3tm:Rosie Jones (Herself);h6o9xvx5:Kevin Bridges (Himself),https://www.comedy.co.uk/tv/big_fat_quiz_of_the_year/episodes/1/28/
