Episode,Date,Guests (Himself/Herself - Role),References
1x01,2006-01-27,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself),https://www.imdb.com/title/tt11362478/;https://www.bbc.co.uk/pressoffice/pressreleases/stories/2006/01_january/19/comedy_blame.shtml
1x02,2006-02-08,,
1x03,2005-10-15,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself),https://www.imdb.com/title/tt11362488/
1x04,2005-10-22,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself),https://www.imdb.com/title/tt11362492/
1x05,2005-10-29,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself),https://www.imdb.com/title/tt11362494/
1x06,2005-11-05,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself),https://www.imdb.com/title/tt11362498/
2x01,2006-09-19,p9tfi1px:Tim McGarry (Himself - Host);89pworht:Jake O'Kane (Himself);zqqyqu60:Colin Murphy (Himself);6egq5ot8:Stephen K. Amos (Himself);9e3q4p9k:Mark Steel (Himself),http://www.imdb.com/title/tt1295979/
2x02,2006-09-26,,
2x03,2006-10-03,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);j9nk18ol:John Bishop (Himself),http://www.imdb.com/title/tt1302322/
2x04,2006-10-10,,
2x05,2006-10-17,,
2x06,2006-10-24,,
3x01,2007-10-26,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);9e3q4p9k:Mark Steel (Himself),https://www.youtube.com/watch?v=-cuLqfjebsA
3x02,2007-11-02,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);sx5n2tkh:Phill Jupitus (Himself),https://www.youtube.com/watch?v=poK0dHjIKug
3x03,2007-11-09,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself),http://www.bbc.co.uk/programmes/b0087fws
3x04,2007-11-23,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);9e3q4p9k:Mark Steel (Himself);6egq5ot8:Stephen K. Amos (Himself),https://www.youtube.com/watch?v=-cuLqfjebsA
3x05,2007-11-30,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);h6o9xvx5:Kevin Bridges (Himself),https://www.youtube.com/watch?v=o9Wy8X1w9io
3x06,2007-12-10,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);rwra1x7w:Eleanor Tiernan (Herself),https://www.youtube.com/watch?v=-oFWkB7fxdw
4x01,2008-09-19,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself),http://www.bbc.co.uk/programmes/b00dl9kz
4x02,2008-09-26,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);sx5n2tkh:Phill Jupitus (Himself),http://www.bbc.co.uk/programmes/b00dnfx1
4x03,2008-10-03,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);j9nk18ol:John Bishop (Himself),http://www.bbc.co.uk/programmes/b00dslmv
4x04,2008-10-10,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);5eveb8p1:Jo Caulfield (Herself),http://www.bbc.co.uk/programmes/b00dwc7k
4x05,2008-10-17,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself),http://www.bbc.co.uk/programmes/b00dzxqc
4x06,2008-10-24,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);rwra1x7w:Eleanor Tiernan (Herself),http://www.bbc.co.uk/programmes/b00f3vvd
5x01,2011-05-21,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);x5raxm1c:Roy Walker (Himself),http://www.bbc.co.uk/programmes/b00shrv0
5x02,2011-05-28,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);35eciypt:Richard Herring (Himself),http://www.bbc.co.uk/programmes/b00sl6md
5x03,2011-06-04,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself),http://www.bbc.co.uk/programmes/b00snbx4
5x04,2011-06-11,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);ml47fsgm:Andi Osho (Herself),http://www.bbc.co.uk/programmes/b00sqvhc
5x05,2011-06-18,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself),http://www.bbc.co.uk/programmes/b00st59r
6x01,2011-05-06,,http://www.bbc.co.uk/programmes/b01104bd
6x02,2011-05-13,,http://www.bbc.co.uk/programmes/b0110mwl
6x03,2011-05-20,n80zlxdw:Lembit Öpik (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);9e3q4p9k:Mark Steel (Himself);lvwfm1hm:Olivia Lee (Herself),http://www.bbc.co.uk/programmes/b0117njq
6x04,2011-05-27,29qvflmy:John Linehan (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);qa1wkkhn:Owen O'Neill (Himself),http://www.bbc.co.uk/programmes/b011g60y
6x05,2011-06-03,,http://www.bbc.co.uk/programmes/b011m9cn
6x06,2011-06-10,,http://www.bbc.co.uk/programmes/b011rznq
7x01,2013-09-21,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);9e3q4p9k:Mark Steel (Himself),http://www.bbc.co.uk/programmes/b03b8l96
7x02,2013-09-28,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);ob8tp2nu:Simon Evans (Himself),https://www.youtube.com/watch?v=NNuIGxKJjx8
7x03,2013-10-04,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);it0wsrph:Micky Bartlett (Himself),http://www.bbc.co.uk/programmes/b03byvyt
7x04,2013-10-11,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);vkz8vrz9:Bernard O'Shea (Himself),http://www.bbc.co.uk/programmes/b03cc1kv
7x05,2013-10-18,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);u58h18yd:Paul Chowdhry (Himself),http://www.bbc.co.uk/programmes/b03d103q
7x06,2013-10-25,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);4pp853kr:Gearoid Farrelly (Himself),http://www.bbc.co.uk/programmes/b03f40ln
8x03,2014-11-07,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);1q20caz8:Ronni Ancona (Herself),http://www.bbc.co.uk/programmes/b04ndzvh
8x04,2014-11-21,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);02u2qjhq:Wendy Wason (Herself),http://www.bbc.co.uk/programmes/b04pck83
8x05,2014-11-28,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);b5tvu0hk:Andrew O'Neill (Himself),http://www.bbc.co.uk/programmes/b04q0pt8
8x06,2014-12-05,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);d9v5vbkt:Shappi Khorsandi (Herself),http://www.bbc.co.uk/programmes/b04t0mz6
8x08,2014-12-19,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);53oq6tj0:Terry Alderton (Himself),http://www.bbc.co.uk/programmes/b04vw56p
9x01,2015-11-20,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);88w8e0w2:Funmbi Omotayo (Himself),http://www.bbc.co.uk/programmes/b06pm5tm
9x02,2015-11-27,p9tfi1px:Tim McGarry (Himself - Host);zqqyqu60:Colin Murphy (Himself);89pworht:Jake O'Kane (Himself);ra1ov9e4:Neil Delamere (Himself);9crpgfua:Josh Howie (Himself),http://www.bbc.co.uk/programmes/b06q5xhc
