Episode,Date,Guests (Himself/Herself - Role),References
1x01,2015-06-05,yo0hg9al:Des Clarke (Himself - Host);luynjnx4:Andrew Maxwell (Himself);jk0ps32l:Keir McAllister (Himself);jnjpntd0:Chris Forbes (Himself);5ofu9czm:Katie Grant (Herself),
1x02,2015-06-12,yo0hg9al:Des Clarke (Himself - Host);4fardcxu:Mark Nelson (Himself);japacokt:Paul Sinha (Himself);6jy10xvy:Anna Burnside (Herself);9w6faun1:Jay Lafferty (Herself),
1x03,2015-06-19,yo0hg9al:Des Clarke (Himself - Host);wy7q4n0b:Sanjeev Kohli (Himself);x59zfuf0:Jarred Christmas (Himself);jk0ps32l:Keir McAllister (Himself);fne2eqbt:Kirsty Wark (Herself),
1x04,2015-06-26,yo0hg9al:Des Clarke (Himself - Host);4fardcxu:Mark Nelson (Himself);su1bpahf:Kai Humphries (Himself);awetc4zy:Julia Sutherland (Herself);0kw37iqk:Iain Macwhirter (Himself),
1x05,2015-07-03,yo0hg9al:Des Clarke (Himself - Host);sx5n2tkh:Phill Jupitus (Himself);pgfcxpmu:Libby Brooks (Herself);qwrviibp:Stuart Mitchell (Himself);jk0ps32l:Keir McAllister (Himself),
1x06,2015-07-10,yo0hg9al:Des Clarke (Himself - Host);uhxw9vxb:Tiffany Stevenson (Herself);4fardcxu:Mark Nelson (Himself);jnjpntd0:Chris Forbes (Himself);famubijp:Brian Taylor (Himself),
1x07,2015-07-17,yo0hg9al:Des Clarke (Himself - Host);p0eva3u3:Helen Zaltzman (Herself);9d9jak3m:Christopher Brookmyre (Himself);8i60dqdx:Vladimir McTavish (Himself);9w6faun1:Jay Lafferty (Herself),
1x08,2015-07-24,yo0hg9al:Des Clarke (Himself - Host);nlbhhrhx:Susan Calman (Herself);27g5s77i:Angela Barnes (Herself);jk0ps32l:Keir McAllister (Himself);i398cril:Louise Welsh (Herself),
1x09,2015-07-31,yo0hg9al:Des Clarke (Himself - Host);wy7q4n0b:Sanjeev Kohli (Himself);v5ud22gw:Janey Godley (Herself);jnjpntd0:Chris Forbes (Himself);5ofu9czm:Katie Grant (Herself),
1x10,2015-08-07,yo0hg9al:Des Clarke (Himself - Host);awetc4zy:Julia Sutherland (Herself);qwrviibp:Stuart Mitchell (Himself);kruyx1oi:Kate Smurthwaite (Herself);42goq7p1:Fiona Ross (Herself),
1x11,2015-08-15,yo0hg9al:Des Clarke (Himself - Host);luynjnx4:Andrew Maxwell (Himself);jk0ps32l:Keir McAllister (Himself);ea7kakgp:Alun Cochrane (Himself);42goq7p1:Fiona Ross (Herself),
2x01,2015-10-16,yo0hg9al:Des Clarke (Himself - Host);iv4cr5kf:Kevin Day (Himself);qp0qe0du:Martel Maxwell (Herself);jk0ps32l:Keir McAllister (Himself);qwrviibp:Stuart Mitchell (Himself),
2x02,2015-10-23,yo0hg9al:Des Clarke (Himself - Host);luynjnx4:Andrew Maxwell (Himself);4fardcxu:Mark Nelson (Himself);0kvfpevl:Fern Brady (Herself);famubijp:Brian Taylor (Himself),
2x03,2015-10-30,yo0hg9al:Des Clarke (Himself - Host);wwg6s0zu:Hugo Rifkind (Himself);27g5s77i:Angela Barnes (Herself);jnjpntd0:Chris Forbes (Himself);9w6faun1:Jay Lafferty (Herself),
2x04,2015-11-06,nlbhhrhx:Susan Calman (Herself - Host);jk0ps32l:Keir McAllister (Himself);luynjnx4:Andrew Maxwell (Himself);yd2npdyx:Gareth Waugh (Himself);i398cril:Louise Welsh (Herself);qwrviibp:Stuart Mitchell (Himself),
2x05,2015-11-13,yo0hg9al:Des Clarke (Himself - Host);qp0qe0du:Martel Maxwell (Herself);jy005qm0:Raymond Mearns (Himself);qwrviibp:Stuart Mitchell (Himself);ea7kakgp:Alun Cochrane (Himself),
2x06,2015-11-20,yo0hg9al:Des Clarke (Himself - Host);37tufajs:Chitra Ramaswamy (Herself);sx5n2tkh:Phill Jupitus (Himself);nlbhhrhx:Susan Calman (Herself);m9avpti1:Alistair Barrie (Himself),
2x07,2015-11-27,yo0hg9al:Des Clarke (Himself - Host);8msvjm30:Juliet Meyers (Herself);4fardcxu:Mark Nelson (Himself);9w6faun1:Jay Lafferty (Herself);icpa0lge:Kevin McKenna (Himself),
2x08,2015-12-04,nlbhhrhx:Susan Calman (Herself - Host);27g5s77i:Angela Barnes (Herself);nzhktfk8:Eleanor Morton (Herself);jk0ps32l:Keir McAllister (Himself);pgfcxpmu:Libby Brooks (Herself),
2x09,2015-12-11,yo0hg9al:Des Clarke (Himself - Host);luynjnx4:Andrew Maxwell (Himself);4fardcxu:Mark Nelson (Himself);qwrviibp:Stuart Mitchell (Himself);xfir9m27:Val McDermid (Herself),
2x10,2015-12-18,yo0hg9al:Des Clarke (Himself - Host);fne2eqbt:Kirsty Wark (Herself);sx5n2tkh:Phill Jupitus (Himself);bbjlysaj:Fred MacAulay (Himself);jk0ps32l:Keir McAllister (Himself),
