Episode,Date,Guests (Himself/Herself - Role),References
1x01,2009-09-06,ry40inln:Christian O'Connell (Himself - Host);z2hsca0r:Bob Mills (Himself);f0lmu0a6:David Tennant (Himself);zv4wuwgm:Kirsten O'Brien (Herself);,http://www.bbc.co.uk/programmes/b00mjphb
1x02,2009-09-13,ry40inln:Christian O'Connell (Himself - Host);z2hsca0r:Bob Mills (Himself);ikv6fsuk:Katy Brand (Herself);lqu3n4lu:Ed Byrne (Himself);,http://www.bbc.co.uk/programmes/b00mppz2
1x03,2009-09-27,ry40inln:Christian O'Connell (Himself - Host);z2hsca0r:Bob Mills (Himself);ujymqnkn:Mark Dolan (Himself);jtkbv70w:Zoe Lyons (Herself);,http://www.bbc.co.uk/programmes/b00mygrd
1x04,2009-10-04,ry40inln:Christian O'Connell (Himself - Host);z2hsca0r:Bob Mills (Himself);wuzxhhqe:Vanessa Feltz (Herself);1rtqz52s:Russell Kane (Himself);,http://www.bbc.co.uk/programmes/b00n1q65
1x05,2009-10-11,ry40inln:Christian O'Connell (Himself - Host);7pd88ut6:Rick Wakeman (Himself);lvwfm1hm:Olivia Lee (Herself);c0evx1jf:Dominic Holland (Himself);,http://www.bbc.co.uk/programmes/b00n7d95
1x06,2009-10-18,ry40inln:Christian O'Connell (Himself - Host);c0evx1jf:Dominic Holland (Himself);jpegtqkd:Phil Daniels (Himself);5eveb8p1:Jo Caulfield (Herself);,http://www.bbc.co.uk/programmes/b00nbqpl
1x07,2009-10-25,ry40inln:Christian O'Connell (Himself - Host);z2hsca0r:Bob Mills (Himself);ujymqnkn:Mark Dolan (Himself);zv4wuwgm:Kirsten O'Brien (Herself);,http://www.bbc.co.uk/programmes/b00nhn8b
1x08,2009-11-01,zv4wuwgm:Kirsten O'Brien (Herself - Host);pgoexum5:Lucy Porter (Herself);wiqek7yz:Grace Dent (Herself);wuzxhhqe:Vanessa Feltz (Herself);,http://www.bbc.co.uk/programmes/b00nmtxt
1x09,2009-11-08,ry40inln:Christian O'Connell (Himself - Host);z2hsca0r:Bob Mills (Himself);ujymqnkn:Mark Dolan (Himself);6462fbck:Sharon Horgan (Herself);,http://www.bbc.co.uk/programmes/b00ns12b
1x10,2009-11-15,ry40inln:Christian O'Connell (Himself - Host);z2hsca0r:Bob Mills (Himself);hk2rczao:Alan Davies (Himself);d78fezow:Angellica Bell (Herself);,http://www.bbc.co.uk/programmes/b00nwrsb
1x11,2009-11-22,ry40inln:Christian O'Connell (Himself - Host);z2hsca0r:Bob Mills (Himself);8kk9kqxv:Christopher Biggins (Himself);ak7ipqjj:Dave Spikey (Himself);,http://www.bbc.co.uk/programmes/b00nyfhg
1x12,2009-11-29,ry40inln:Christian O'Connell (Himself - Host);z2hsca0r:Bob Mills (Himself);6egq5ot8:Stephen K. Amos (Himself);z4b6o3bs:Rebecca Front (Herself);,http://www.bbc.co.uk/programmes/b00p32fz
1x13,2009-12-06,ry40inln:Christian O'Connell (Himself - Host);z2hsca0r:Bob Mills (Himself);0724mpe9:Stewart Lee (Himself);d9v5vbkt:Shappi Khorsandi (Herself);,http://www.bbc.co.uk/programmes/b00p6shx
1x14,2009-12-13,ry40inln:Christian O'Connell (Himself - Host);z2hsca0r:Bob Mills (Himself);zv4wuwgm:Kirsten O'Brien (Herself);c0evx1jf:Dominic Holland (Himself);,https://twitter.com/theOCsolution/status/6610389807
1x15,2009-12-20,ry40inln:Christian O'Connell (Himself - Host);z2hsca0r:Bob Mills (Himself);lqu3n4lu:Ed Byrne (Himself);djszfogi:Jack Whitehall (Himself);,http://www.bbc.co.uk/programmes/b00pdvvb
1x16,2009-12-28,ry40inln:Christian O'Connell (Himself - Host);z2hsca0r:Bob Mills (Himself);3vblg9jo:Jason Manford (Himself);wiqek7yz:Grace Dent (Herself);l9dxrh30:Sanjeev Bhaskar (Himself);,http://www.bbc.co.uk/programmes/b00pglsh
