Episode,Date,Guests (Himself/Herself - Role),References
1x01,2020-09-02,xyq08s93:Liza Tarbuck (Herself - Host);yy0vihbr:Sue Perkins (Herself - Team Captain);kjzneopj:Guz Khan (Himself - Team Captain);80h1f6hx:Perry Fenwick (Himself);sas88cch:Clare Balding (Herself);7mbp1acw:Martine McCutcheon (Herself);gbhroyn3:Big Zuu (Himself);suxshpu3:Sara Barron (Herself);cjjfcdb7:Karim Zeroual (Himself),https://www.comedy.co.uk/tv/comedy-game-night/episodes/1/1/
1x02,2020-09-09,xyq08s93:Liza Tarbuck (Herself - Host);yy0vihbr:Sue Perkins (Herself - Team Captain);kjzneopj:Guz Khan (Himself - Team Captain);jzw2u6u6:Ellie Taylor (Herself);fpoaa6n0:Luisa Omielan (Herself);4o00yn0w:Sophie Duker (Herself);89yyavw2:Richard Blackwood (Himself);rcnl3712:Dev Griffin (Himself);6fd2akfw:John Thomson (Himself),https://www.comedy.co.uk/tv/comedy-game-night/episodes/1/2/
1x03,2020-09-16,xyq08s93:Liza Tarbuck (Herself - Host);yy0vihbr:Sue Perkins (Herself - Team Captain);kjzneopj:Guz Khan (Himself - Team Captain);f9aqgxfg:Sally Lindsay (Herself);8jf8izcs:Jay McGuiness (Himself);ljv92t17:Joe Swash (Himself);0m2aa811:Judi Love (Herself);ac30skvr:Matt Richardson (Himself);bik5fnyr:Isy Suttie (Herself),https://www.comedy.co.uk/tv/comedy-game-night/episodes/1/3/
1x04,2020-09-23,xyq08s93:Liza Tarbuck (Herself - Host);yy0vihbr:Sue Perkins (Herself - Team Captain);kjzneopj:Guz Khan (Himself - Team Captain);ekugv74y:Jacqueline Jossa (Herself);w0tesu4r:Melvin Odoom (Himself);u2ywgfmh:Rickie Haywood Williams (Himself);bgfey1xd:Josie Long (Herself);h663jn38:Rufus Hound (Himself);5wnwhvl9:Andrea McLean (Herself),https://www.comedy.co.uk/tv/comedy-game-night/episodes/1/4/
1x05,2020-09-30,xyq08s93:Liza Tarbuck (Herself - Host);yy0vihbr:Sue Perkins (Herself - Team Captain);kjzneopj:Guz Khan (Himself - Team Captain);iz7wd3hb:Scarlett Moffatt (Herself);yabs4lim:Ollie Locke (Himself);wm67xya4:Sally Phillips (Herself);sy2sdgn0:Dane Baptiste (Himself);irmr1td1:Sindhu Vee (Herself);0idv0xhg:Kara Tointon (Herself),https://www.comedy.co.uk/tv/comedy-game-night/episodes/1/5/
1x06,2020-10-07,xyq08s93:Liza Tarbuck (Herself - Host);yy0vihbr:Sue Perkins (Herself - Team Captain);kjzneopj:Guz Khan (Himself - Team Captain);9t9u6aoh:Ivo Graham (Himself);59gmixwl:Desiree Burch (Herself);zq3h8ifh:Darren Harriott (Himself);6993z4xk:Nina Wadia (Herself);wd5hhpv3:Gethin Jones (Himself);yluwzeu8:Gaby Roslin (Herself),https://www.comedy.co.uk/tv/comedy-game-night/episodes/1/6/
1x07,2020-10-14,xyq08s93:Liza Tarbuck (Herself - Host);yy0vihbr:Sue Perkins (Herself - Team Captain);kjzneopj:Guz Khan (Himself - Team Captain);4omd31xd:Kerry Godliman (Herself);luynjnx4:Andrew Maxwell (Himself);bakxtyxj:Andi Oliver (Herself);na8hpky3:Kriss Akabusi (Himself);by7euga5:Hannah Waddingham (Herself);n00psx4b:Dan Walker (Himself),https://www.comedy.co.uk/tv/comedy-game-night/episodes/1/7/
1x08,2020-10-21,xyq08s93:Liza Tarbuck (Herself - Host);yy0vihbr:Sue Perkins (Herself - Team Captain);kjzneopj:Guz Khan (Himself - Team Captain);ne5vygvn:Courtney Act (Herself);vr38x2lz:Jenny Ryan (Herself);z7kyp79h:Rhys James (Himself);z5h8zk70:Kiri Pritchard-Mclean (Herself);l9ij492d:Jodie Kidd (Herself);wzf6mpvg:Tolu Ogunmefun (Himself),https://www.comedy.co.uk/tv/comedy-game-night/episodes/1/8/
1x09,2020-10-28,xyq08s93:Liza Tarbuck (Herself - Host);yy0vihbr:Sue Perkins (Herself - Team Captain);kjzneopj:Guz Khan (Himself - Team Captain);5yp8hrw6:Amanda Abbington (Herself);7nzmrdvx:Ore Oduba (Himself);3s8boypu:Anita Rani (Herself);4eq3cvso:Suzi Ruffell (Herself);gsl7kii2:Matt Edmondson (Himself);ti73iunt:Lloyd Griffith (Himself),https://www.comedy.co.uk/tv/comedy-game-night/episodes/1/9/
1x10,2020-11-04,xyq08s93:Liza Tarbuck (Herself - Host);yy0vihbr:Sue Perkins (Herself - Team Captain);kjzneopj:Guz Khan (Himself - Team Captain);blb0n7o8:Tamzin Outhwaite (Herself);f3fw5ann:Kiell Smith-Bynoe (Himself);wjmqif41:Denise Van Outen (Herself);pkjd0gi6:Alexandra Burke (Herself);xc4tzbog:Giovanni Pernice (Himself);vc0uetcr:Tom Read Wilson (Himself),https://www.comedy.co.uk/tv/comedy-game-night/episodes/1/10/
