Episode,Date,Guests (Himself/Herself - Role),References
0x00,2011-04,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);nna0drvg:Dan Maier (Himself);33sxoy5d:Jimbob (Himself);,
1x01,2011-09-21,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);1hol02h9:Al Murray (Himself);d9v5vbkt:Shappi Khorsandi (Herself);,
1x02,2011-09-28,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);fjf9fx5b:Rich Fulcher (Himself);la71za8h:Emma Kennedy (Herself);,
1x03,2011-10-06,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);kyatlv0m:Thom Tuck (Himself);fisjz42g:Martin White (Himself);,
1x04,2011-10-17,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);k1zdzzda:Scott Capurro (Himself);m5jimv6z:David Reed (Himself);,
1x05,2011-12-21,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);zabcayq5:Jon Holmes (Himself);rpplxf6m:Bridget Christie (Herself);,
2x01,2012-05-27,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);03mha2zh:Tony Law (Himself);bw52xanh:Ruth Bratt (Herself);,
2x02,2012-06-10,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);fmg0vgaf:Andy Zaltzman (Himself);be0ei7j6:Marek Larwood (Himself);,
2x03,2012-06-24,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);xp8151ah:Dan Tetsell (Himself);2vmtxo13:Chris Neill (Himself);,
2x04,2012-07-09,34qt5d7m:Danielle Ward (Herself - Host);rh8pcjot:Michael Legge (Himself - Team Captain);krr31jnw:Margaret Cabourn-Smith (Herself - Team Captain);fychgvqk:Jenny Eclair (Herself);df8k5tz6:John Finnemore (Himself);,
