Episode,Date,Guests (Himself/Herself - Role),References
1x01,2014-02-07,3xla1274:Lee Mack (Himself - Host);varfhn88:Melanie Chisholm (Herself);x9y0q5f5:Dara O'Briain (Himself);t6m377l9:Ruth Jones (Herself);,
1x02,2014-02-14,3xla1274:Lee Mack (Himself - Host);at7xv83r:Olivia Colman (Herself);w4g8xnp5:Rhod Gilbert (Himself);hns5e85y:Paul Hollywood (Himself);,
1x03,2014-02-21,3xla1274:Lee Mack (Himself - Host);yy0vihbr:Sue Perkins (Herself);k4ynw4wa:Bob Mortimer (Himself);n6jxkaze:Aston Merrygold (Himself);,
1x04,2014-02-28,3xla1274:Lee Mack (Himself - Host);roo1tkll:Miranda Hart (Herself);n37vsozt:Stephen Graham (Himself);fwsawolj:Richard Ayoade (Himself);,
1x05,2014-03-07,3xla1274:Lee Mack (Himself - Host);l9dxrh30:Sanjeev Bhaskar (Himself);l3qwywbu:Kathy Burke (Herself);vzxi0b57:John Hannah (Himself);,
1x06,2014-03-14,3xla1274:Lee Mack (Himself - Host);u2juhzhv:Ricky Tomlinson (Himself);vvpc2276:Sara Cox (Herself);k6egqudh:Jon Richardson (Himself);,
1x07,2014-03-21,3xla1274:Lee Mack (Himself - Host);qeo0rxo6:Terry Wogan (Himself);tiewbgqw:Jimmy Carr (Himself);6vpb1owi:Carol Vorderman (Herself);,
2x01,2014-09-01,3xla1274:Lee Mack (Himself - Host);1fchiwmk:Stephen Mangan (Himself);h6a1vk7h:Davina McCall (Herself);rasf33l1:Paddy McGuinness (Himself);,
2x02,2014-09-08,3xla1274:Lee Mack (Himself - Host);x9y0q5f5:Dara O'Briain (Himself);vssxz2dy:Holly Willoughby (Herself);i5uubaby:Hugh Dennis (Himself);,
2x03,2014-09-15,3xla1274:Lee Mack (Himself - Host);9b46vz01:Johnny Vegas (Himself);eyxy68yo:Mel Giedroyc (Herself);wyv2lc7u:Andrew 'Freddie' Flintoff (Himself);,
2x04,2014-09-22,3xla1274:Lee Mack (Himself - Host);yeh4puca:Richard Madeley (Himself);wjmqif41:Denise Van Outen (Herself);3vblg9jo:Jason Manford (Himself);,
2x05,2014-09-29,3xla1274:Lee Mack (Himself - Host);tiewbgqw:Jimmy Carr (Himself);ewm3lv1m:Chris Packham (Himself);htprs4ot:Kimberley Walsh (Herself);,
2x06,2014-10-06,3xla1274:Lee Mack (Himself - Host);pgr1jqw5:Chris Tarrant (Himself);whm3kdox:Robert Webb (Himself);i0ufm9pu:Kimberly Wyatt (Herself);,
3x01,2015-08-31,3xla1274:Lee Mack (Himself - Host);5st7imgh:Jerry Springer (Himself);hte51vd7:Emma Bunton (Herself);h3jvd5mj:Jason Byrne (Himself);,
3x02,2015-09-07,3xla1274:Lee Mack (Himself - Host);cgg5lqmj:Jonathan Ross (Himself);x9y0q5f5:Dara O'Briain (Himself);15jmzsmk:Alex Jones (Herself);,
3x03,2015-09-14,3xla1274:Lee Mack (Himself - Host);tiewbgqw:Jimmy Carr (Himself);12ao3g9k:Ricky Wilson (Himself);xnyl5tpf:Jameela Jamil (Herself);,
3x04,2015-09-21,3xla1274:Lee Mack (Himself - Host);oxyl45br:Sarah Millican (Herself);1rtqz52s:Russell Kane (Himself);1erc5ch6:Sir Ranulph Fiennes (Himself);,
3x05,2015-09-28,3xla1274:Lee Mack (Himself - Host);piei1ueq:Heston Blumenthal (Himself);4lzawlf5:Aisling Bea (Herself);k4ynw4wa:Bob Mortimer (Himself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_3_(2015)
3x06,2015-10-05,3xla1274:Lee Mack (Himself - Host);w1f77h6u:John Humphrys (Himself);cd2901cw:Katherine Parkinson (Herself);lqu3n4lu:Ed Byrne (Himself);,
3x07,2015-10-12,3xla1274:Lee Mack (Himself - Host);1fchiwmk:Stephen Mangan (Himself);yy0vihbr:Sue Perkins (Herself);9k3xrhyo:Romesh Ranganathan (Himself);,
4x01,2016-04-03,3xla1274:Lee Mack (Himself - Host);ucuj533y:Jessica Hynes (Herself);h6a1vk7h:Davina McCall (Herself);x9y0q5f5:Dara O'Briain (Himself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_4_(2016)
4x02,2016-04-10,3xla1274:Lee Mack (Himself - Host);1h4t1xrp:Gregg Wallace (Himself);vvpc2276:Sara Cox (Herself);w4g8xnp5:Rhod Gilbert (Himself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_4_(2016)
4x03,2016-04-17,3xla1274:Lee Mack (Himself - Host);tf7vbgni:Warwick Davis (Himself);e6wb7i8j:Lorraine Kelly (Herself);ysvv93ea:Josh Widdicombe (Himself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_4_(2016)
4x04,2016-04-24,3xla1274:Lee Mack (Himself - Host);pcd39t2r:Amir Khan (Himself);c26v5h9k:Katherine Ryan (Herself);i5uubaby:Hugh Dennis (Himself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_4_(2016)
4x05,2016-05-01,3xla1274:Lee Mack (Himself - Host);xj0ly80i:Len Goodman (Himself);om2iuo4o:Gabby Logan (Herself);tiewbgqw:Jimmy Carr (Himself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_4_(2016)
4x06,2016-05-08,3xla1274:Lee Mack (Himself - Host);8osc35ur:Alex Brooker (Himself);acajgupg:Claudia Winkleman (Herself);k4ynw4wa:Bob Mortimer (Himself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_4_(2016)
4x07,2016-05-15,3xla1274:Lee Mack (Himself - Host);gth8qwu7:Kate Humble (Herself);5a6ylpdb:Richard Osman (Himself);rfi72w6w:Catherine Tate (Herself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_4_(2016)
5x01,2016-08-30,3xla1274:Lee Mack (Himself - Host);ts01ueoq:Ross Kemp (Himself);vvpc2276:Sara Cox (Herself);k4ynw4wa:Bob Mortimer (Himself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_5_(2016)
5x02,2016-09-06,3xla1274:Lee Mack (Himself - Host);yeh4puca:Richard Madeley (Himself);t6m377l9:Ruth Jones (Herself);w4g8xnp5:Rhod Gilbert (Himself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_5_(2016)
5x03,2016-09-13,3xla1274:Lee Mack (Himself - Host);rwxhc32a:Joe Lycett (Himself);acajgupg:Claudia Winkleman (Herself);9b46vz01:Johnny Vegas (Himself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_5_(2016)
5x04,2016-09-20,3xla1274:Lee Mack (Himself - Host);4lv1v3uk:Danny Dyer (Himself);smrcieap:Meera Syal (Herself);h3jvd5mj:Jason Byrne (Himself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_5_(2016)
5x05,2016-09-27,3xla1274:Lee Mack (Himself - Host);8b83ajav:Danny Baker (Himself);45nd42d5:Roisin Conaty (Herself);goz3ofbt:Jack Dee (Himself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_5_(2016)
5x06,2016-10-04,3xla1274:Lee Mack (Himself - Host);le5i3xty:Philip Glenister (Himself);b93y6vnu:Jo Brand (Herself);ysvv93ea:Josh Widdicombe (Himself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_5_(2016)
5x07,2016-10-11,3xla1274:Lee Mack (Himself - Host);hns5e85y:Paul Hollywood (Himself);om2iuo4o:Gabby Logan (Herself);ay8fjft4:Hal Cruttenden (Himself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_5_(2016)
6x01,2017-08-31,3xla1274:Lee Mack (Himself - Host);92eoqkw9:Martin Clunes (Himself);4lzawlf5:Aisling Bea (Herself);tiewbgqw:Jimmy Carr (Himself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_6_(2017)
6x02,2017-09-07,3xla1274:Lee Mack (Himself - Host);9hgf4amz:Rob Brydon (Himself);hte51vd7:Emma Bunton (Herself);6vpb1owi:Carol Vorderman (Herself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_6_(2017)
6x03,2017-09-14,3xla1274:Lee Mack (Himself - Host);ezum7f40:Noel Fielding (Himself);45nd42d5:Roisin Conaty (Herself);3vblg9jo:Jason Manford (Himself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_6_(2017)
6x04,2017-09-21,3xla1274:Lee Mack (Himself - Host);x683ycrx:Harry Enfield (Himself);15jmzsmk:Alex Jones (Herself);h3jvd5mj:Jason Byrne (Himself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_6_(2017)
6x05,2017-09-28,3xla1274:Lee Mack (Himself - Host);1czc9u31:Sir Trevor McDonald (Himself);c26v5h9k:Katherine Ryan (Herself);m2nw4eae:David Mitchell (Himself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_6_(2017)
6x06,2017-10-05,3xla1274:Lee Mack (Himself - Host);8b83ajav:Danny Baker (Himself);b42haw07:Alesha Dixon (Herself);k6egqudh:Jon Richardson (Himself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_6_(2017)
6x07,2017-10-12,3xla1274:Lee Mack (Himself - Host);x5unmeqr:Victoria Coren Mitchell (Herself);vj7g8edl:Rob Beckett (Himself);varfhn88:Mel C (Herself);,https://en.wikipedia.org/wiki/Duck_Quacks_Don't_Echo#Series_6_(2017)
