Episode,Date,Guests (Himself/Herself - Role),References
1x01,2019-06-27,oxyl45br:Sarah Millican (Herself - Host);l3qwywbu:Kathy Burke (Herself);j90w4yvu:Liz Carr (Herself);59gmixwl:Desiree Burch (Herself);75gf53uy:Tom Allen (Himself),https://www.bbc.co.uk/programmes/m000671w
1x02,2019-07-04,oxyl45br:Sarah Millican (Herself - Host);fychgvqk:Jenny Eclair (Herself);mbdoxt50:Ayesha Hazarika (Herself);j28vvqua:Hayley Ellis (Herself);ea7kakgp:Alun Cochrane (Himself),https://www.bbc.co.uk/programmes/m0006dv6
1x03,2019-07-11,oxyl45br:Sarah Millican (Herself - Host);nch01m5e:Sandi Toksvig (Herself);27g5s77i:Angela Barnes (Herself);fuj12gkt:Harriet Dyer (Herself);qa5s3f3t:Phil Wang (Himself),https://www.bbc.co.uk/programmes/m0006lbh
1x04,2019-07-18,oxyl45br:Sarah Millican (Herself - Host);qw17f42h:Lucy Beaumont (Herself);5l9cvlll:Annabel Giles (Herself);y7g8qms1:Evelyn Mok (Herself);btajag9m:Toby Hadoke (Himself),https://www.bbc.co.uk/programmes/m0006sfd
1x05,2019-07-25,oxyl45br:Sarah Millican (Herself - Host);lyr97zzu:Sara Pascoe (Herself);nkqn3qjw:Jen Brister (Herself);juig84i9:Sally-Anne Hayward (Herself);4pp853kr:Gearoid Farrelly (Himself),https://www.bbc.co.uk/programmes/m00070k9
1x06,2019-08-01,oxyl45br:Sarah Millican (Herself - Host);jtkbv70w:Zoe Lyons (Herself);4omd31xd:Kerry Godliman (Herself);1ktr4uc3:Lou Conran (Herself);otgx4neo:Jason Cook (Himself),https://www.bbc.co.uk/programmes/m0007679
1x07,2019-08-08,oxyl45br:Sarah Millican (Herself - Host);5eveb8p1:Jo Caulfield (Herself);la71za8h:Emma Kennedy (Herself);evru4wjz:Jessica Fostekew (Herself);kb3a51qs:Mark Watson (Himself),https://www.bbc.co.uk/programmes/m0007cwj
2x01,2021-01-07,oxyl45br:Sarah Millican (Herself - Host);nlbhhrhx:Susan Calman (Herself);5glerez5:Shazia Mirza (Herself);zv4wuwgm:Kirsten O'Brien (Herself);mv32n0ke:Nick Mohammed (Himself),https://www.bbc.co.uk/programmes/m000qy0r
2x02,2021-01-14,oxyl45br:Sarah Millican (Herself - Host);b93y6vnu:Jo Brand (Herself);bw52xanh:Ruth Bratt (Herself);vvpc2276:Sara Cox (Herself);i6jkoxqv:Daliso Chaponda (Himself),https://www.bbc.co.uk/programmes/m000r4wn
2x03,2021-01-21,oxyl45br:Sarah Millican (Herself - Host);iz7wd3hb:Scarlett Moffatt (Herself);16m70b27:Lindsey Santoro (Herself);irmr1td1:Sindhu Vee (Herself);gidlllww:Josh Pugh (Himself),https://www.bbc.co.uk/programmes/m000rc5f
2x04,2021-01-28,oxyl45br:Sarah Millican (Herself - Host);kak7qyoz:Kate Fox (Herself);d9v5vbkt:Shaparak Khorsandi (Herself);rwra1x7w:Eleanor Tiernan (Herself);rq0pxj4z:Scott Bennett (Himself),https://www.bbc.co.uk/programmes/m000rlmk
2x05,2021-02-04,oxyl45br:Sarah Millican (Herself - Host);y2e6i9ih:Kemah Bob (Herself);bgfey1xd:Josie Long (Herself);5ufaund6:Joanne McNally (Herself);5fxxdcd3:Stephen Bailey (Himself),https://www.bbc.co.uk/programmes/m000rvpr
2x06,2021-02-11,oxyl45br:Sarah Millican (Herself - Host);h726k2vb:Ninia Benjamin (Herself);tuibw8v6:Bethany Black (Herself);z013vflf:Cal Wilson (Herself);vy1onu55:Gary Delaney (Himself),https://www.bbc.co.uk/programmes/m000s2rm
