Episode,Date,Guests (Himself/Herself - Role),References
1x01,2013-01-03,gsl7kii2:Matt Edmondson (Himself - Host);ljv92t17:Joe Swash (Himself - Team Captain);jzw2u6u6:Ellie Taylor (Herself - Team Captain);afnocqlh:Gemma Collins (Herself);36ga93wq:Fazer (Himself);l1cchu89:Chris Martin (Himself);54clp8vi:Jennifer Metcalfe (Herself);,https://en.wikipedia.org/wiki/List_of_Fake_Reaction_episodes
1x02,2013-01-10,gsl7kii2:Matt Edmondson (Himself - Host);ljv92t17:Joe Swash (Himself - Team Captain);jzw2u6u6:Ellie Taylor (Herself - Team Captain);h63widgu:Greg Rutherford (Himself);7s5xec3s:Brian Belo (Himself);w1jratg7:Jeff Leach (Himself);i0ufm9pu:Kimberly Wyatt (Herself);,https://en.wikipedia.org/wiki/List_of_Fake_Reaction_episodes
1x03,2013-01-17,gsl7kii2:Matt Edmondson (Himself - Host);ljv92t17:Joe Swash (Himself - Team Captain);jzw2u6u6:Ellie Taylor (Herself - Team Captain);s1i29exq:Iain Stirling (Himself);j8a8nkti:Harry Judd (Himself);ddjel2cn:Sinitta Renet Malone (Herself);fl30no6f:Laura Whitmore (Herself);,https://en.wikipedia.org/wiki/List_of_Fake_Reaction_episodes
1x04,2013-01-24,gsl7kii2:Matt Edmondson (Himself - Host);ljv92t17:Joe Swash (Himself - Team Captain);jzw2u6u6:Ellie Taylor (Herself - Team Captain);o1jjio92:Kian Egan (Himself);1z14i3ky:Brian Dowling (Himself);u8ht0tm2:Amy Childs (Herself);uhxw9vxb:Tiffany Stevenson (Herself);,https://en.wikipedia.org/wiki/List_of_Fake_Reaction_episodes
1x05,2013-01-31,gsl7kii2:Matt Edmondson (Himself - Host);ljv92t17:Joe Swash (Himself - Team Captain);jzw2u6u6:Ellie Taylor (Herself - Team Captain);vj7g8edl:Rob Beckett (Himself);kuqv5wqd:Brooke Vincent (Herself);2brkdss9:Ashley Roberts (Herself);uucyzw5o:Michelle de Swarte (Herself),https://en.wikipedia.org/wiki/List_of_Fake_Reaction_episodes
1x06,2013-02-07,gsl7kii2:Matt Edmondson (Himself - Host);ljv92t17:Joe Swash (Himself - Team Captain);jzw2u6u6:Ellie Taylor (Herself - Team Captain);9ogitb6c:Lethal Bizzle (Himself);q1vghuhp:Matthew Crosby (Himself);j3m7owai:Chelsee Healey (Herself);wu0j9nwl:Tom Deacon (Himself),https://en.wikipedia.org/wiki/List_of_Fake_Reaction_episodes
1x07,2013-02-14,gsl7kii2:Matt Edmondson (Himself - Host);ljv92t17:Joe Swash (Himself - Team Captain);jzw2u6u6:Ellie Taylor (Herself - Team Captain);m1y9uq6w:Patrick Monahan (Himself);pdepw7dg:Jessie Cave (Herself);c26v5h9k:Katherine Ryan (Herself);v2bwrx8p:James Argent (Himself);,https://en.wikipedia.org/wiki/List_of_Fake_Reaction_episodes
1x08,2013-02-21,gsl7kii2:Matt Edmondson (Himself - Host);ljv92t17:Joe Swash (Himself - Team Captain);jzw2u6u6:Ellie Taylor (Herself - Team Captain);9bqrt7h3:Roxanne Pallett (Herself);yabs4lim:Ollie Locke (Himself);oi4rspa1:Nicola Adams (Herself);d90grs22:Tom Craine (Himself),https://en.wikipedia.org/wiki/List_of_Fake_Reaction_episodes
2x01,2014-01-02,gsl7kii2:Matt Edmondson (Himself - Host);ljv92t17:Joe Swash (Himself - Team Captain);jzw2u6u6:Ellie Taylor (Herself - Team Captain);4dew19sg:Helen Flanagan (Herself);remjgzbd:Brian McFadden (Himself);z1lygo0f:Marlon Davis (Himself);let99bnp:Vogue Williams (Herself),https://en.wikipedia.org/wiki/List_of_Fake_Reaction_episodes
2x02,2014-01-09,gsl7kii2:Matt Edmondson (Himself - Host);ljv92t17:Joe Swash (Himself - Team Captain);jzw2u6u6:Ellie Taylor (Herself - Team Captain);rm3ejy7r:Charlotte Crosby (Herself);4n9puxbc:Gemma Cairney (Herself);9t9u6aoh:Ivo Graham (Himself);qgrc9bij:Louie Spence (Himself);,https://en.wikipedia.org/wiki/List_of_Fake_Reaction_episodes
