Episode,Date,Guests (Himself/Herself - Role),References
1x01,2003-10-04,rhhx9oi8:Johnny Vaughan (Himself - Host);hrzutl6b:Will Buckley (Himself);mhn6jovu:Bradley Walsh (Himself);4leemiza:Greg Brady (Himself);qc7rskmx:Stan Collymore (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
1x02,2003-12-20,rhhx9oi8:Johnny Vaughan (Himself - Host);4leemiza:Greg Brady (Himself);cwpz71ji:Gordon Ramsay (Himself);k4ynw4wa:Bob Mortimer (Himself);qw6vdex8:Eleanor Oldroyd (Herself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
1x03,2003-12-27,rhhx9oi8:Johnny Vaughan (Himself - Host);duq6zvcp:Tommy Docherty (Himself);kfrf3udw:Dickie Davies (Himself);x0xbt1qo:Jimmy Hill (Himself);uhidv3ow:Keith Allen (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
1x04,2004-01-10,rhhx9oi8:Johnny Vaughan (Himself - Host);hrzutl6b:Will Buckley (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
1x05,2004-01-17,rhhx9oi8:Johnny Vaughan (Himself - Host);hrzutl6b:Will Buckley (Himself);4leemiza:Greg Brady (Himself);7pd88ut6:Rick Wakeman (Himself);p8cm1j79:Graham Taylor (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
1x06,2004-01-24,rhhx9oi8:Johnny Vaughan (Himself - Host);4leemiza:Greg Brady (Himself);9ysv04sr:Steve Bunce (Himself);qw6vdex8:Eleanor Oldroyd (Herself);3lnbsttu:Trevor Nelson (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
1x07,2004-01-31,rhhx9oi8:Johnny Vaughan (Himself - Host);9ysv04sr:Steve Bunce (Himself);pu8fd1a9:John Rawling (Himself);4leemiza:Greg Brady (Himself);5mbiq6m2:Ainsley Harriott (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
1x08,2004-02-07,rhhx9oi8:Johnny Vaughan (Himself - Host);9ysv04sr:Steve Bunce (Himself);pu8fd1a9:John Rawling (Himself);hrzutl6b:Will Buckley (Himself);kfrf3udw:Dickie Davies (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
1x09,2004-02-14,rhhx9oi8:Johnny Vaughan (Himself - Host);4leemiza:Greg Brady (Himself);hrzutl6b:Will Buckley (Himself);mhn6jovu:Bradley Walsh (Himself);80h1f6hx:Perry Fenwick (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
1x10,2004-02-21,rhhx9oi8:Johnny Vaughan (Himself - Host);4leemiza:Greg Brady (Himself);yipahedd:Sean Lock (Himself);9ysv04sr:Steve Bunce (Himself);pu8fd1a9:John Rawling (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
1x11,2004-02-28,rhhx9oi8:Johnny Vaughan (Himself - Host);4leemiza:Greg Brady (Himself);9ysv04sr:Steve Bunce (Himself);pu8fd1a9:John Rawling (Himself);9jdr83yi:Kevin Kennedy (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
1x12,2004-03-06,rhhx9oi8:Johnny Vaughan (Himself - Host);4leemiza:Greg Brady (Himself);hrzutl6b:Will Buckley (Himself);z1hlqu1w:Danny Kelly (Himself);c0evx1jf:Dominic Holland (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
1x13,2004-03-13,rhhx9oi8:Johnny Vaughan (Himself - Host);4leemiza:Greg Brady (Himself);pu8fd1a9:John Rawling (Himself);qw6vdex8:Eleanor Oldroyd (Herself);yipahedd:Sean Lock (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
1x14,2004-03-20,rhhx9oi8:Johnny Vaughan (Himself - Host);4leemiza:Greg Brady (Himself);9ysv04sr:Steve Bunce (Himself);hrzutl6b:Will Buckley (Himself);p8cm1j79:Graham Taylor (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
1x15,2004-03-27,rhhx9oi8:Johnny Vaughan (Himself - Host);4leemiza:Greg Brady (Himself);pu8fd1a9:John Rawling (Himself);hrzutl6b:Will Buckley (Himself);9ysv04sr:Steve Bunce (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
2x01,2004-08-07,ry40inln:Christian O'Connell (Himself - Host);4leemiza:Greg Brady (Himself);duq6zvcp:Tommy Docherty (Himself);h3r7k814:Phil Cornwell (Himself);6c3bc8jp:Brian Woolnough (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
2x02,2004-08-14,ry40inln:Christian O'Connell (Himself - Host);pu8fd1a9:John Rawling (Himself);7a7g1y9c:John Fashanu (Himself);9ysv04sr:Steve Bunce (Himself);uhidv3ow:Keith Allen (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
2x03,2004-08-21,ry40inln:Christian O'Connell (Himself - Host);4leemiza:Greg Brady (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
2x04,2004-08-28,ry40inln:Christian O'Connell (Himself - Host);9ysv04sr:Steve Bunce (Himself);4leemiza:Greg Brady (Himself);iv4cr5kf:Kevin Day (Himself);ff58vvej:Gavin Peacock (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
2x05,2004-09-04,ry40inln:Christian O'Connell (Himself - Host);7a7g1y9c:John Fashanu (Himself);hrzutl6b:Will Buckley (Himself);9ysv04sr:Steve Bunce (Himself);vgkimzup:Jeremy Beadle (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
2x06,2004-09-11,ry40inln:Christian O'Connell (Himself - Host);pu8fd1a9:John Rawling (Himself);kfrf3udw:Dickie Davies (Himself);qw6vdex8:Eleanor Oldroyd (Herself);wjjq9pp4:Stuart Hall (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
2x07,2004-09-18,ry40inln:Christian O'Connell (Himself - Host);9ysv04sr:Steve Bunce (Himself);na8hpky3:Kriss Akabusi (Himself);4leemiza:Greg Brady (Himself);yipahedd:Sean Lock (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
2x08,2004-09-25,ry40inln:Christian O'Connell (Himself - Host);hrzutl6b:Will Buckley (Himself);539d2ruc:Fred Dinenage (Himself);4leemiza:Greg Brady (Himself);wjjq9pp4:Stuart Hall (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
2x09,2004-10-02,ry40inln:Christian O'Connell (Himself - Host);9ysv04sr:Steve Bunce (Himself);pu8fd1a9:John Rawling (Himself);uhidv3ow:Keith Allen (Himself);43k5uky3:Lawrie McMenemy (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
2x10,2004-10-09,ry40inln:Christian O'Connell (Himself - Host);9ysv04sr:Steve Bunce (Himself);n3r3jexu:Bobby Gould (Himself);4leemiza:Greg Brady (Himself);hrzutl6b:Will Buckley (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
2x11,2004-10-16,ry40inln:Christian O'Connell (Himself - Host);7ovbhxjj:Mark Pougatch (Himself);hrzutl6b:Will Buckley (Himself);ff58vvej:Gavin Peacock (Himself);c0evx1jf:Dominic Holland (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
2x12,2004-10-23,ry40inln:Christian O'Connell (Himself - Host);9ysv04sr:Steve Bunce (Himself);iv4cr5kf:Kevin Day (Himself);7a7g1y9c:John Fashanu (Himself);4leemiza:Greg Brady (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
2x13,2004-10-30,ry40inln:Christian O'Connell (Himself - Host);6c3bc8jp:Brian Woolnough (Himself);pu8fd1a9:John Rawling (Himself);1oq02ksf:Steve Claridge (Himself);0ov42z95:Gary Beadle (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
2x14,2004-11-06,ry40inln:Christian O'Connell (Himself - Host);hrzutl6b:Will Buckley (Himself);c0evx1jf:Dominic Holland (Himself);lro72ghi:Dave Bassett (Himself);wjjq9pp4:Stuart Hall (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
2x15,2004-11-13,ry40inln:Christian O'Connell (Himself - Host);9ysv04sr:Steve Bunce (Himself);l3j1j53d:Phil Taylor (Himself);fmg0vgaf:Andy Zaltzman (Himself);pu8fd1a9:John Rawling (Himself),https://en.wikipedia.org/wiki/List_of_Fighting_Talk_episodes
