Episode,Date,Guests (Himself/Herself - Role),References
1x01,2016-05-31,bpkow9yl:Deborah Frances-White (Herself - Host);ewwqjcle:Nish Kumar (Himself);xtr0bhwa:Dan Schreiber (Himself);8o7s767y:Sarah Bennetto (Herself);b98nhowu:Abigoliah Schamaun (Herself);sbynrgke:Ned Sedgwick (Himself - Pedants Corner);306w9rz5:Mark Hodge (Himself - Piano),https://www.acast.com/globalpillage/1.1superstitionswithdanschreiber-nishkumar-sarahbennettoandabigoliahschamaun
1x02,2016-06-20,bpkow9yl:Deborah Frances-White (Herself - Host);w4f6u45r:Avery Edison (Herself);4lizeccq:Sofie Hagan (Herself);qqptk5je:Pav Rao (Himself);8o7s767y:Sarah Bennetto (Herself);sbynrgke:Ned Sedgwick (Himself - Pedants Corner);306w9rz5:Mark Hodge (Himself - Piano),https://embed.acast.com/globalpillage/1.2-stereotypeswithsofiehagen-averyedison-pavraoandsarahbennetto
1x03,2016-07-04,bpkow9yl:Deborah Frances-White (Herself - Host);lyr97zzu:Sara Pascoe (Herself);r821lnn1:Radu Isac (Himself);rpqoiaqm:Sadia Azmat (Herself);krr31jnw:Margaret Cabourn-Smith (Herself);sbynrgke:Ned Sedgwick (Himself - Pedants Corner);306w9rz5:Mark Hodge (Himself - Piano),https://www.acast.com/globalpillage/1.3weddings
1x04,2016-07-18,bpkow9yl:Deborah Frances-White (Herself - Host);8o7s767y:Sarah Bennetto (Herself);r821lnn1:Radu Isac (Himself);6szysreh:Yuriko Kotani (Herself);lyr97zzu:Sara Pascoe (Herself);sbynrgke:Ned Sedgwick (Himself - Pedants Corner);306w9rz5:Mark Hodge (Himself - Piano),https://www.acast.com/globalpillage/1.4festivalswithsarapascoe-sarahbennetto-raduisacandyurikokotani
1x05,2016-08-01,bpkow9yl:Deborah Frances-White (Herself - Host);yfpzdtmw:Jason Patterson (Himself);zs45y9m6:Felicity Ward (Herself);7g9q6qx6:Christian Talbot (Himself);8o7s767y:Sarah Bennetto (Herself);sbynrgke:Ned Sedgwick (Himself - Pedants Corner);306w9rz5:Mark Hodge (Himself - Piano),https://www.acast.com/globalpillage/1.5courtshipwithfelicityward-sarahbennetto-christiantalbotandjasonpatterson
1x06,2016-08-15,bpkow9yl:Deborah Frances-White (Herself - Host);uhxw9vxb:Tiffany Stevenson (Herself);34qt5d7m:Danielle Ward (Herself);4lizeccq:Sofie Hagen (Herself);4r04kudi:Yasmine Akram (Herself);sbynrgke:Ned Sedgwick (Himself - Pedants Corner);306w9rz5:Mark Hodge (Himself - Piano),https://www.acast.com/globalpillage/1.6globalisationwithyasmineakram-tiffstevenson-sofiehagenanddanielleward
1x07,2016-08-29,bpkow9yl:Deborah Frances-White (Herself - Host);zs45y9m6:Felicity Ward (Herself);w4f6u45r:Avery Edison (Herself);r821lnn1:Radu Isac (Himself);m1delqp3:Gabriel Ebulue (Himself);sbynrgke:Ned Sedgwick (Himself - Pedants Corner);306w9rz5:Mark Hodge (Himself - Piano),https://www.acast.com/globalpillage/1.7lifeanddeathwithfelicityward-averyedison-raduisac-gabrielebulue
1x08,2016-09-12,bpkow9yl:Deborah Frances-White (Herself - Host);xtr0bhwa:Dan Schreiber (Himself);r821lnn1:Radu Isac (Himself);b98nhowu:Abigoliah Schamaun (Herself);q8e2d6fa:Bisha K Ali (Herself);sbynrgke:Ned Sedgwick (Himself - Pedants Corner);306w9rz5:Mark Hodge (Himself - Piano),https://www.acast.com/globalpillage/1.8childrenwithdanschreiber-raduisac-abigoliahschaumanandbishakali
2x01,2016-09-26,bpkow9yl:Deborah Frances-White (Herself - Host);dpt6qt5p:Marcel Lucont (Himself);r821lnn1:Radu Isac (Himself);wphysp4x:Alison Spittle (Herself);q8e2d6fa:Bisha K Ali (Herself);sbynrgke:Ned Sedgwick (Himself - Pedants Corner);306w9rz5:Mark Hodge (Himself - Piano),https://www.acast.com/globalpillage/2.8sportwithmarcellucont-raduisac-alisonspittleandbishakali
2x02,2016-10-10,bpkow9yl:Deborah Frances-White (Herself - Host);mvofprc2:Jason John Whitehead (Himself);lbhb0yum:Abi Roberts (Herself);59gmixwl:Desiree Burch (Herself);t1wek9g2:Mike McShane (Himself);sbynrgke:Ned Sedgwick (Himself - Pedants Corner);306w9rz5:Mark Hodge (Himself - Piano),https://www.acast.com/globalpillage/2.2drinkingwithjasonjohnwhitehead-abiroberts-desireeburchandmikemcshane
2x03,2016-10-24,bpkow9yl:Deborah Frances-White (Herself - Host);vnpyzg64:Jamali Maddix (Himself);n6aws50k:Dave Benson Phillips (Himself);34qt5d7m:Danielle Ward (Herself);w4f6u45r:Avery Edison (Herself);sbynrgke:Ned Sedgwick (Himself - Pedants Corner);306w9rz5:Mark Hodge (Himself - Piano),https://www.acast.com/globalpillage/2.3transportwithjamalimaddix-davebensonphillips-danielleward-averyedisonandpaulfromtheaudience
2x04,2016-11-07,bpkow9yl:Deborah Frances-White (Herself - Host);g1gn9cm2:Mary Lynn Rajskub (Herself);zs45y9m6:Felicity Ward (Herself);8uj80z2f:Athena Kugblenu (Herself);8o7s767y:Sarah Bennetto (Herself);sbynrgke:Ned Sedgwick (Himself - Pedants Corner);306w9rz5:Mark Hodge (Himself - Piano),https://www.acast.com/globalpillage/2.4musicwithmarylynnrajskub-felicityward-athenakugblenuandsarahbennetto
2x05,2016-11-21,bpkow9yl:Deborah Frances-White (Herself - Host);xtr0bhwa:Dan Schreiber (Himself);3p4apr7j:Emma Sidi (Herself);8uj80z2f:Athena Kugblenu (Herself);r821lnn1:Radu Isac (Himself);sbynrgke:Ned Sedgwick (Himself - Pedants Corner);306w9rz5:Mark Hodge (Himself - Piano),https://www.acast.com/globalpillage/2.5commonsensewithdanschreiber-emmasidi-athenakugblenuandraduisac
