Episode,Date,Guests (Himself/Herself - Role),References
1x01,2016-09-05,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);cola0tiv:David James (Himself);nlbhhrhx:Susan Calman (Herself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/1/1/
1x02,2016-09-12,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);funl9xzs:Marcus Brigstocke (Himself);76r85g0g:Gina Yashere (Herself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/1/2/
1x03,2016-09-19,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);3vblg9jo:Jason Manford (Himself);lqu3n4lu:Ed Byrne (Himself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/1/3/
1x04,2016-09-26,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);tq4rhgl6:Russell Howard (Himself);l2c41fr1:Rachel Riley (Herself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/1/4/
1x05,2016-10-03,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);2ufl1i4u:Dave Gorman (Himself);bgfey1xd:Josie Long (Herself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/1/5/
1x06,2016-10-10,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);k4ynw4wa:Bob Mortimer (Himself);xlfikdcz:Holly Walsh (Herself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/1/6/
2x01,2017-05-15,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);5a6ylpdb:Richard Osman (Himself);lyr97zzu:Sara Pascoe (Herself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/2/1/
2x02,2017-05-22,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);vj7g8edl:Rob Beckett (Himself);jtkbv70w:Zoe Lyons (Herself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/2/2/
2x03,2017-05-29,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);vvpc2276:Sara Cox (Herself);ldlhjug6:Daniel Sloss (Himself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/2/3/
2x04,2017-06-05,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);jzw2u6u6:Ellie Taylor (Herself);k6egqudh:Jon Richardson (Himself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/2/4/
2x05,2017-06-12,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);qx0mniaw:Vernon Kay (Himself);xddxlj0j:Bec Hill (Herself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/2/5/
2x06,2017-06-19,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);whm3kdox:Robert Webb (Himself);4n9puxbc:Gemma Cairney (Herself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/2/6/
2x07,2017-06-26,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);1rtqz52s:Russell Kane (Himself);4tvm98xv:Lolly Adefope (Herself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/2/7/
2x08,2017-07-03,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);xv8o8xgj:Edith Bowman (Herself);kn84ys1v:Elis James (Himself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/2/8/
2x09,2017-07-10,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);xyq08s93:Liza Tarbuck (Herself);vnpyzg64:Jamali Maddix (Himself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/2/9/
2x10,2017-07-17,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);7nzmrdvx:Ore Oduba (Himself);h46whzjy:Kerry Howard (Herself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/2/10/
3x01,2018-02-12,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);1h4t1xrp:Gregg Wallace (Himself);l9ij492d:Jodie Kidd (Herself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/3/1/
3x02,2018-02-19,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);ysvv93ea:Josh Widdicombe (Himself);v2ukw9o2:Maggie Aderin-Pocock (Herself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/3/2/
3x03,2018-02-26,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);si97alm2:Matt Forde (Himself);8tklkv5y:Jessica Knappett (Herself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/3/3/
3x04,2018-03-05,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);nlbhhrhx:Susan Calman (Herself);rcnl3712:Dev (Himself),https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/3/4/
3x05,2018-03-12,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);cgg5lqmj:Jonathan Ross (Himself);4eq3cvso:Suzi Ruffell (Herself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/3/5/
3x06,2018-03-19,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);hn26993v:Anna Richardson (Herself);ewwqjcle:Nish Kumar (Himself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/3/6/
3x07,2018-03-26,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);6fd2akfw:John Thomson (Himself);pyed9i0p:Natalie Cassidy (Herself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/3/7/
3x08,2018-04-02,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);h6o9xvx5:Kevin Bridges (Himself);zkl1ekk5:Natasia Demetriou (Herself),https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/3/8/
3x09,2018-04-09,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);c26v5h9k:Katherine Ryan (Herself);qa5s3f3t:Phil Wang (Himself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/3/9/
3x10,2018-04-16,x9y0q5f5:Dara O'Briain (Himself - Host);7szpxwbh:Steve McNeil (Himself - Team captain);ci47j9ob:Sam Pamphilon (Himself - Team captain);efr48bgm:Ellie Gibson (Herself - Expert);u2hczb1o:Simon Gregson (Himself);b8opjcom:Jayde Adams (Herself);,https://www.comedy.co.uk/tv/dara_o_briain_go_8_bit/episodes/3/10/
