Episode,Date,Guests (Himself/Herself - Role),References
1x01,2019-02-06,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);75gf53uy:Tom Allen (Himself);vj7g8edl:Rob Beckett (Himself);8tklkv5y:Jessica Knappett (Herself);xyq08s93:Liza Tarbuck (Herself),https://www.comedy.co.uk/tv/hypothetical/episodes/1/1/
1x02,2019-02-13,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);9k3xrhyo:Romesh Ranganathan (Himself);ikeaww1y:Rachel Parris (Herself);k6egqudh:Jon Richardson (Himself);0s8zb4lf:Rose Matafeo (Herself),https://www.comedy.co.uk/tv/hypothetical/episodes/1/2/
1x03,2019-02-20,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);lyr97zzu:Sara Pascoe (Herself);xoptut0i:Lou Sanders (Herself);ewwqjcle:Nish Kumar (Himself);m5gihwar:Ed Gamble (Himself),https://www.comedy.co.uk/tv/hypothetical/episodes/1/3/
1x04,2019-02-27,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);9k3xrhyo:Romesh Ranganathan (Himself);5l0pn3tm:Rosie Jones (Herself);4omd31xd:Kerry Godliman (Herself);si97alm2:Matt Forde (Himself),https://www.comedy.co.uk/tv/hypothetical/episodes/1/4/
1x05,2019-03-06,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);x9y0q5f5:Dara O'Briain (Himself);z5h8zk70:Kiri Pritchard-Mclean (Herself);4eq3cvso:Suzi Ruffell (Herself);ewwqjcle:Nish Kumar (Himself),https://www.comedy.co.uk/tv/hypothetical/episodes/1/5/
1x06,2019-03-13,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);45nd42d5:Roisin Conaty (Herself);qa5s3f3t:Phil Wang (Himself);x5unmeqr:Victoria Coren Mitchell (Herself);zq3h8ifh:Darren Harriott (Himself),https://www.comedy.co.uk/tv/hypothetical/episodes/1/6/
1x07,2019-03-20,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);c26v5h9k:Katherine Ryan (Herself);m6id19ht:John Robins (Himself);9t9u6aoh:Ivo Graham (Himself);5qafkezh:Cariad Lloyd (Herself),https://www.comedy.co.uk/tv/hypothetical/episodes/1/7/
1x08,2019-03-27,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);qzdunwq0:David O'Doherty (Himself);kjzneopj:Guz Khan (Himself);lyr97zzu:Sara Pascoe (Herself);5qafkezh:Cariad Lloyd (Herself),https://www.comedy.co.uk/tv/hypothetical/episodes/1/8/
2x01,2020-02-05,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);vj7g8edl:Rob Beckett (Himself);suxshpu3:Sara Barron (Herself);jma7jazd:Maisie Adam (Herself);cgg5lqmj:Jonathan Ross (Himself),https://www.comedy.co.uk/tv/hypothetical/episodes/2/1/
2x02,2020-02-12,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);fwsawolj:Richard Ayoade (Himself);irmr1td1:Sindhu Vee (Herself);m5gihwar:Ed Gamble (Himself);2kx8j8lq:Chloe Petts (Herself),https://www.comedy.co.uk/tv/hypothetical/episodes/2/2/
2x03,2020-02-19,ysvv93ea:Josh Widdicombe (Himself - Host);mkuo9ika:James Acaster (Himself - Host);75gf53uy:Tom Allen (Himself);zs45y9m6:Felicity Ward (Herself);yy0vihbr:Sue Perkins (Herself);8osc35ur:Alex Brooker (Himself),https://www.comedy.co.uk/tv/hypothetical/episodes/2/3/
