Episode,Date,Guests (Himself/Herself - Role),References
1x01,2016-01-04,yy0vihbr:Sue Perkins (Herself - Host);5a6ylpdb:Richard Osman (Himself - Team Captain);ysvv93ea:Josh Widdicombe (Himself - Team Captain);mftecx64:Kate Williams (Herself);1fchiwmk:Stephen Mangan (Himself);45nd42d5:Roisin Conaty (Herself);vj7g8edl:Rob Beckett (Himself);,http://www.bbc.co.uk/programmes/b06vkcnl
1x02,2016-01-11,yy0vihbr:Sue Perkins (Herself - Host);5a6ylpdb:Richard Osman (Himself - Team Captain);ysvv93ea:Josh Widdicombe (Himself - Team Captain);i5uubaby:Hugh Dennis (Himself);pgoexum5:Lucy Porter (Herself);q6xkq8v3:Omid Djalili (Himself);unn9frgc:Alice Roberts (Herself);,http://www.bbc.co.uk/programmes/b06whg66
1x03,2016-01-18,yy0vihbr:Sue Perkins (Herself - Host);5a6ylpdb:Richard Osman (Himself - Team Captain);ysvv93ea:Josh Widdicombe (Himself - Team Captain);ucuj533y:Jessica Hynes (Herself);h2i86hcx:Suzannah Lipscomb (Herself);9k3xrhyo:Romesh Ranganathan (Himself);m7qnupci:Jennifer Saunders (Herself);,http://www.bbc.co.uk/programmes/b06yjltv
1x04,2016-01-25,yy0vihbr:Sue Perkins (Herself - Host);5a6ylpdb:Richard Osman (Himself - Team Captain);ysvv93ea:Josh Widdicombe (Himself - Team Captain);8b83ajav:Danny Baker (Himself);4lzawlf5:Aisling Bea (Herself);whm3kdox:Robert Webb (Himself);mftecx64:Kate Williams (Herself);,http://www.bbc.co.uk/programmes/b06z5r74
1x05,2016-02-01,yy0vihbr:Sue Perkins (Herself - Host);5a6ylpdb:Richard Osman (Himself - Team Captain);ysvv93ea:Josh Widdicombe (Himself - Team Captain);8sm933ft:Ruth Goodman (Herself);ddsoiz6p:Adil Ray (Himself);k6egqudh:Jon Richardson (Himself);xlfikdcz:Holly Walsh (Herself);,http://www.bbc.co.uk/programmes/b06zyh9l
1x06,2016-02-08,yy0vihbr:Sue Perkins (Herself - Host);5a6ylpdb:Richard Osman (Himself - Team Captain);ysvv93ea:Josh Widdicombe (Himself - Team Captain);hns5e85y:Paul Hollywood (Himself);rwxhc32a:Joe Lycett (Himself);lyr97zzu:Sara Pascoe (Herself);mftecx64:Kate Williams (Herself),http://www.bbc.co.uk/programmes/b070n7j2
2x01,2016-12-21,yy0vihbr:Sue Perkins (Herself - Host);5a6ylpdb:Richard Osman (Himself - Team Captain);ysvv93ea:Josh Widdicombe (Himself - Team Captain);07j1v5ma:Deborah Meaden (Herself);mftecx64:Kate Williams (Herself);lyr97zzu:Sara Pascoe (Herself);8b83ajav:Danny Baker (Himself);,http://www.bbc.co.uk/programmes/b086t4qv
2x02,2017-01-09,yy0vihbr:Sue Perkins (Herself - Host);5a6ylpdb:Richard Osman (Himself - Team Captain);ysvv93ea:Josh Widdicombe (Himself - Team Captain);8b83ajav:Danny Baker (Himself);mftecx64:Kate Williams (Herself);om2iuo4o:Gabby Logan (Herself);ddsoiz6p:Adil Ray (Himself);,http://www.bbc.co.uk/programmes/b088s1yw
2x03,2017-01-16,yy0vihbr:Sue Perkins (Herself - Host);5a6ylpdb:Richard Osman (Himself - Team Captain);ysvv93ea:Josh Widdicombe (Himself - Team Captain);1fchiwmk:Stephen Mangan (Himself);eyxy68yo:Mel Giedroyc (Herself);ewwqjcle:Nish Kumar (Himself);h2i86hcx:Suzannah Lipscomb (Herself),http://www.bbc.co.uk/programmes/b08bgfpj
2x04,2017-01-23,yy0vihbr:Sue Perkins (Herself - Host);5a6ylpdb:Richard Osman (Himself - Team Captain);ysvv93ea:Josh Widdicombe (Himself - Team Captain);ewm3lv1m:Chris Packham (Himself);k6egqudh:Jon Richardson (Himself);mftecx64:Kate Williams (Herself);ded2fmm8:Paul Feig (Himself),http://www.bbc.co.uk/programmes/b08c659l
