Episode,Date,Guests (Himself/Herself - Role),References
1x01,1999-06-03,cgg5lqmj:Jonathan Ross (Himself - Host);2a1h4fcb:Julian Clary (Himself - Team Captain);goz3ofbt:Jack Dee (Himself - Team Captain);60n9i2zi:Caroline Aherne (Herself);6fd2akfw:John Thomson (Himself);xuggcl7n:Antony Worrall Thompson (Himself);iwahvzcu:Anthony McPartlin (Himself);79mgclvu:Declan Donnelly (Himself);,http://genome.ch.bbc.co.uk/12e84952e6fc49ea97fbf210411e6d64
1x02,1999-06-10,cgg5lqmj:Jonathan Ross (Himself - Host);2a1h4fcb:Julian Clary (Himself - Team Captain);goz3ofbt:Jack Dee (Himself - Team Captain);17ti1bqt:Neil Morrissey (Himself);n0n1ldfv:Barbara Windsor (Herself);dlznxlfb:John Challis (Himself);r7l2j29l:Fay Ripley (Herself);,http://genome.ch.bbc.co.uk/9e053b96b0574db38ddc8b9347860e38
1x03,1999-06-17,cgg5lqmj:Jonathan Ross (Himself - Host);2a1h4fcb:Julian Clary (Himself - Team Captain);goz3ofbt:Jack Dee (Himself - Team Captain);6ecnttaq:Patsy Palmer (Herself);2yl99lka:Bill Tarmey (Himself);0w13w4m6:Rowland Rivron (Himself);ptic5dgo:Leslie Ash (Herself);,http://genome.ch.bbc.co.uk/6babf8e6740f408cb74c1fc8db61a477
1x04,1999-06-24,cgg5lqmj:Jonathan Ross (Himself - Host);2a1h4fcb:Julian Clary (Himself - Team Captain);goz3ofbt:Jack Dee (Himself - Team Captain);lle1yabg:Richard Whiteley (Himself);3fezzv8h:Wendy Richard (Herself);8av2mwg1:Sarah White (Herself);u74j0z1c:John Leslie (Himself);,http://genome.ch.bbc.co.uk/b8ac1e6aa4a34dc7bba27a5eab05cc6c
1x05,1999-07-01,cgg5lqmj:Jonathan Ross (Himself - Host);2a1h4fcb:Julian Clary (Himself - Team Captain);goz3ofbt:Jack Dee (Himself - Team Captain);0ckjxi9a:Wolf (Himself);c9ktozng:John Inman (Himself);pioyrpar:Mark Lamarr (Himself);7mpsjpl2:Trev (Himself);3nd16x89:Simon (Himself);,http://genome.ch.bbc.co.uk/0b252c4b33a241f7b4cc751f0a757772
1x06,1999-07-08,cgg5lqmj:Jonathan Ross (Himself - Host);2a1h4fcb:Julian Clary (Himself - Team Captain);goz3ofbt:Jack Dee (Himself - Team Captain);e6wb7i8j:Lorraine Kelly (Herself);i5w6irho:Nigel Havers (Himself);8o06y0qo:Tim Healy (Himself);76pb75u2:Jayne Middlemiss (Herself);,http://genome.ch.bbc.co.uk/eaf6fb9168354c30ba49cdba64c93329
1x07,1999-07-22,cgg5lqmj:Jonathan Ross (Himself - Host);2a1h4fcb:Julian Clary (Himself - Team Captain);goz3ofbt:Jack Dee (Himself - Team Captain);5mbiq6m2:Ainsley Harriott (Himself);lc93xu1n:Les Dennis (Himself);r9bda0m5:Melanie Sykes (Herself);j421rdi3:John Noakes (Himself);,http://genome.ch.bbc.co.uk/a3e2ebc4217d45e5bd53ff3584b807f8
2x01,2000-02-24,cgg5lqmj:Jonathan Ross (Himself - Host);2a1h4fcb:Julian Clary (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);j4x51a23:Laurence Llewelyn-Bowen (Himself);bin13j40:Adam Rickitt (Himself);x2vmpjxi:Ulrika Jonsson (Herself);kap8cuhk:Leslie Phillips (Himself);,http://genome.ch.bbc.co.uk/d60be8c854524776b2857716a030b236 https://en.wikipedia.org/wiki/It's_Only_TV...but_I_Like_It
2x02,2000-03-02,cgg5lqmj:Jonathan Ross (Himself - Host);2a1h4fcb:Julian Clary (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);h6a1vk7h:Davina McCall (Herself);keb2dqp7:Max Beesley (Himself);9mgrxekg:Esther Rantzen (Herself);lrxb75kd:Dean Sullivan (Himself);,http://genome.ch.bbc.co.uk/644eeb50d0bb4837980c3c719407a47d
2x03,2000-03-09,cgg5lqmj:Jonathan Ross (Himself - Host);2a1h4fcb:Julian Clary (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);ahwsfxfj:Anna Ryder Richardson (Herself);ht8iu4qj:Angela Griffin (Herself);o4ohfiqq:John Sergeant (Himself);qa3ey1m6:Noddy Holder (Himself);,http://genome.ch.bbc.co.uk/64ebc216c59b408889ea80e5acc8ccb0 https://en.wikipedia.org/wiki/It's_Only_TV...but_I_Like_It
