Episode,Date,Guests (Himself/Herself - Role),References
1x01,2011-02-17,5b7d718r:Angus Deayton (Himself - Host);h663jn38:Rufus Hound (Himself);lcx9zc14:Miles Jupp (Himself);lyr97zzu:Sara Pascoe (Herself);nf812lji:Adam Hills (Himself),https://www.bbc.co.uk/programmes/b00yjs4p
1x02,2011-02-24,5b7d718r:Angus Deayton (Himself - Host);bne00n41:Andy Parsons (Himself);z4b6o3bs:Rebecca Front (Herself);lcx9zc14:Miles Jupp (Himself);7pd88ut6:Rick Wakeman (Himself),https://www.bbc.co.uk/programmes/b00yrfwr
1x03,2011-03-03,5b7d718r:Angus Deayton (Himself - Host);dvfmpovw:Arthur Smith (Himself);w0ddlmn2:Lucy Montgomery (Herself);p8h0unpx:Tom Wrigglesworth (Himself);piwd5vtr:Will Smith (Himself),https://www.bbc.co.uk/programmes/b00yz3t4
1x04,2011-03-10,5b7d718r:Angus Deayton (Himself - Host);1rtqz52s:Russell Kane (Himself);bgfey1xd:Josie Long (Herself);ea7kakgp:Alun Cochrane (Himself);xstc1ush:Milton Jones (Himself),https://www.bbc.co.uk/programmes/b00z5zyh
1x05,2011-03-17,5b7d718r:Angus Deayton (Himself - Host);gw6opwme:Tim Key (Himself);66ftg5eh:Micky Flanagan (Himself);rpplxf6m:Bridget Christie (Herself);32gvimgg:Nick Hancock (Himself),https://www.bbc.co.uk/programmes/b00zf4nz
1x06,2011-03-24,5b7d718r:Angus Deayton (Himself - Host);rhhx9oi8:Johnny Vaughan (Himself);hk2rczao:Alan Davies (Himself);45nd42d5:Roisin Conaty (Herself);dvfmpovw:Arthur Smith (Himself),https://www.bbc.co.uk/programmes/b00zm32d
2x01,2011-12-25,5b7d718r:Angus Deayton (Himself - Host);bbjlysaj:Fred MacAulay (Himself);bgfey1xd:Josie Long (Herself);lcx9zc14:Miles Jupp (Himself);x06ndrsl:Nick Helm (Himself),https://www.bbc.co.uk/programmes/b018g279
2x02,2012-01-01,5b7d718r:Angus Deayton (Himself - Host);nch01m5e:Sandi Toksvig (Herself);i4apt8jq:Clive Anderson (Himself);8zjfx5c2:Humphrey Ker (Himself);xstc1ush:Milton Jones (Himself),https://www.bbc.co.uk/programmes/b018wb95
2x03,2012-01-08,5b7d718r:Angus Deayton (Himself - Host);j0l9nspu:Will Self (Himself);dvfmpovw:Arthur Smith (Himself);lyr97zzu:Sara Pascoe (Herself);e7o1gtcv:Gyles Brandreth (Himself),https://www.bbc.co.uk/programmes/b01946wq
2x04,2012-01-15,5b7d718r:Angus Deayton (Himself - Host);luynjnx4:Andrew Maxwell (Himself);26sqvuc5:Celia Pacquola (Herself);piwd5vtr:Will Smith (Himself);8ulz2kgd:Jason Solomons (Himself),https://www.bbc.co.uk/programmes/b019f6kd
2x05,2012-01-22,5b7d718r:Angus Deayton (Himself - Host);p8h0unpx:Tom Wrigglesworth (Himself);cr7ce9yy:Lloyd Langford (Himself);pgoexum5:Lucy Porter (Herself);kjuzxmv0:Robert Popper (Himself),https://www.bbc.co.uk/programmes/b019rgtc
2x06,2012-01-29,5b7d718r:Angus Deayton (Himself - Host);h663jn38:Rufus Hound (Himself);45nd42d5:Roisin Conaty (Herself);n87xrdv6:Alex Horne (Himself);japacokt:Paul Sinha (Himself),https://www.bbc.co.uk/programmes/b01b8zw3
